dataset,discretization,optimization,training_accuracy(%),test_accuracy(%),nodes,leaves,duration(s)
balance-scale,complete,CART,92.16,92.16,3,2,0.001873171999999812
balance-scale,complete,CART,92.16,92.16,7,4,0.0024740599999999446
balance-scale,complete,CART,92.16,92.16,15,8,0.005636876000000068
balance-scale,complete,CART,92.32000000000001,92.32000000000001,31,16,0.0019101089999997711
balance-scale,complete,CART,92.32000000000001,92.32000000000001,45,23,0.0020207870000001904
balance-scale,complete,CART,93.28,93.28,73,37,0.002182244000000111
balance-scale,complete,BinOCT,92.16,92.16,3,2,0.6952927310000003
balance-scale,complete,BinOCT,92.16,92.16,7,4,3.8771164450000004
balance-scale,complete,GOSDT,92.16,92.16,1,1,0.10416457199994511
balance-scale,complete,GOSDT,92.16,92.16,1,1,0.07831082899997455
balance-scale,complete,GOSDT,92.16,92.16,1,1,0.07845562700003939
balance-scale,complete,GOSDT,92.16,92.16,1,1,0.08077122000008785
balance-scale,complete,GOSDT,92.16,92.16,1,1,0.14282451500002935
balance-scale,complete,GOSDT,92.16,92.16,1,1,0.09457735999990291
balance-scale,complete,GOSDT,92.16,92.16,1,1,0.12433526800009531
balance-scale,complete,GOSDT,92.16,92.16,1,1,0.09680430100002013
balance-scale,complete,GOSDT,92.16,92.16,1,1,0.08949314699998467
balance-scale,complete,GOSDT,92.16,92.16,1,1,0.11200775999986945
balance-scale,complete,GOSDT,92.16,92.16,1,1,0.24354936600002475
balance-scale,complete,GOSDT,92.16,92.16,1,1,2.667685951000067
balance-scale,complete,GOSDT,92.16,92.16,1,1,3.8805414569999357
balance-scale,complete,GOSDT,92.16,92.16,1,1,4.850913322999986
balance-scale,complete,GOSDT,92.16,92.16,1,1,5.152845133000028
balance-scale,complete,GOSDT,92.16,92.16,1,1,6.6093042780000815
balance-scale,complete,GOSDT,92.16,92.16,1,1,8.668723655999884
balance-scale,complete,GOSDT,92.16,92.16,1,1,10.809262173999969
balance-scale,complete,GOSDT,92.16,92.16,1,1,13.058502364999867
balance-scale,complete,GOSDT,92.16,92.16,1,1,14.535887109999976
