dataset,discretization,optimization,training_accuracy(%),test_accuracy(%),nodes,leaves,duration(s)
iris,complete,CART,78.66666666666666,82.66666666666667,3,2,0.0024443120000001706
iris,complete,CART,81.33333333333333,77.33333333333333,7,4,0.0032876129999999115
iris,bucketize,BinOCT,-1,-1,-1,-1,300
iris,bucketize,BinOCT,80.0,76.0,3,2,0.34731696700000003
iris,bucketize,BinOCT,81.33333333333333,48.0,7,4,4.325928554000001
iris,bucketize,DL8.5,80.0,76.0,3,2,0.029240101000000074
iris,bucketize,DL8.5,80.0,76.0,3,2,0.0021579420000001903
iris,bucketize,DL8.5,81.33333333333333,48.0,5,3,0.013788824000000588
iris,bucketize,GOSDT,66.66666666666666,0.0,1,1,0.030134115000000072
iris,bucketize,GOSDT,66.66666666666666,0.0,1,1,0.016173226000000263
iris,bucketize,GOSDT,80.0,76.0,3,2,0.18947345900000023
iris,complete,CART,100.0,33.33333333333333,1,1,0.009464714000001706
iris,complete,CART,100.0,33.33333333333333,1,1,0.0014637419999985468
iris,bucketize,BinOCT,-1,-1,-1,-1,300
iris,bucketize,BinOCT,-1,-1,-1,-1,300
iris,bucketize,BinOCT,-1,-1,-1,-1,300
iris,bucketize,DL8.5,100.0,33.33333333333333,1,1,0.0036582719999991298
iris,bucketize,DL8.5,100.0,33.33333333333333,1,1,0.0025416590000002515
iris,bucketize,DL8.5,100.0,33.33333333333333,1,1,0.004801724000000007
iris,bucketize,GOSDT,100.0,33.33333333333333,1,1,0.026472747000001462
iris,bucketize,GOSDT,100.0,33.33333333333333,1,1,0.028248129999999705
iris,bucketize,GOSDT,100.0,33.33333333333333,1,1,0.0216914629999998
monk 1,complete,CART,67.74193548387096,46.774193548387096,3,2,0.004247682999999114
monk 1,complete,CART,70.96774193548387,48.38709677419355,7,4,0.0034240679999992807
monk 1,bucketize,BinOCT,-1,-1,-1,-1,300
monk 1,bucketize,BinOCT,67.74193548387096,46.774193548387096,3,2,0.27582818399999987
monk 1,bucketize,BinOCT,70.96774193548387,48.38709677419355,7,4,1.252320280000001
monk 1,bucketize,DL8.5,67.74193548387096,46.774193548387096,3,2,0.0021668669999996837
monk 1,bucketize,DL8.5,67.74193548387096,46.774193548387096,3,2,0.0012267589999996886
monk 1,bucketize,DL8.5,70.96774193548387,48.38709677419355,5,3,0.0021100240000002657
monk 1,bucketize,GOSDT,59.67741935483871,50.0,1,1,0.02361738000000102
monk 1,bucketize,GOSDT,59.67741935483871,50.0,1,1,0.01997625699999972
monk 1,bucketize,GOSDT,59.67741935483871,50.0,1,1,0.05197031700000032
monk 1,complete,CART,58.06451612903226,46.774193548387096,3,2,0.003971661999999654
monk 1,complete,CART,61.29032258064516,33.87096774193548,7,4,0.004083933000000428
monk 1,bucketize,BinOCT,-1,-1,-1,-1,300
monk 1,bucketize,BinOCT,58.06451612903226,46.774193548387096,3,2,0.276641424000001
monk 1,bucketize,BinOCT,62.903225806451616,38.70967741935484,7,4,1.9826927229999995
monk 1,bucketize,DL8.5,58.06451612903226,46.774193548387096,3,2,0.003344709000000279
monk 1,bucketize,DL8.5,58.06451612903226,46.774193548387096,3,2,0.0028540729999981806
monk 1,bucketize,DL8.5,62.903225806451616,38.70967741935484,7,4,0.0021772169999998425
monk 1,bucketize,GOSDT,50.0,40.32258064516129,1,1,0.019976160000002352
monk 1,bucketize,GOSDT,50.0,40.32258064516129,1,1,0.02332049199999986
monk 1,bucketize,GOSDT,50.0,40.32258064516129,1,1,0.060999672999997756
monk 2,complete,CART,61.904761904761905,40.0,3,2,0.01277155500000049
monk 2,complete,CART,61.904761904761905,44.70588235294118,7,4,0.0023264059999981157
monk 2,complete,CART,67.85714285714286,52.94117647058824,15,8,0.011622020000000788
monk 2,bucketize,BinOCT,-1,-1,-1,-1,300
monk 2,bucketize,BinOCT,61.904761904761905,40.0,3,2,0.22447487299999835
monk 2,bucketize,BinOCT,67.85714285714286,51.76470588235295,7,4,1.8400475840000006
monk 2,bucketize,BinOCT,75.0,50.588235294117645,15,8,300.570511199
monk 2,bucketize,DL8.5,61.904761904761905,40.0,3,2,0.0017538600000079896
monk 2,bucketize,DL8.5,61.904761904761905,40.0,3,2,0.0015839349999851038
monk 2,bucketize,DL8.5,67.85714285714286,49.411764705882355,7,4,0.006521305999967808
monk 2,bucketize,DL8.5,75.0,50.588235294117645,13,7,0.004434933999959867
monk 2,bucketize,GOSDT,50.0,49.411764705882355,1,1,0.016584907999970255
monk 2,bucketize,GOSDT,50.0,49.411764705882355,1,1,0.04048952799996641
monk 2,bucketize,GOSDT,61.904761904761905,40.0,3,2,0.07069749300001149
monk 2,bucketize,GOSDT,61.904761904761905,40.0,3,2,0.17732993900000338
monk 2,complete,CART,62.35294117647059,46.42857142857143,3,2,0.0051092119999793795
monk 2,complete,CART,62.35294117647059,46.42857142857143,7,4,0.0018984749999617634
