dataset,discretization,optimization,training_accuracy(%),test_accuracy(%),nodes,leaves,duration(s)
coupon,midpoints,CART,65.97938144329896,45.45454545454545,3,2,0.001608534999999911
coupon,bucketize,CART,65.97938144329896,45.45454545454545,3,2,0.003087583000000116
coupon,midpoints,CART,71.1340206185567,45.45454545454545,7,4,0.002280475999999698
coupon,bucketize,CART,71.1340206185567,45.45454545454545,7,4,0.001966095000000223
coupon,midpoints,BinOCT,65.97938144329896,45.45454545454545,3,2,0.5944097190000002
coupon,bucketize,BinOCT,65.97938144329896,45.45454545454545,3,2,0.9158326450000001
coupon,midpoints,BinOCT,75.25773195876289,45.45454545454545,7,4,41.302931318
coupon,bucketize,BinOCT,75.25773195876289,45.45454545454545,7,4,34.889126704999995
coupon,midpoints,DL8.5,65.97938144329896,45.45454545454545,3,2,0.016485721000009335
coupon,bucketize,DL8.5,65.97938144329896,45.45454545454545,3,2,0.0012911329999951704
coupon,midpoints,DL8.5,75.25773195876289,45.45454545454545,7,4,0.025216786000001434
coupon,bucketize,DL8.5,75.25773195876289,45.45454545454545,7,4,0.018011637000000746
coupon,midpoints,GOSDT,57.73195876288659,54.54545454545454,1,1,0.05716966200000684
coupon,bucketize,GOSDT,57.73195876288659,54.54545454545454,1,1,0.06068327899998849
coupon,midpoints,GOSDT,57.73195876288659,54.54545454545454,1,1,4.0962285849999915
coupon,bucketize,GOSDT,57.73195876288659,54.54545454545454,1,1,4.0311313759999905
coupon,midpoints,CART,64.94845360824742,54.54545454545454,3,2,0.009488408999999365
coupon,bucketize,CART,64.94845360824742,54.54545454545454,3,2,0.0014936820000031048
coupon,midpoints,CART,70.10309278350515,54.54545454545454,7,4,0.0030732089999929713
coupon,bucketize,CART,70.10309278350515,54.54545454545454,7,4,0.002175219999998035
coupon,midpoints,BinOCT,64.94845360824742,54.54545454545454,3,2,0.6013397309999959
coupon,bucketize,BinOCT,64.94845360824742,54.54545454545454,3,2,0.5325933369999944
coupon,midpoints,BinOCT,76.28865979381443,27.27272727272727,7,4,28.105806606
coupon,bucketize,BinOCT,76.28865979381443,27.27272727272727,7,4,25.73854043700001
coupon,midpoints,DL8.5,64.94845360824742,54.54545454545454,3,2,0.001455356999997548
coupon,bucketize,DL8.5,64.94845360824742,54.54545454545454,3,2,0.0014257870000164985
coupon,midpoints,DL8.5,76.28865979381443,27.27272727272727,7,4,0.016388386000016908
coupon,bucketize,DL8.5,76.28865979381443,27.27272727272727,7,4,0.02380165400001033
coupon,midpoints,GOSDT,58.76288659793815,45.45454545454545,1,1,0.05778306599998473
coupon,bucketize,GOSDT,58.76288659793815,45.45454545454545,1,1,0.061744216000022334
coupon,midpoints,GOSDT,58.76288659793815,45.45454545454545,1,1,2.983519147999999
coupon,bucketize,GOSDT,58.76288659793815,45.45454545454545,1,1,2.806930504999997
coupon,midpoints,CART,63.91752577319587,63.63636363636363,3,2,0.007130587000006017
coupon,bucketize,CART,63.91752577319587,63.63636363636363,3,2,0.0015259839999828273
coupon,midpoints,CART,70.10309278350515,36.36363636363637,7,4,0.0016067030000215254
coupon,bucketize,CART,70.10309278350515,36.36363636363637,7,4,0.0016133749999767133
coupon,midpoints,BinOCT,65.97938144329896,45.45454545454545,3,2,0.6049264739999956
coupon,bucketize,BinOCT,65.97938144329896,45.45454545454545,3,2,0.6991566560000138
coupon,midpoints,BinOCT,75.25773195876289,45.45454545454545,7,4,37.77293194000001
coupon,bucketize,BinOCT,75.25773195876289,45.45454545454545,7,4,38.46760899499998
coupon,midpoints,DL8.5,65.97938144329896,45.45454545454545,3,2,0.005701662000006991
coupon,bucketize,DL8.5,65.97938144329896,45.45454545454545,3,2,0.001883580999987089
coupon,midpoints,DL8.5,75.25773195876289,45.45454545454545,7,4,0.012305623999992577
coupon,bucketize,DL8.5,75.25773195876289,45.45454545454545,7,4,0.012787260999999717
coupon,midpoints,GOSDT,59.79381443298969,36.36363636363637,1,1,0.05899163700001964
coupon,bucketize,GOSDT,59.79381443298969,36.36363636363637,1,1,0.07479547799999864
coupon,midpoints,GOSDT,59.79381443298969,36.36363636363637,1,1,2.9029005240000174
coupon,bucketize,GOSDT,59.79381443298969,36.36363636363637,1,1,2.7575014460000205
coupon,midpoints,CART,63.91752577319587,63.63636363636363,3,2,0.0018396860000109427
coupon,bucketize,CART,63.91752577319587,63.63636363636363,3,2,0.002204457999994247
coupon,midpoints,CART,74.22680412371135,54.54545454545454,7,4,0.0015319460000000618
coupon,bucketize,CART,74.22680412371135,54.54545454545454,7,4,0.008191225000018676
coupon,midpoints,BinOCT,63.91752577319587,63.63636363636363,3,2,0.7673036460000162
coupon,bucketize,BinOCT,63.91752577319587,63.63636363636363,3,2,1.2205106079999837
coupon,midpoints,BinOCT,74.22680412371135,54.54545454545454,7,4,40.324681080999994
coupon,bucketize,BinOCT,74.22680412371135,54.54545454545454,7,4,34.081745092000006
coupon,midpoints,DL8.5,63.91752577319587,63.63636363636363,3,2,0.0021000840000056087
coupon,bucketize,DL8.5,63.91752577319587,63.63636363636363,3,2,0.0014764929999842025
coupon,midpoints,DL8.5,74.22680412371135,54.54545454545454,7,4,0.021108952000020054
coupon,bucketize,DL8.5,74.22680412371135,54.54545454545454,7,4,0.02926647399999638
coupon,midpoints,GOSDT,58.76288659793815,45.45454545454545,1,1,0.07426716100002295
coupon,bucketize,GOSDT,58.76288659793815,45.45454545454545,1,1,0.14007414299999255
coupon,midpoints,GOSDT,58.76288659793815,45.45454545454545,1,1,3.212903666000045
coupon,bucketize,GOSDT,58.76288659793815,45.45454545454545,1,1,4.013744094999993
coupon,midpoints,CART,61.855670103092784,81.81818181818183,3,2,0.006536573000005319
coupon,bucketize,CART,61.855670103092784,81.81818181818183,3,2,0.006529315000022962
coupon,midpoints,CART,65.97938144329896,90.9090909090909,7,4,0.011915750000014214
