dataset,optimization,sample_size,training_accuracy(%),leaves,maximum_regularization,duration(s),source
adult,CART,10,0.9,3,0.16666666666666666,0.0020743069999866748,[ $car \eq crossover$ [ $destination \eq Home$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ]
adult,BinOCT,10,1.0,4,0.125,0.6133533070000112,[ $passanger \eq Friend(s)$ [ $coupon \eq Bar$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $CoffeeHouse \eq less1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
adult,DL8.5,10,1.0,4,0.125,0.023304247999988092,[ $coupon \eq Coffee House$ [ $time \eq 10AM$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $Childrennumber \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
adult,OSDT,10,0.8,2,0.25,0.10617117999998982,[ $car \eq crossover$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
adult,GOSDT,10,0.8,2,0.25,0.05430767300003936,[ $coupon \eq Bar$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
adult,CART,20,0.85,3,0.16666666666666666,0.007459882999967249,[ $occupation \eq Computer & Mathematical$ [ $coupon \eq Restaurant(<20)$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ]
adult,BinOCT,20,0.95,4,0.125,5.068000486000017,[ $occupation \eq Office & Administrative Support$ [ $car \eq crossover$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $coupon \eq Coffee House$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
adult,DL8.5,20,0.95,4,0.125,0.020269477999988794,[ $coupon \eq Coffee House$ [ $occupation \eq Office & Administrative Support$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $occupation \eq Legal$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
adult,OSDT,20,0.75,1,0,0.022922579000010046,[ $class$ [ $1$ ] ]
adult,GOSDT,20,0.75,1,0,0.05290961499997593,[ $class$ [ $1$ ] ]
adult,CART,30,0.8666666666666667,4,0.125,0.0091504319999558,[ $CoffeeHouse \eq less1$ [ $time \eq 2PM$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $destination \eq Home$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
adult,BinOCT,30,0.8666666666666667,4,0.125,4.1448537300000226,[ $CoffeeHouse \eq less1$ [ $time \eq 2PM$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $map \eq CBA1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
adult,DL8.5,30,0.8666666666666667,4,0.125,0.008978215000013279,[ $CoffeeHouse \eq less1$ [ $map \eq CBA1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $time \eq 2PM$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
