fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,1721,28,5,0.0054671973921358585,4,6,11,59.15165601394538,60.416666666666664,[ $passanger2 \eq 1 \eq 1$ [ $age0 \eq 0 \eq 0$ [ $age1 \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ] [ $age1 \eq 0 \eq 1$ [ $class$ [ $0$ ] ] [ $age0 \eq 0 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ]
NA,1721,28,6,0.003912908025085926,4,6,11,59.15165601394538,60.416666666666664,[ $passanger2 \eq 1 \eq 0$ [ $age1 \eq 1 \eq 0$ [ $class$ [ $0$ ] ] [ $age0 \eq 1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $age0 \eq 0 \eq 0$ [ $age1 \eq 1 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ] ]
NA,1721,28,7,0.003298624884337187,5,8,15,59.15165601394538,60.416666666666664,[ $passanger2 \eq 1 \eq 0$ [ $age1 \eq 0 \eq 0$ [ $age0 \eq 1 \eq 0$ [ $class$ [ $0$ ] ] [ $age2 \eq 0 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $class$ [ $0$ ] ] ] [ $age0 \eq 1 \eq 0$ [ $class$ [ $1$ ] ] [ $age1 \eq 0 \eq 0$ [ $age2 \eq 0 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ] ] ]
NA,1721,28,8,0.0034690219908952713,5,8,15,59.15165601394538,60.416666666666664,[ $passanger2 \eq 0 \eq 0$ [ $age0 \eq 1 \eq 1$ [ $age1 \eq 1 \eq 0$ [ $class$ [ $0$ ] ] [ $age2 \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $class$ [ $1$ ] ] ] [ $age1 \eq 0 \eq 1$ [ $class$ [ $0$ ] ] [ $age0 \eq 0 \eq 1$ [ $class$ [ $0$ ] ] [ $age2 \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] ]
NA,1721,28,9,0.003468187991529703,6,10,19,59.15165601394538,60.416666666666664,[ $passanger2 \eq 0 \eq 1$ [ $age1 \eq 1 \eq 0$ [ $class$ [ $0$ ] ] [ $age0 \eq 1 \eq 1$ [ $age3 \eq 0 \eq 1$ [ $class$ [ $0$ ] ] [ $age2 \eq 1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $class$ [ $0$ ] ] ] ] [ $age0 \eq 0 \eq 0$ [ $age1 \eq 1 \eq 0$ [ $class$ [ $0$ ] ] [ $age3 \eq 0 \eq 1$ [ $class$ [ $0$ ] ] [ $age2 \eq 1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] [ $class$ [ $1$ ] ] ] ]
NA,1721,28,10,0.00356246717274189,6,10,19,59.15165601394538,60.416666666666664,[ $passanger2 \eq 0 \eq 1$ [ $age1 \eq 1 \eq 0$ [ $class$ [ $0$ ] ] [ $age0 \eq 1 \eq 0$ [ $class$ [ $0$ ] ] [ $age3 \eq 0 \eq 0$ [ $age2 \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ] ] ] [ $age0 \eq 1 \eq 1$ [ $age1 \eq 0 \eq 0$ [ $age3 \eq 0 \eq 0$ [ $age2 \eq 1 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ] ]
NA,1721,28,11,0.0036558019928634167,6,10,19,59.67460778617083,57.8125,[ $passanger2 \eq 0 \eq 1$ [ $age1 \eq 1 \eq 1$ [ $age0 \eq 1 \eq 1$ [ $age3 \eq 0 \eq 1$ [ $class$ [ $0$ ] ] [ $age4 \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ] [ $age0 \eq 0 \eq 0$ [ $age1 \eq 1 \eq 1$ [ $age4 \eq 0 \eq 0$ [ $age2 \eq 1 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ] ]
NA,1721,28,12,0.0038162842392921448,6,10,19,59.67460778617083,57.8125,[ $passanger2 \eq 0 \eq 0$ [ $age0 \eq 1 \eq 0$ [ $class$ [ $1$ ] ] [ $age1 \eq 1 \eq 0$ [ $class$ [ $0$ ] ] [ $age4 \eq 0 \eq 1$ [ $class$ [ $1$ ] ] [ $age2 \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] ] [ $age1 \eq 1 \eq 1$ [ $age0 \eq 1 \eq 0$ [ $class$ [ $0$ ] ] [ $age3 \eq 0 \eq 1$ [ $class$ [ $0$ ] ] [ $age4 \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] [ $class$ [ $0$ ] ] ] ]
NA,1721,28,13,0.0038906862027943134,6,10,19,59.67460778617083,57.8125,[ $passanger2 \eq 1 \eq 1$ [ $age0 \eq 1 \eq 1$ [ $age1 \eq 1 \eq 1$ [ $age4 \eq 0 \eq 1$ [ $class$ [ $1$ ] ] [ $age2 \eq 0 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ] [ $age1 \eq 0 \eq 0$ [ $age0 \eq 1 \eq 0$ [ $class$ [ $0$ ] ] [ $age3 \eq 0 \eq 1$ [ $class$ [ $0$ ] ] [ $age4 \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] [ $class$ [ $0$ ] ] ] ]
NA,1721,28,14,0.003947253338992596,6,10,19,59.67460778617083,57.8125,[ $passanger2 \eq 1 \eq 1$ [ $age0 \eq 0 \eq 1$ [ $class$ [ $1$ ] ] [ $age1 \eq 0 \eq 0$ [ $age4 \eq 1 \eq 0$ [ $class$ [ $1$ ] ] [ $age2 \eq 1 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $class$ [ $0$ ] ] ] ] [ $age1 \eq 0 \eq 0$ [ $age0 \eq 1 \eq 0$ [ $class$ [ $0$ ] ] [ $age3 \eq 0 \eq 0$ [ $age4 \eq 0 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ] ] [ $class$ [ $0$ ] ] ] ]
