fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,1721,28,5,0.17053692182525992,3,3,5,59.15165601394538,60.416666666666664,[ $passanger2 \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $age0 \eq 0 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,1721,28,6,0.015824613627046347,3,3,5,59.15165601394538,60.416666666666664,[ $passanger2 \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $age0 \eq 0 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,1721,28,7,0.04029355477541685,3,3,5,59.15165601394538,60.416666666666664,[ $passanger2 \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $age0 \eq 0 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,1721,28,8,0.07180607412010431,3,3,5,59.15165601394538,60.416666666666664,[ $passanger2 \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $age0 \eq 0 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,1721,28,9,0.1889062849804759,3,3,5,59.15165601394538,60.416666666666664,[ $passanger2 \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $age0 \eq 0 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,1721,28,10,0.328437983058393,3,3,5,59.15165601394538,60.416666666666664,[ $passanger2 \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $age0 \eq 0 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,1721,28,11,0.6896321047097445,4,4,7,59.67460778617083,57.8125,[ $passanger2 \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $age0 \eq 0 \eq 0$ [ $class$ [ $1$ ] ] [ $age4 \eq 0 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ]
NA,1721,28,12,1.080350182019174,4,4,7,59.67460778617083,57.8125,[ $passanger2 \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $age0 \eq 0 \eq 0$ [ $class$ [ $1$ ] ] [ $age4 \eq 0 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ]
NA,1721,28,13,1.9268405633047223,4,4,7,59.67460778617083,57.8125,[ $passanger2 \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $age0 \eq 0 \eq 0$ [ $class$ [ $1$ ] ] [ $age4 \eq 0 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ]
NA,1721,28,14,3.002848600037396,4,4,7,59.67460778617083,57.8125,[ $passanger2 \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $age0 \eq 0 \eq 0$ [ $class$ [ $1$ ] ] [ $age4 \eq 0 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ]
NA,1721,28,15,4.567749720066786,4,4,7,59.67460778617083,57.8125,[ $passanger2 \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $age0 \eq 0 \eq 0$ [ $class$ [ $1$ ] ] [ $age4 \eq 0 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ]
NA,1721,28,16,6.370981208048761,4,4,7,59.67460778617083,57.8125,[ $passanger2 \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $age0 \eq 0 \eq 0$ [ $class$ [ $1$ ] ] [ $age4 \eq 0 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ]
NA,1721,28,17,10.762351983692497,5,5,9,65.65950029052875,63.541666666666664,[ $Bar0 \eq 0 \eq 1$ [ $class$ [ $0$ ] ] [ $passanger2 \eq 0 \eq 0$ [ $age0 \eq 0 \eq 0$ [ $class$ [ $1$ ] ] [ $age1 \eq 0 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] [ $class$ [ $1$ ] ] ] ]
