fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,1721,28,5,0.03502169996500015,1,1,1,58.570598489250436,60.9375,[ $class$ [ $0$ ] ]
NA,1721,28,6,0.038019875064492226,1,1,1,58.570598489250436,60.9375,[ $class$ [ $0$ ] ]
NA,1721,28,7,0.03340144082903862,1,1,1,58.570598489250436,60.9375,[ $class$ [ $0$ ] ]
NA,1721,28,8,0.03691072529181838,1,1,1,58.570598489250436,60.9375,[ $class$ [ $0$ ] ]
NA,1721,28,9,0.0342014329507947,1,1,1,58.570598489250436,60.9375,[ $class$ [ $0$ ] ]
NA,1721,28,10,0.03426271863281727,1,1,1,58.570598489250436,60.9375,[ $class$ [ $0$ ] ]
NA,1721,28,11,0.036199679132550955,1,1,1,58.570598489250436,60.9375,[ $class$ [ $0$ ] ]
NA,1721,28,12,0.03488857811316848,1,1,1,58.570598489250436,60.9375,[ $class$ [ $0$ ] ]
NA,1721,28,13,0.034838651306927204,1,1,1,58.570598489250436,60.9375,[ $class$ [ $0$ ] ]
NA,1721,28,14,0.03596491273492575,1,1,1,58.570598489250436,60.9375,[ $class$ [ $0$ ] ]
NA,1721,28,15,0.03697292599827051,1,1,1,58.570598489250436,60.9375,[ $class$ [ $0$ ] ]
NA,1721,28,16,0.033053626306355,1,1,1,58.570598489250436,60.9375,[ $class$ [ $0$ ] ]
NA,1721,28,17,1.0592323578894138,2,2,3,64.84601975595584,62.5,[ $feature_33  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,1721,28,18,0.8023496340028942,2,2,3,64.84601975595584,62.5,[ $feature_35  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,1721,28,19,7.99780750926584,3,3,5,68.91342242882045,68.22916666666666,[ $feature_35  \eq  1$ [ $class$ [ $1$ ] ] [ $feature_37  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,1721,28,20,8.447676077950746,3,3,5,68.91342242882045,68.22916666666666,[ $feature_35  \eq  1$ [ $class$ [ $1$ ] ] [ $feature_39  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,1721,28,22,9.069891073741019,3,3,5,68.91342242882045,68.22916666666666,[ $feature_32  \eq  1$ [ $class$ [ $1$ ] ] [ $feature_36  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,1721,28,24,26.963357483036816,3,3,5,68.91342242882045,68.22916666666666,[ $feature_35  \eq  1$ [ $class$ [ $1$ ] ] [ $feature_37  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,1721,28,26,66.34627040661871,3,3,5,68.91342242882045,68.22916666666666,[ $feature_35  \eq  1$ [ $class$ [ $1$ ] ] [ $feature_39  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,1721,28,28,280.44876606110483,3,3,5,68.91342242882045,68.22916666666666,[ $feature_33  \eq  1$ [ $feature_39  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ]
