fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,4518,85,5,316.6791881448589,6,32,63,57.79105799026117,55.37848605577689,[ $age \ge 18.5 \eq 0$ [ $age \ge 18.5 \eq 0$ [ $age \ge 21.5 \eq 1$ [ $age \ge 18.5 \eq 0$ [ $age \ge 18.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $age \ge 18.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $age \ge 18.5 \eq 0$ [ $age \ge 20.5 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $age \ge 18.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] ] [ $age \ge 18.5 \eq 0$ [ $age \ge 18.5 \eq 0$ [ $age \ge 18.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $age \ge 18.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] [ $age \ge 18.5 \eq 0$ [ $age \ge 18.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $age \ge 18.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] ] ] [ $age \ge 21.5 \eq 1$ [ $age \ge 21.5 \eq 1$ [ $age \ge 18.5 \eq 0$ [ $age \ge 18.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $age \ge 18.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] [ $age \ge 18.5 \eq 0$ [ $age \ge 18.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $age \ge 18.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] ] [ $age \ge 18.5 \eq 0$ [ $age \ge 18.5 \eq 0$ [ $age \ge 18.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $age \ge 18.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] [ $age \ge 18.5 \eq 0$ [ $age \ge 18.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $age \ge 18.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ] ] ]
NA,4518,85,6,319.9819354368374,6,32,63,58.07879592740151,55.97609561752988,[ $age \ge 22.5 \eq 1$ [ $age \ge 18.5 \eq 0$ [ $age \ge 18.5 \eq 0$ [ $age \ge 18.5 \eq 0$ [ $age \ge 18.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $age \ge 18.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] [ $age \ge 18.5 \eq 0$ [ $age \ge 18.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $age \ge 18.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] ] [ $age \ge 18.5 \eq 0$ [ $age \ge 18.5 \eq 0$ [ $age \ge 18.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $age \ge 18.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] [ $age \ge 18.5 \eq 0$ [ $age \ge 18.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $age \ge 18.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] ] ] [ $age \ge 18.5 \eq 0$ [ $age \ge 18.5 \eq 0$ [ $age \ge 18.5 \eq 0$ [ $age \ge 18.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $age \ge 18.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] [ $age \ge 18.5 \eq 0$ [ $age \ge 18.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $age \ge 18.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] ] [ $age \ge 18.5 \eq 0$ [ $age \ge 18.5 \eq 0$ [ $age \ge 18.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $age \ge 18.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] [ $age \ge 18.5 \eq 0$ [ $age \ge 18.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $age \ge 22.5 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ] ] ]
NA,4518,85,7,325.1223070421256,6,32,63,58.07879592740151,55.97609561752988,[ $age \ge 18.5 \eq 0$ [ $age \ge 18.5 \eq 0$ [ $age \ge 22.5 \eq 1$ [ $age \ge 18.5 \eq 0$ [ $age \ge 18.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $age \ge 18.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] [ $age \ge 19.5 \eq 0$ [ $age \ge 18.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $age \ge 18.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] ] [ $age \ge 18.5 \eq 0$ [ $age \ge 18.5 \eq 0$ [ $age \ge 18.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $age \ge 18.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] [ $age \ge 18.5 \eq 0$ [ $age \ge 18.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $age \ge 18.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] ] ] [ $age \ge 18.5 \eq 0$ [ $age \ge 18.5 \eq 0$ [ $age \ge 18.5 \eq 0$ [ $age \ge 18.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $age \ge 18.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] [ $age \ge 18.5 \eq 0$ [ $age \ge 18.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $age \ge 18.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ] [ $age \ge 18.5 \eq 0$ [ $age \ge 18.5 \eq 0$ [ $age \ge 18.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $age \ge 18.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] [ $age \ge 18.5 \eq 0$ [ $age \ge 18.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $age \ge 18.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] ] ] ]
NA,4518,85,8,-1,-1,-1,-1,-1,-1,NA
NA,4518,85,9,-1,-1,-1,-1,-1,-1,NA
NA,4518,85,10,-1,-1,-1,-1,-1,-1,NA
NA,4518,85,11,-1,-1,-1,-1,-1,-1,NA
NA,4518,85,12,-1,-1,-1,-1,-1,-1,NA
NA,4518,85,13,-1,-1,-1,-1,-1,-1,NA
NA,4518,85,14,-1,-1,-1,-1,-1,-1,NA
NA,4518,85,15,-1,-1,-1,-1,-1,-1,NA
NA,4518,85,16,-1,-1,-1,-1,-1,-1,NA
NA,4518,85,17,-1,-1,-1,-1,-1,-1,NA
NA,4518,85,18,-1,-1,-1,-1,-1,-1,NA
NA,4518,85,19,-1,-1,-1,-1,-1,-1,NA
NA,4518,85,20,-1,-1,-1,-1,-1,-1,NA
NA,4518,85,22,-1,-1,-1,-1,-1,-1,NA
NA,4518,85,24,-1,-1,-1,-1,-1,-1,NA
NA,4518,85,26,-1,-1,-1,-1,-1,-1,NA
NA,4518,85,28,-1,-1,-1,-1,-1,-1,NA
NA,4518,85,30,-1,-1,-1,-1,-1,-1,NA
NA,4518,85,32,-1,-1,-1,-1,-1,-1,NA
NA,4518,85,34,-1,-1,-1,-1,-1,-1,NA
NA,4518,85,36,-1,-1,-1,-1,-1,-1,NA
NA,4518,85,38,-1,-1,-1,-1,-1,-1,NA
NA,4518,85,40,-1,-1,-1,-1,-1,-1,NA
