fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,4518,85,5,0.03848321596160531,2,2,3,57.79105799026117,55.37848605577689,[ $age \ge 21.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,4518,85,6,0.04235670901834965,2,2,3,58.07879592740151,55.97609561752988,[ $age \ge 22.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,4518,85,7,0.04438285203650594,2,2,3,58.07879592740151,55.97609561752988,[ $age \ge 22.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,4518,85,8,0.04776220489293337,2,2,3,58.07879592740151,55.97609561752988,[ $age \ge 22.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,4518,85,9,0.05277473200112581,2,2,3,58.07879592740151,55.97609561752988,[ $age \ge 22.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,4518,85,10,0.05684522492811084,2,2,3,58.1451969898185,58.964143426294825,[ $age \ge 26.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,4518,85,11,0.05933632329106331,2,2,3,58.72067286409916,58.366533864541836,[ $age \ge 27.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,4518,85,12,0.062104418873786926,2,2,3,58.72067286409916,58.366533864541836,[ $age \ge 27.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,4518,85,13,0.06345026893541217,2,2,3,58.72067286409916,58.366533864541836,[ $age \ge 27.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,4518,85,14,0.08294110279530287,2,2,3,58.72067286409916,58.366533864541836,[ $age \ge 27.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,4518,85,15,0.07026420626789331,2,2,3,58.72067286409916,58.366533864541836,[ $age \ge 27.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,4518,85,16,0.07564982073381543,2,2,3,58.72067286409916,58.366533864541836,[ $age \ge 27.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,4518,85,17,0.08189464965835214,2,2,3,58.72067286409916,58.366533864541836,[ $age \ge 27.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,4518,85,18,0.0852682120166719,2,2,3,58.72067286409916,58.366533864541836,[ $age \ge 27.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
