fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,900,1407,5,0.0037575201131403446,5,5,9,53.333333333333336,55.00000000000001,[ $PercentTradesWBalance \ge -8.5 \eq 0$ [ $PercentTradesWBalance \ge -4.0 \eq 1$ [ $class$ [ $1$ ] ] [ $PercentTradesWBalance \ge 11.5 \eq 0$ [ $class$ [ $1$ ] ] [ $PercentTradesWBalance \ge 5.5 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ] [ $class$ [ $0$ ] ] ]
NA,900,1407,6,0.0027941549196839333,5,5,9,53.333333333333336,55.00000000000001,[ $PercentTradesWBalance \ge -8.5 \eq 0$ [ $PercentTradesWBalance \ge 12.5 \eq 1$ [ $PercentTradesWBalance \ge 5.5 \eq 1$ [ $PercentTradesWBalance \ge -4.0 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,900,1407,7,0.002870855387300253,5,6,11,53.55555555555556,55.00000000000001,[ $PercentTradesWBalance \ge -8.5 \eq 1$ [ $class$ [ $0$ ] ] [ $PercentTradesWBalance \ge 12.5 \eq 1$ [ $PercentTradesWBalance \ge 5.5 \eq 1$ [ $PercentTradesWBalance \ge -4.0 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ] [ $PercentTradesWBalance \ge 13.5 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ]
NA,900,1407,8,0.002785248216241598,6,6,11,53.77777777777778,55.00000000000001,[ $PercentTradesWBalance \ge 15.5 \eq 1$ [ $PercentTradesWBalance \ge 12.5 \eq 0$ [ $class$ [ $0$ ] ] [ $PercentTradesWBalance \ge 5.5 \eq 0$ [ $class$ [ $1$ ] ] [ $PercentTradesWBalance \ge -8.5 \eq 0$ [ $PercentTradesWBalance \ge -4.0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ] ] ] [ $class$ [ $1$ ] ] ]
NA,900,1407,9,0.0027145720086991787,6,6,11,54.11111111111111,56.00000000000001,[ $PercentTradesWBalance \ge 17.5 \eq 1$ [ $PercentTradesWBalance \ge 12.5 \eq 1$ [ $PercentTradesWBalance \ge 5.5 \eq 0$ [ $class$ [ $1$ ] ] [ $PercentTradesWBalance \ge -8.5 \eq 0$ [ $PercentTradesWBalance \ge -4.0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ]
NA,900,1407,10,0.0027240170165896416,6,7,13,54.11111111111111,56.00000000000001,[ $PercentTradesWBalance \ge 18.5 \eq 0$ [ $class$ [ $1$ ] ] [ $PercentTradesWBalance \ge 12.5 \eq 0$ [ $PercentTradesWBalance \ge 17.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $PercentTradesWBalance \ge 5.5 \eq 0$ [ $class$ [ $1$ ] ] [ $PercentTradesWBalance \ge -8.5 \eq 1$ [ $class$ [ $0$ ] ] [ $PercentTradesWBalance \ge -4.0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ] ] ]
NA,900,1407,11,0.0027728588320314884,6,8,15,54.22222222222223,56.00000000000001,[ $PercentTradesWBalance \ge 19.5 \eq 0$ [ $class$ [ $1$ ] ] [ $PercentTradesWBalance \ge 12.5 \eq 1$ [ $PercentTradesWBalance \ge 5.5 \eq 0$ [ $class$ [ $1$ ] ] [ $PercentTradesWBalance \ge -8.5 \eq 1$ [ $class$ [ $0$ ] ] [ $PercentTradesWBalance \ge -4.0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ] [ $PercentTradesWBalance \ge 17.5 \eq 1$ [ $class$ [ $0$ ] ] [ $PercentTradesWBalance \ge 18.5 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] ]
NA,900,1407,12,0.002900410909205675,6,9,17,54.333333333333336,56.99999999999999,[ $PercentTradesWBalance \ge 21.0 \eq 1$ [ $PercentTradesWBalance \ge 12.5 \eq 0$ [ $PercentTradesWBalance \ge 17.5 \eq 0$ [ $PercentTradesWBalance \ge 18.5 \eq 0$ [ $PercentTradesWBalance \ge 19.5 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ] [ $PercentTradesWBalance \ge 5.5 \eq 1$ [ $PercentTradesWBalance \ge -8.5 \eq 1$ [ $class$ [ $0$ ] ] [ $PercentTradesWBalance \ge -4.0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $class$ [ $1$ ] ] ] ] [ $class$ [ $1$ ] ] ]
NA,900,1407,13,0.002861563116312027,6,9,17,54.55555555555556,56.99999999999999,[ $PercentTradesWBalance \ge 22.5 \eq 0$ [ $class$ [ $1$ ] ] [ $PercentTradesWBalance \ge 12.5 \eq 0$ [ $PercentTradesWBalance \ge 17.5 \eq 0$ [ $PercentTradesWBalance \ge 21.0 \eq 0$ [ $class$ [ $0$ ] ] [ $PercentTradesWBalance \ge 18.5 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $class$ [ $0$ ] ] ] [ $PercentTradesWBalance \ge 5.5 \eq 1$ [ $PercentTradesWBalance \ge -8.5 \eq 0$ [ $PercentTradesWBalance \ge -4.0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ] ] ]
NA,900,1407,14,0.0028967061080038548,6,9,17,54.666666666666664,56.99999999999999,[ $PercentTradesWBalance \ge 24.0 \eq 0$ [ $class$ [ $1$ ] ] [ $PercentTradesWBalance \ge 12.5 \eq 1$ [ $PercentTradesWBalance \ge 5.5 \eq 0$ [ $class$ [ $1$ ] ] [ $PercentTradesWBalance \ge -8.5 \eq 1$ [ $class$ [ $0$ ] ] [ $PercentTradesWBalance \ge -4.0 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ] [ $PercentTradesWBalance \ge 17.5 \eq 1$ [ $class$ [ $0$ ] ] [ $PercentTradesWBalance \ge 21.0 \eq 1$ [ $PercentTradesWBalance \ge 18.5 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ] ] ] ]
