fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,900,1407,5,0.07150868466123939,1,1,1,53.333333333333336,55.00000000000001,[ $class$ [ $1$ ] ]
NA,900,1407,6,0.08749658800661564,1,1,1,53.333333333333336,55.00000000000001,[ $class$ [ $1$ ] ]
NA,900,1407,7,0.07978193694725633,1,1,1,53.333333333333336,55.00000000000001,[ $class$ [ $1$ ] ]
NA,900,1407,8,0.08787418762221932,1,1,1,53.333333333333336,55.00000000000001,[ $class$ [ $1$ ] ]
NA,900,1407,9,0.08228937303647399,1,1,1,53.333333333333336,55.00000000000001,[ $class$ [ $1$ ] ]
NA,900,1407,10,0.06983033521100879,1,1,1,53.333333333333336,55.00000000000001,[ $class$ [ $1$ ] ]
NA,900,1407,11,0.07551189698278904,1,1,1,53.333333333333336,55.00000000000001,[ $class$ [ $1$ ] ]
NA,900,1407,12,0.07324254792183638,1,1,1,53.333333333333336,55.00000000000001,[ $class$ [ $1$ ] ]
NA,900,1407,13,0.07025260291993618,1,1,1,53.333333333333336,55.00000000000001,[ $class$ [ $1$ ] ]
NA,900,1407,14,0.060326503589749336,1,1,1,53.333333333333336,55.00000000000001,[ $class$ [ $1$ ] ]
NA,900,1407,15,0.07519271411001682,1,1,1,53.333333333333336,55.00000000000001,[ $class$ [ $1$ ] ]
NA,900,1407,16,0.07024016883224249,1,1,1,53.333333333333336,55.00000000000001,[ $class$ [ $1$ ] ]
NA,900,1407,17,0.10381458699703217,1,1,1,53.333333333333336,55.00000000000001,[ $class$ [ $1$ ] ]
NA,900,1407,18,0.28101861430332065,1,1,1,53.333333333333336,55.00000000000001,[ $class$ [ $1$ ] ]
NA,900,1407,19,0.29749271599575877,2,2,3,55.55555555555556,56.99999999999999,[ $feature_37  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,900,1407,20,0.34744381671771407,2,2,3,55.666666666666664,56.99999999999999,[ $feature_39  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,900,1407,22,0.6518073002807796,2,2,3,57.22222222222222,59.0,[ $feature_43  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,900,1407,24,0.8801461239345372,2,2,3,57.55555555555556,59.0,[ $feature_47  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,900,1407,26,0.7564290878362954,2,2,3,58.333333333333336,59.0,[ $feature_49  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,900,1407,28,2.5103535898961127,2,2,3,59.111111111111114,63.0,[ $feature_55  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,900,1407,30,2.2062538182362914,2,2,3,59.77777777777777,65.0,[ $feature_59  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,900,1407,32,2.447662718128413,2,2,3,59.77777777777777,68.0,[ $feature_61  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,900,1407,34,2.568108418956399,2,2,3,59.77777777777777,68.0,[ $feature_61  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,900,1407,36,1.9827729878015816,2,2,3,59.88888888888889,67.0,[ $feature_69  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,900,1407,38,3.7993410052731633,2,2,3,62.11111111111111,72.0,[ $feature_75  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,900,1407,40,3.9264519177377224,2,2,3,62.33333333333333,74.0,[ $feature_77  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,900,1407,42,4.101286401040852,2,2,3,62.88888888888889,73.0,[ $feature_81  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,900,1407,44,4.174705337267369,2,2,3,62.88888888888889,73.0,[ $feature_81  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,900,1407,46,4.72335155820474,2,2,3,62.88888888888889,73.0,[ $feature_80  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,900,1407,48,6.78607519203797,2,2,3,62.88888888888889,73.0,[ $feature_80  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,900,1407,50,9.572366236709058,2,2,3,62.88888888888889,73.0,[ $feature_80  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,900,1407,52,25.149312601890415,2,2,3,62.88888888888889,73.0,[ $feature_81  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,900,1407,54,34.32594003668055,2,2,3,62.88888888888889,73.0,[ $feature_81  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,900,1407,56,60.83014765474945,2,2,3,62.88888888888889,73.0,[ $feature_80  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,900,1407,58,77.70767271099612,2,2,3,62.88888888888889,73.0,[ $feature_80  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,900,1407,60,121.18333796830848,2,2,3,62.88888888888889,73.0,[ $feature_81  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,900,1407,65,158.24164171796292,2,2,3,62.88888888888889,73.0,[ $feature_80  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,900,1407,70,260.4396140896715,2,2,3,62.88888888888889,73.0,[ $feature_81  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,900,1407,75,-1,-1,-1,-1,-1,-1,NA
NA,900,1407,80,-1,-1,-1,-1,-1,-1,NA
NA,900,1407,85,-1,-1,-1,-1,-1,-1,NA
