fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,135,123,5,301.6980140809901,6,32,63,72.5925925925926,73.33333333333333,[ $sepal_length \ge 4.65 \eq 1$ [ $sepal_length \ge 4.65 \eq 1$ [ $sepal_length \ge 4.65 \eq 1$ [ $sepal_length \ge 4.65 \eq 1$ [ $sepal_length \ge 4.65 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $sepal_length \ge 4.65 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] [ $sepal_length \ge 4.65 \eq 1$ [ $sepal_length \ge 4.65 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $sepal_length \ge 4.65 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] ] [ $sepal_length \ge 4.65 \eq 1$ [ $sepal_length \ge 4.65 \eq 1$ [ $sepal_length \ge 4.65 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $sepal_length \ge 4.65 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] [ $sepal_length \ge 4.65 \eq 1$ [ $sepal_length \ge 4.65 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $sepal_length \ge 4.65 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] ] ] [ $sepal_length \ge 4.65 \eq 1$ [ $sepal_length \ge 4.65 \eq 1$ [ $sepal_length \ge 4.65 \eq 1$ [ $sepal_length \ge 4.65 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $sepal_length \ge 4.65 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] [ $sepal_length \ge 4.65 \eq 1$ [ $sepal_length \ge 4.65 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $sepal_length \ge 4.65 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] ] [ $sepal_length \ge 4.65 \eq 1$ [ $sepal_length \ge 4.65 \eq 1$ [ $sepal_length \ge 4.65 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $sepal_length \ge 4.65 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] [ $sepal_length \ge 4.65 \eq 1$ [ $sepal_length \ge 4.65 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $sepal_length \ge 4.65 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ] ] ]
NA,135,123,6,301.75588196795434,6,32,63,74.07407407407408,73.33333333333333,[ $sepal_length \ge 4.35 \eq 0$ [ $sepal_length \ge 4.35 \eq 0$ [ $sepal_length \ge 4.35 \eq 0$ [ $sepal_length \ge 4.35 \eq 0$ [ $sepal_length \ge 4.75 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $sepal_length \ge 4.35 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $sepal_length \ge 4.35 \eq 0$ [ $sepal_length \ge 4.35 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $sepal_length \ge 4.35 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ] [ $sepal_length \ge 4.35 \eq 0$ [ $sepal_length \ge 4.35 \eq 0$ [ $sepal_length \ge 4.35 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $sepal_length \ge 4.35 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $sepal_length \ge 4.35 \eq 0$ [ $sepal_length \ge 4.35 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $sepal_length \ge 4.35 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] ] [ $sepal_length \ge 4.35 \eq 0$ [ $sepal_length \ge 4.35 \eq 0$ [ $sepal_length \ge 4.35 \eq 0$ [ $sepal_length \ge 4.35 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sepal_length \ge 4.35 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $sepal_length \ge 4.35 \eq 0$ [ $sepal_length \ge 4.35 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sepal_length \ge 4.35 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] [ $sepal_length \ge 4.35 \eq 0$ [ $sepal_length \ge 4.35 \eq 0$ [ $sepal_length \ge 4.35 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sepal_length \ge 4.35 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $sepal_length \ge 4.35 \eq 0$ [ $sepal_length \ge 4.35 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sepal_length \ge 4.75 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ] ] ]
NA,135,123,7,302.9638829282485,6,32,63,77.77777777777779,73.33333333333333,[ $sepal_length \ge 4.85 \eq 1$ [ $sepal_length \ge 4.85 \eq 1$ [ $sepal_length \ge 4.85 \eq 1$ [ $sepal_length \ge 4.85 \eq 1$ [ $sepal_length \ge 4.85 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $sepal_length \ge 4.85 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] [ $sepal_length \ge 4.85 \eq 1$ [ $sepal_length \ge 4.85 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $sepal_length \ge 4.85 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] ] [ $sepal_length \ge 4.85 \eq 1$ [ $sepal_length \ge 4.85 \eq 1$ [ $sepal_length \ge 4.85 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $sepal_length \ge 4.85 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] [ $sepal_length \ge 4.85 \eq 1$ [ $sepal_length \ge 4.85 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $sepal_length \ge 4.85 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] ] ] [ $sepal_length \ge 4.85 \eq 1$ [ $sepal_length \ge 4.85 \eq 1$ [ $sepal_length \ge 4.85 \eq 1$ [ $sepal_length \ge 4.85 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $sepal_length \ge 4.85 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] [ $sepal_length \ge 4.85 \eq 1$ [ $sepal_length \ge 4.85 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $sepal_length \ge 4.85 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] ] [ $sepal_length \ge 4.85 \eq 1$ [ $sepal_length \ge 4.85 \eq 1$ [ $sepal_length \ge 4.85 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $sepal_length \ge 4.85 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] [ $sepal_length \ge 4.85 \eq 1$ [ $sepal_length \ge 4.85 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $sepal_length \ge 4.85 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ] ] ]
NA,135,123,8,-1,-1,-1,-1,-1,-1,NA
NA,135,123,9,-1,-1,-1,-1,-1,-1,NA
NA,135,123,10,-1,-1,-1,-1,-1,-1,NA
NA,135,123,11,-1,-1,-1,-1,-1,-1,NA
NA,135,123,12,-1,-1,-1,-1,-1,-1,NA
NA,135,123,13,-1,-1,-1,-1,-1,-1,NA
NA,135,123,14,-1,-1,-1,-1,-1,-1,NA
NA,135,123,15,-1,-1,-1,-1,-1,-1,NA
NA,135,123,16,-1,-1,-1,-1,-1,-1,NA
NA,135,123,17,-1,-1,-1,-1,-1,-1,NA
NA,135,123,18,-1,-1,-1,-1,-1,-1,NA
NA,135,123,19,-1,-1,-1,-1,-1,-1,NA
NA,135,123,20,-1,-1,-1,-1,-1,-1,NA
NA,135,123,22,-1,-1,-1,-1,-1,-1,NA
NA,135,123,24,-1,-1,-1,-1,-1,-1,NA
NA,135,123,26,-1,-1,-1,-1,-1,-1,NA
NA,135,123,28,-1,-1,-1,-1,-1,-1,NA
NA,135,123,30,-1,-1,-1,-1,-1,-1,NA
NA,135,123,32,-1,-1,-1,-1,-1,-1,NA
NA,135,123,34,-1,-1,-1,-1,-1,-1,NA
NA,135,123,36,-1,-1,-1,-1,-1,-1,NA
