fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,135,123,5,0.0024305637925863266,2,2,3,72.5925925925926,73.33333333333333,[ $sepal_length \ge 4.65 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,135,123,6,0.0023154527880251408,2,2,3,74.07407407407408,73.33333333333333,[ $sepal_length \ge 4.75 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,135,123,7,0.0024401196278631687,2,2,3,77.77777777777779,73.33333333333333,[ $sepal_length \ge 4.85 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,135,123,8,0.0023223520256578922,3,3,5,78.51851851851852,80.0,[ $sepal_length \ge 4.95 \eq 1$ [ $sepal_length \ge 4.85 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,135,123,9,0.0024241572245955467,4,4,7,82.96296296296296,80.0,[ $sepal_length \ge 5.05 \eq 0$ [ $class$ [ $0$ ] ] [ $sepal_length \ge 4.85 \eq 0$ [ $sepal_length \ge 4.95 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ] ]
NA,135,123,10,0.004146136809140444,5,5,9,86.66666666666667,93.33333333333333,[ $sepal_length \ge 5.15 \eq 1$ [ $sepal_length \ge 4.85 \eq 0$ [ $sepal_length \ge 4.95 \eq 0$ [ $sepal_length \ge 5.05 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,135,123,11,0.00238351384177804,6,6,11,88.14814814814815,93.33333333333333,[ $sepal_length \ge 5.25 \eq 1$ [ $sepal_length \ge 4.85 \eq 0$ [ $sepal_length \ge 4.95 \eq 0$ [ $sepal_length \ge 5.15 \eq 0$ [ $class$ [ $1$ ] ] [ $sepal_length \ge 5.05 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,135,123,12,0.00242668017745018,6,6,11,88.88888888888889,93.33333333333333,[ $sepal_length \ge 5.35 \eq 1$ [ $sepal_length \ge 4.85 \eq 1$ [ $class$ [ $1$ ] ] [ $sepal_length \ge 4.95 \eq 1$ [ $class$ [ $1$ ] ] [ $sepal_length \ge 5.25 \eq 1$ [ $sepal_length \ge 5.15 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ] ] ] [ $class$ [ $0$ ] ] ]
NA,135,123,13,0.002502086106687784,6,7,13,91.85185185185185,93.33333333333333,[ $sepal_length \ge 5.45 \eq 0$ [ $class$ [ $0$ ] ] [ $sepal_length \ge 4.85 \eq 0$ [ $sepal_length \ge 4.95 \eq 1$ [ $class$ [ $1$ ] ] [ $sepal_length \ge 5.25 \eq 1$ [ $sepal_length \ge 5.15 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $sepal_length \ge 5.35 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] ] [ $class$ [ $1$ ] ] ] ]
NA,135,123,14,0.0024801096878945827,6,8,15,91.85185185185185,93.33333333333333,[ $sepal_length \ge 5.45 \eq 0$ [ $sepal_length \ge 5.55 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sepal_length \ge 4.85 \eq 1$ [ $class$ [ $1$ ] ] [ $sepal_length \ge 4.95 \eq 0$ [ $sepal_length \ge 5.25 \eq 0$ [ $sepal_length \ge 5.35 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $sepal_length \ge 5.15 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] [ $class$ [ $1$ ] ] ] ] ]
NA,135,123,15,0.002580869011580944,6,9,17,91.85185185185185,93.33333333333333,[ $sepal_length \ge 5.45 \eq 0$ [ $sepal_length \ge 5.55 \eq 1$ [ $class$ [ $0$ ] ] [ $sepal_length \ge 5.65 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $sepal_length \ge 4.85 \eq 1$ [ $class$ [ $1$ ] ] [ $sepal_length \ge 4.95 \eq 0$ [ $sepal_length \ge 5.25 \eq 1$ [ $sepal_length \ge 5.15 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $sepal_length \ge 5.35 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] [ $class$ [ $1$ ] ] ] ] ]
NA,135,123,16,0.002590926829725504,6,10,19,91.85185185185185,93.33333333333333,[ $sepal_length \ge 5.45 \eq 0$ [ $sepal_length \ge 5.75 \eq 1$ [ $sepal_length \ge 5.65 \eq 1$ [ $sepal_length \ge 5.55 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ] [ $sepal_length \ge 4.85 \eq 1$ [ $class$ [ $1$ ] ] [ $sepal_length \ge 4.95 \eq 1$ [ $class$ [ $1$ ] ] [ $sepal_length \ge 5.25 \eq 1$ [ $sepal_length \ge 5.15 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $sepal_length \ge 5.35 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] ] ] ]
NA,135,123,17,0.0025237202644348145,6,11,21,91.85185185185185,93.33333333333333,[ $sepal_length \ge 5.45 \eq 1$ [ $sepal_length \ge 4.85 \eq 0$ [ $sepal_length \ge 4.95 \eq 1$ [ $class$ [ $1$ ] ] [ $sepal_length \ge 5.25 \eq 1$ [ $sepal_length \ge 5.15 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $sepal_length \ge 5.35 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] ] [ $class$ [ $1$ ] ] ] [ $sepal_length \ge 5.85 \eq 1$ [ $sepal_length \ge 5.65 \eq 0$ [ $sepal_length \ge 5.75 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sepal_length \ge 5.55 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $class$ [ $0$ ] ] ] ]
