fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,135,123,5,0.15210456401109695,2,2,3,72.5925925925926,73.33333333333333,[ $sepal_length \ge 4.65 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,135,123,6,0.004068166017532349,2,2,3,74.07407407407408,73.33333333333333,[ $sepal_length \ge 4.75 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,135,123,7,0.005587687715888023,2,2,3,77.77777777777779,73.33333333333333,[ $sepal_length \ge 4.85 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,135,123,8,0.01302330195903778,2,2,3,78.51851851851852,80.0,[ $sepal_length \ge 4.95 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,135,123,9,0.030579473823308945,2,2,3,82.96296296296296,80.0,[ $sepal_length \ge 5.05 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,135,123,10,0.06913249008357525,2,2,3,86.66666666666667,93.33333333333333,[ $sepal_length \ge 5.15 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,135,123,11,0.13565956661477685,2,2,3,88.14814814814815,93.33333333333333,[ $sepal_length \ge 5.25 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,135,123,12,0.24805598566308618,2,2,3,88.88888888888889,93.33333333333333,[ $sepal_length \ge 5.35 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,135,123,13,0.41518621100112796,2,2,3,91.85185185185185,93.33333333333333,[ $sepal_length \ge 5.45 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,135,123,14,0.6716973492875695,2,2,3,91.85185185185185,93.33333333333333,[ $sepal_length \ge 5.45 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,135,123,15,1.0397464106790721,2,2,3,91.85185185185185,93.33333333333333,[ $sepal_length \ge 5.45 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,135,123,16,1.571726217865944,2,2,3,91.85185185185185,93.33333333333333,[ $sepal_length \ge 5.45 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,135,123,17,2.2559037948958576,2,2,3,91.85185185185185,93.33333333333333,[ $sepal_length \ge 5.45 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,135,123,18,3.140846930909902,2,2,3,91.85185185185185,93.33333333333333,[ $sepal_length \ge 5.45 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,135,123,19,4.253577863797545,2,2,3,91.85185185185185,93.33333333333333,[ $sepal_length \ge 5.45 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,135,123,20,5.657153429929167,2,2,3,91.85185185185185,93.33333333333333,[ $sepal_length \ge 5.45 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,135,123,22,9.48285751696676,2,2,3,91.85185185185185,93.33333333333333,[ $sepal_length \ge 5.45 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,135,123,24,14.894982465542853,2,2,3,91.85185185185185,93.33333333333333,[ $sepal_length \ge 5.45 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,135,123,26,22.35384555812925,2,2,3,91.85185185185185,93.33333333333333,[ $sepal_length \ge 5.45 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,135,123,28,32.131924962159246,2,2,3,91.85185185185185,93.33333333333333,[ $sepal_length \ge 5.45 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,135,123,30,45.83549654716626,2,2,3,91.85185185185185,93.33333333333333,[ $sepal_length \ge 5.45 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,135,123,32,63.586071216035634,2,2,3,91.85185185185185,93.33333333333333,[ $sepal_length \ge 5.45 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,135,123,34,85.14628846617416,2,2,3,91.85185185185185,93.33333333333333,[ $sepal_length \ge 5.45 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,135,123,36,101.73599342489615,2,2,3,91.85185185185185,93.33333333333333,[ $sepal_length \ge 5.45 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,135,123,38,136.4317853837274,3,3,5,92.5925925925926,93.33333333333333,[ $sepal_length \ge 5.45 \eq 1$ [ $class$ [ $0$ ] ] [ $sepal_width \ge 2.1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,135,123,40,195.90316595695913,3,4,7,94.07407407407408,93.33333333333333,[ $sepal_width \ge 2.45 \eq 0$ [ $sepal_length \ge 4.55 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $sepal_length \ge 5.45 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,135,123,42,228.77834640583023,3,4,7,96.29629629629629,100.0,[ $sepal_width \ge 2.6500000000000004 \eq 0$ [ $sepal_length \ge 4.55 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $sepal_length \ge 5.55 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,135,123,44,247.60003769537434,4,7,13,97.77777777777777,100.0,[ $sepal_length \ge 5.65 \eq 0$ [ $sepal_width \ge 2.75 \eq 0$ [ $sepal_length \ge 4.55 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $sepal_length \ge 5.55 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] [ $sepal_length \ge 5.85 \eq 0$ [ $sepal_width \ge 2.8499999999999996 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ] ]
NA,135,123,46,21.964326844085008,4,6,11,100.0,100.0,[ $sepal_length \ge 5.05 \eq 0$ [ $sepal_length \ge 4.55 \eq 0$ [ $class$ [ $1$ ] ] [ $sepal_width \ge 2.55 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $sepal_length \ge 5.85 \eq 0$ [ $sepal_width \ge 3.05 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ] ]
NA,135,123,48,28.880806227214634,4,6,11,100.0,100.0,[ $sepal_length \ge 5.05 \eq 0$ [ $sepal_length \ge 4.55 \eq 0$ [ $class$ [ $1$ ] ] [ $sepal_width \ge 2.55 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $sepal_length \ge 5.85 \eq 0$ [ $sepal_width \ge 3.05 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ] ]
NA,135,123,50,36.88568611070514,4,6,11,100.0,100.0,[ $sepal_length \ge 5.05 \eq 0$ [ $sepal_length \ge 4.55 \eq 0$ [ $class$ [ $1$ ] ] [ $sepal_width \ge 2.55 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $sepal_length \ge 5.85 \eq 0$ [ $sepal_width \ge 3.05 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ] ]
NA,135,123,52,46.75132580334321,4,6,11,100.0,100.0,[ $sepal_length \ge 5.05 \eq 0$ [ $sepal_length \ge 4.55 \eq 0$ [ $class$ [ $1$ ] ] [ $sepal_width \ge 2.55 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $sepal_length \ge 5.85 \eq 0$ [ $sepal_width \ge 3.05 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ] ]
NA,135,123,54,60.494305472821,4,7,13,100.0,100.0,[ $sepal_length \ge 5.05 \eq 0$ [ $sepal_length \ge 4.55 \eq 0$ [ $class$ [ $1$ ] ] [ $sepal_width \ge 2.55 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $sepal_length \ge 5.75 \eq 0$ [ $sepal_width \ge 3.05 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $sepal_width \ge 3.8499999999999996 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ]
NA,135,123,56,70.8273244490847,4,7,13,100.0,100.0,[ $sepal_length \ge 5.05 \eq 0$ [ $sepal_length \ge 4.55 \eq 0$ [ $class$ [ $1$ ] ] [ $sepal_width \ge 2.55 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $sepal_length \ge 5.75 \eq 0$ [ $sepal_width \ge 3.05 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $sepal_width \ge 3.8499999999999996 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ]
