fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,135,123,5,0.0024720109067857265,2,2,3,67.4074074074074,60.0,[ $sepal_length \ge 4.65 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
NA,135,123,6,0.002556595951318741,2,2,3,67.4074074074074,60.0,[ $sepal_length \ge 4.75 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
NA,135,123,7,0.002590893767774105,2,2,3,67.4074074074074,60.0,[ $sepal_length \ge 4.85 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
NA,135,123,8,0.002520252950489521,3,3,5,67.4074074074074,60.0,[ $sepal_length \ge 4.85 \eq 1$ [ $class$ [ $0$ ] ] [ $sepal_length \ge 4.95 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,135,123,9,0.0024806340225040913,4,4,7,67.4074074074074,60.0,[ $sepal_length \ge 5.05 \eq 0$ [ $class$ [ $0$ ] ] [ $sepal_length \ge 4.85 \eq 0$ [ $sepal_length \ge 4.95 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ] ]
NA,135,123,10,0.002489873208105564,5,5,9,67.4074074074074,60.0,[ $sepal_length \ge 5.15 \eq 0$ [ $class$ [ $0$ ] ] [ $sepal_length \ge 4.85 \eq 1$ [ $class$ [ $0$ ] ] [ $sepal_length \ge 5.05 \eq 1$ [ $sepal_length \ge 4.95 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ] ] ]
NA,135,123,11,0.0027588829398155212,6,6,11,67.4074074074074,60.0,[ $sepal_length \ge 5.25 \eq 0$ [ $class$ [ $0$ ] ] [ $sepal_length \ge 4.85 \eq 0$ [ $sepal_length \ge 5.15 \eq 1$ [ $sepal_length \ge 5.05 \eq 1$ [ $sepal_length \ge 4.95 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ] ]
NA,135,123,12,0.0024535232223570347,6,6,11,67.4074074074074,60.0,[ $sepal_length \ge 5.35 \eq 1$ [ $sepal_length \ge 4.85 \eq 0$ [ $sepal_length \ge 5.25 \eq 1$ [ $sepal_length \ge 5.15 \eq 0$ [ $class$ [ $0$ ] ] [ $sepal_length \ge 5.05 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,135,123,13,0.002465721219778061,6,7,13,67.4074074074074,60.0,[ $sepal_length \ge 5.45 \eq 1$ [ $sepal_length \ge 4.85 \eq 1$ [ $class$ [ $0$ ] ] [ $sepal_length \ge 5.25 \eq 1$ [ $sepal_length \ge 5.15 \eq 1$ [ $sepal_length \ge 5.05 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ] [ $sepal_length \ge 5.35 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] [ $class$ [ $0$ ] ] ]
NA,135,123,14,0.0026981569826602936,6,8,15,69.62962962962963,60.0,[ $sepal_length \ge 5.45 \eq 1$ [ $sepal_length \ge 4.85 \eq 0$ [ $sepal_length \ge 5.25 \eq 0$ [ $sepal_length \ge 5.35 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sepal_length \ge 5.15 \eq 0$ [ $class$ [ $0$ ] ] [ $sepal_length \ge 5.05 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] [ $class$ [ $0$ ] ] ] [ $sepal_length \ge 5.55 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
