fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,135,123,5,0.04151112912222743,1,1,1,67.4074074074074,60.0,[ $class$ [ $0$ ] ]
NA,135,123,6,0.042173733934760094,1,1,1,67.4074074074074,60.0,[ $class$ [ $0$ ] ]
NA,135,123,7,0.04191557317972183,1,1,1,67.4074074074074,60.0,[ $class$ [ $0$ ] ]
NA,135,123,8,0.04086933331564069,1,1,1,67.4074074074074,60.0,[ $class$ [ $0$ ] ]
NA,135,123,9,0.03145370911806822,1,1,1,67.4074074074074,60.0,[ $class$ [ $0$ ] ]
NA,135,123,10,0.016851422842592,1,1,1,67.4074074074074,60.0,[ $class$ [ $0$ ] ]
NA,135,123,11,0.041806077118963,1,1,1,67.4074074074074,60.0,[ $class$ [ $0$ ] ]
NA,135,123,12,0.0348310568369925,1,1,1,67.4074074074074,60.0,[ $class$ [ $0$ ] ]
NA,135,123,13,0.02901139296591282,1,1,1,67.4074074074074,60.0,[ $class$ [ $0$ ] ]
NA,135,123,14,0.042041034903377295,1,1,1,67.4074074074074,60.0,[ $class$ [ $0$ ] ]
NA,135,123,15,0.046236681286245584,3,3,5,71.85185185185186,66.66666666666666,[ $sepal_length \ge 5.45 \eq 0$ [ $class$ [ $0$ ] ] [ $sepal_length \ge 5.65 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,135,123,16,0.0456073647364974,3,3,5,73.33333333333333,66.66666666666666,[ $sepal_length \ge 5.45 \eq 0$ [ $class$ [ $0$ ] ] [ $sepal_length \ge 5.75 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,135,123,17,0.05076933605596423,3,3,5,73.33333333333333,66.66666666666666,[ $sepal_length \ge 5.45 \eq 0$ [ $class$ [ $0$ ] ] [ $sepal_length \ge 5.75 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,135,123,18,0.0478338529355824,3,3,5,73.33333333333333,66.66666666666666,[ $sepal_length \ge 5.45 \eq 0$ [ $class$ [ $0$ ] ] [ $sepal_length \ge 5.75 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,135,123,19,0.022723913192749023,3,3,5,74.07407407407408,73.33333333333333,[ $sepal_length \ge 5.45 \eq 0$ [ $class$ [ $0$ ] ] [ $sepal_length \ge 6.05 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,135,123,20,0.024540628772228956,3,3,5,75.55555555555556,73.33333333333333,[ $sepal_length \ge 5.45 \eq 0$ [ $class$ [ $0$ ] ] [ $sepal_length \ge 6.15 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,135,123,22,0.027793395332992077,3,3,5,75.55555555555556,73.33333333333333,[ $sepal_length \ge 5.45 \eq 0$ [ $class$ [ $0$ ] ] [ $sepal_length \ge 6.15 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,135,123,24,0.03203033795580268,3,3,5,75.55555555555556,73.33333333333333,[ $sepal_length \ge 5.45 \eq 0$ [ $class$ [ $0$ ] ] [ $sepal_length \ge 6.15 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,135,123,26,0.03635997278615832,3,3,5,75.55555555555556,73.33333333333333,[ $sepal_length \ge 5.45 \eq 0$ [ $class$ [ $0$ ] ] [ $sepal_length \ge 6.15 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,135,123,28,0.039964045863598585,3,3,5,75.55555555555556,73.33333333333333,[ $sepal_length \ge 5.45 \eq 0$ [ $class$ [ $0$ ] ] [ $sepal_length \ge 6.15 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,135,123,30,0.043706055264919996,3,3,5,75.55555555555556,73.33333333333333,[ $sepal_length \ge 5.45 \eq 0$ [ $class$ [ $0$ ] ] [ $sepal_length \ge 6.15 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,135,123,32,0.05616724072024226,3,3,5,75.55555555555556,73.33333333333333,[ $sepal_length \ge 5.45 \eq 0$ [ $class$ [ $0$ ] ] [ $sepal_length \ge 6.15 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,135,123,34,0.05842954618856311,3,3,5,75.55555555555556,73.33333333333333,[ $sepal_length \ge 5.45 \eq 0$ [ $class$ [ $0$ ] ] [ $sepal_length \ge 6.15 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,135,123,36,0.062075990717858076,3,3,5,75.55555555555556,73.33333333333333,[ $sepal_length \ge 5.45 \eq 0$ [ $class$ [ $0$ ] ] [ $sepal_length \ge 6.15 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,135,123,38,0.09105772711336613,3,3,5,75.55555555555556,73.33333333333333,[ $sepal_length \ge 5.45 \eq 0$ [ $class$ [ $0$ ] ] [ $sepal_length \ge 6.15 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
