fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,135,123,5,0.1528561976738274,2,2,3,65.92592592592592,73.33333333333333,[ $sepal_length \ge 4.35 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
NA,135,123,6,0.004152185749262571,2,2,3,65.92592592592592,73.33333333333333,[ $sepal_length \ge 4.35 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
NA,135,123,7,0.0054412949830293655,2,2,3,65.92592592592592,73.33333333333333,[ $sepal_length \ge 4.35 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
NA,135,123,8,0.013323246967047453,2,2,3,65.92592592592592,73.33333333333333,[ $sepal_length \ge 4.35 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
NA,135,123,9,0.032819713931530714,2,2,3,65.92592592592592,73.33333333333333,[ $sepal_length \ge 4.35 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
NA,135,123,10,0.0624479609541595,2,2,3,65.92592592592592,73.33333333333333,[ $sepal_length \ge 4.35 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
NA,135,123,11,0.11430113390088081,2,2,3,65.92592592592592,73.33333333333333,[ $sepal_length \ge 4.35 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
NA,135,123,12,0.19476121105253696,2,2,3,65.92592592592592,73.33333333333333,[ $sepal_length \ge 4.35 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
NA,135,123,13,0.3144736960530281,2,2,3,68.14814814814815,53.333333333333336,[ $sepal_length \ge 5.45 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,135,123,14,0.4924255018122494,2,2,3,71.85185185185186,66.66666666666666,[ $sepal_length \ge 5.55 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,135,123,15,0.8027797108516097,2,2,3,74.07407407407408,73.33333333333333,[ $sepal_length \ge 5.65 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,135,123,16,1.2606973890215158,2,2,3,78.51851851851852,73.33333333333333,[ $sepal_length \ge 5.75 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,135,123,17,1.9209964368492365,2,2,3,79.25925925925927,73.33333333333333,[ $sepal_length \ge 5.85 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,135,123,18,2.8069505132734776,2,2,3,79.25925925925927,73.33333333333333,[ $sepal_length \ge 5.85 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,135,123,19,3.981525158043951,2,2,3,80.74074074074075,80.0,[ $sepal_length \ge 6.05 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
