fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,135,123,5,0.02198126306757331,1,1,1,65.92592592592592,73.33333333333333,[ $class$ [ $0$ ] ]
NA,135,123,6,0.014214864932000637,1,1,1,65.92592592592592,73.33333333333333,[ $class$ [ $0$ ] ]
NA,135,123,7,0.014933023601770401,1,1,1,65.92592592592592,73.33333333333333,[ $class$ [ $0$ ] ]
NA,135,123,8,0.014568869955837727,1,1,1,65.92592592592592,73.33333333333333,[ $class$ [ $0$ ] ]
NA,135,123,9,0.02789952140301466,1,1,1,65.92592592592592,73.33333333333333,[ $class$ [ $0$ ] ]
NA,135,123,10,0.014972308650612831,1,1,1,65.92592592592592,73.33333333333333,[ $class$ [ $0$ ] ]
NA,135,123,11,0.016867011785507202,1,1,1,65.92592592592592,73.33333333333333,[ $class$ [ $0$ ] ]
NA,135,123,12,0.015610085800290108,1,1,1,65.92592592592592,73.33333333333333,[ $class$ [ $0$ ] ]
NA,135,123,13,0.02683613821864128,2,2,3,68.14814814814815,53.333333333333336,[ $sepal_length \ge 5.45 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,135,123,14,0.016512960195541382,2,2,3,71.85185185185186,66.66666666666666,[ $sepal_length \ge 5.55 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,135,123,15,0.017208572942763567,2,2,3,74.07407407407408,73.33333333333333,[ $sepal_length \ge 5.65 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,135,123,16,0.017686157952994108,2,2,3,78.51851851851852,73.33333333333333,[ $sepal_length \ge 5.75 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,135,123,17,0.025526321027427912,2,2,3,79.25925925925927,73.33333333333333,[ $sepal_length \ge 5.85 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,135,123,18,0.018621429335325956,2,2,3,79.25925925925927,73.33333333333333,[ $sepal_length \ge 5.85 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,135,123,19,0.01928884908556938,2,2,3,80.74074074074075,80.0,[ $sepal_length \ge 6.05 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,135,123,20,0.019187608268111944,2,2,3,82.22222222222221,80.0,[ $sepal_length \ge 6.15 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,135,123,22,0.020677163265645504,2,2,3,82.22222222222221,80.0,[ $sepal_length \ge 6.15 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,135,123,24,0.022411419078707695,2,2,3,82.22222222222221,80.0,[ $sepal_length \ge 6.15 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,135,123,26,0.03773640003055334,2,2,3,82.22222222222221,80.0,[ $sepal_length \ge 6.15 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,135,123,28,0.03565506590530276,2,2,3,82.22222222222221,80.0,[ $sepal_length \ge 6.15 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,135,123,30,0.02928747795522213,2,2,3,82.22222222222221,80.0,[ $sepal_length \ge 6.15 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,135,123,32,0.03228388400748372,2,2,3,82.22222222222221,80.0,[ $sepal_length \ge 6.15 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,135,123,34,0.03626235807314515,2,2,3,82.22222222222221,80.0,[ $sepal_length \ge 6.15 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,135,123,36,0.044615255668759346,2,2,3,82.22222222222221,80.0,[ $sepal_length \ge 6.15 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,135,123,38,0.07259834418073297,2,2,3,82.22222222222221,80.0,[ $sepal_length \ge 6.15 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,135,123,40,0.0958568281494081,2,2,3,82.22222222222221,80.0,[ $sepal_length \ge 6.15 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,135,123,42,0.15222329320386052,2,2,3,82.22222222222221,80.0,[ $sepal_length \ge 6.15 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,135,123,44,0.2617436069995165,2,2,3,82.22222222222221,80.0,[ $sepal_length \ge 6.15 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,135,123,46,0.4819364291615784,2,2,3,82.22222222222221,80.0,[ $sepal_length \ge 6.15 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,135,123,48,0.8767101401463151,2,2,3,82.22222222222221,80.0,[ $sepal_length \ge 6.15 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,135,123,50,1.3508836929686368,2,2,3,82.22222222222221,80.0,[ $sepal_length \ge 6.15 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,135,123,52,1.7360373940318823,2,2,3,82.22222222222221,80.0,[ $sepal_length \ge 6.15 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,135,123,54,2.3393932711333036,2,2,3,82.22222222222221,80.0,[ $sepal_length \ge 6.15 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,135,123,56,2.957648918032646,2,2,3,82.22222222222221,80.0,[ $sepal_length \ge 6.15 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,135,123,58,3.459296717774123,2,2,3,82.22222222222221,80.0,[ $sepal_length \ge 6.15 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,135,123,60,4.169906090945005,2,2,3,82.22222222222221,80.0,[ $sepal_length \ge 6.15 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,135,123,65,11.764458511024714,2,2,3,82.22222222222221,80.0,[ $sepal_length \ge 6.15 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,135,123,70,13.098236692138016,2,2,3,82.22222222222221,80.0,[ $sepal_length \ge 6.15 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,135,123,75,16.456108547747135,2,2,3,82.22222222222221,80.0,[ $sepal_length \ge 6.15 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,135,123,80,20.18247695406899,2,2,3,85.92592592592592,86.66666666666667,[ $petal_length \ge 4.45 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
