fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,900,3574,5,306.2598663540557,6,32,63,60.55555555555555,71.0,[ $sekse \eq 0 \eq 0$ [ $sekse \eq 0 \eq 0$ [ $sekse \eq 0 \eq 0$ [ $sekse \eq 0 \eq 0$ [ $sekse \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sekse \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $sekse \eq 0 \eq 0$ [ $sekse \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sekse \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] [ $sekse \eq 0 \eq 0$ [ $sekse \eq 0 \eq 0$ [ $sekse \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sekse \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $sekse \eq 0 \eq 0$ [ $sekse \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sekse \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] ] [ $sekse \eq 0 \eq 0$ [ $sekse \eq 0 \eq 0$ [ $sekse \eq 0 \eq 0$ [ $sekse \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sekse \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $sekse \eq 0 \eq 0$ [ $sekse \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sekse \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] [ $sekse \eq 0 \eq 0$ [ $sekse \eq 0 \eq 0$ [ $sekse \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sekse \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $sekse \eq 0 \eq 0$ [ $sekse \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sekse \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] ] ]
NA,900,3574,6,306.8387142447755,6,32,63,61.22222222222222,70.0,[ $cgebland \ge 1.5 \eq 0$ [ $sekse \eq 0 \eq 0$ [ $sekse \eq 0 \eq 0$ [ $sekse \eq 0 \eq 0$ [ $cgebland \ge 3.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $sekse \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $sekse \eq 0 \eq 0$ [ $sekse \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sekse \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] [ $sekse \eq 0 \eq 0$ [ $sekse \eq 0 \eq 0$ [ $sekse \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $cgebland \ge 3.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $sekse \eq 0 \eq 0$ [ $sekse \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $cgebland \ge 3.5 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ] ] [ $sekse \eq 0 \eq 0$ [ $sekse \eq 0 \eq 0$ [ $sekse \eq 0 \eq 0$ [ $sekse \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sekse \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $sekse \eq 0 \eq 0$ [ $sekse \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sekse \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] [ $sekse \eq 0 \eq 0$ [ $sekse \eq 0 \eq 0$ [ $sekse \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sekse \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $sekse \eq 0 \eq 0$ [ $sekse \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sekse \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] ] ]
NA,900,3574,7,306.76243729377165,6,32,63,61.88888888888889,68.0,[ $cgebland \ge 1.5 \eq 0$ [ $sekse \eq 0 \eq 0$ [ $cgebland \ge 1.5 \eq 0$ [ $cgebland \ge 1.5 \eq 1$ [ $sekse \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $cgebland \ge 4.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $sekse \eq 0 \eq 0$ [ $sekse \eq 0 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $sekse \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] [ $cgebland \ge 4.5 \eq 0$ [ $sekse \eq 0 \eq 1$ [ $sekse \eq 0 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sekse \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $cgebland \ge 4.5 \eq 1$ [ $cgebland \ge 3.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $sekse \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] ] [ $cgebland \ge 1.5 \eq 0$ [ $sekse \eq 0 \eq 0$ [ $cgebland \ge 4.5 \eq 0$ [ $cgebland \ge 4.5 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $cgebland \ge 1.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $sekse \eq 0 \eq 0$ [ $cgebland \ge 1.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $cgebland \ge 1.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] [ $cgebland \ge 4.5 \eq 0$ [ $cgebland \ge 4.5 \eq 0$ [ $cgebland \ge 1.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $cgebland \ge 3.5 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $cgebland \ge 4.5 \eq 0$ [ $cgebland \ge 4.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $cgebland \ge 4.5 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ] ] ]
NA,900,3574,8,-1,-1,-1,-1,-1,-1,NA
NA,900,3574,9,-1,-1,-1,-1,-1,-1,NA
NA,900,3574,10,-1,-1,-1,-1,-1,-1,NA
NA,900,3574,11,-1,-1,-1,-1,-1,-1,NA
NA,900,3574,12,-1,-1,-1,-1,-1,-1,NA
NA,900,3574,13,-1,-1,-1,-1,-1,-1,NA
NA,900,3574,14,-1,-1,-1,-1,-1,-1,NA
