fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,900,3574,5,0.005276490934193134,4,6,11,60.55555555555555,71.0,[ $sekse \eq 1 \eq 1$ [ $cgebland \ge 2.5 \eq 1$ [ $cgebland \ge 1.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ] [ $cgebland \ge 2.5 \eq 0$ [ $class$ [ $0$ ] ] [ $cgebland \ge 1.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ]
NA,900,3574,6,0.002968552988022566,5,8,15,61.22222222222222,70.0,[ $sekse \eq 0 \eq 0$ [ $cgebland \ge 3.5 \eq 0$ [ $class$ [ $0$ ] ] [ $cgebland \ge 2.5 \eq 0$ [ $class$ [ $1$ ] ] [ $cgebland \ge 1.5 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] [ $cgebland \ge 3.5 \eq 0$ [ $class$ [ $0$ ] ] [ $cgebland \ge 1.5 \eq 1$ [ $class$ [ $0$ ] ] [ $cgebland \ge 2.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ] ]
NA,900,3574,7,0.002965373918414116,6,10,19,61.88888888888889,68.0,[ $cgebland \ge 4.5 \eq 1$ [ $sekse \eq 0 \eq 0$ [ $cgebland \ge 2.5 \eq 1$ [ $cgebland \ge 1.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $cgebland \ge 3.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] [ $cgebland \ge 1.5 \eq 0$ [ $cgebland \ge 3.5 \eq 1$ [ $cgebland \ge 2.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ] ] [ $sekse \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,900,3574,8,0.0030298400670289993,6,12,23,61.88888888888889,68.0,[ $cgebland \ge 4.5 \eq 1$ [ $sekse \eq 1 \eq 0$ [ $cgebland \ge 1.5 \eq 1$ [ $class$ [ $0$ ] ] [ $cgebland \ge 3.5 \eq 1$ [ $cgebland \ge 2.5 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ] ] [ $cgebland \ge 2.5 \eq 1$ [ $cgebland \ge 1.5 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $cgebland \ge 3.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] ] [ $sekse \eq 1 \eq 1$ [ $cgebland \ge 5.5 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $cgebland \ge 5.5 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ]
NA,900,3574,9,0.003272776026278734,6,14,27,61.88888888888889,68.0,[ $cgebland \ge 4.5 \eq 1$ [ $sekse \eq 0 \eq 1$ [ $cgebland \ge 1.5 \eq 0$ [ $cgebland \ge 3.5 \eq 1$ [ $cgebland \ge 2.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ] [ $cgebland \ge 2.5 \eq 1$ [ $cgebland \ge 1.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $cgebland \ge 3.5 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] ] [ $sekse \eq 0 \eq 0$ [ $cgebland \ge 6.5 \eq 0$ [ $class$ [ $0$ ] ] [ $cgebland \ge 5.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $cgebland \ge 5.5 \eq 1$ [ $class$ [ $0$ ] ] [ $cgebland \ge 6.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] ]
NA,900,3574,10,0.003048487938940525,6,14,27,61.88888888888889,68.0,[ $cgebland \ge 4.5 \eq 0$ [ $sekse \eq 1 \eq 0$ [ $cgebland \ge 5.5 \eq 1$ [ $class$ [ $0$ ] ] [ $cgebland \ge 6.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $cgebland \ge 6.5 \eq 0$ [ $class$ [ $0$ ] ] [ $cgebland \ge 5.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] [ $sekse \eq 1 \eq 1$ [ $cgebland \ge 2.5 \eq 0$ [ $cgebland \ge 3.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $cgebland \ge 1.5 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $cgebland \ge 1.5 \eq 1$ [ $class$ [ $0$ ] ] [ $cgebland \ge 3.5 \eq 0$ [ $class$ [ $0$ ] ] [ $cgebland \ge 2.5 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ] ] ]
NA,900,3574,11,0.003171514719724655,6,26,51,62.66666666666667,69.0,[ $cgebland \ge 4.5 \eq 0$ [ $lnvgalguz \ge 0.3465735905 \eq 0$ [ $cgebland \ge 6.5 \eq 1$ [ $sekse \eq 1 \eq 1$ [ $cgebland \ge 5.5 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ] [ $sekse \eq 0 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $sekse \eq 0 \eq 0$ [ $cgebland \ge 5.5 \eq 0$ [ $cgebland \ge 6.5 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ] [ $cgebland \ge 6.5 \eq 1$ [ $cgebland \ge 5.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ] ] ] [ $sekse \eq 1 \eq 0$ [ $lnvgalguz \ge 0.3465735905 \eq 0$ [ $cgebland \ge 1.5 \eq 1$ [ $class$ [ $0$ ] ] [ $cgebland \ge 3.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $cgebland \ge 2.5 \eq 0$ [ $cgebland \ge 3.5 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $cgebland \ge 1.5 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] [ $cgebland \ge 2.5 \eq 0$ [ $cgebland \ge 3.5 \eq 1$ [ $lnvgalguz \ge 0.3465735905 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $lnvgalguz \ge 0.3465735905 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $lnvgalguz \ge 0.3465735905 \eq 0$ [ $cgebland \ge 1.5 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $cgebland \ge 1.5 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ] ] ]
NA,900,3574,12,0.003430369310081005,6,26,51,63.66666666666667,65.0,[ $lnvgalguz \ge 0.8958797350000001 \eq 0$ [ $cgebland \ge 4.5 \eq 1$ [ $cgebland \ge 2.5 \eq 1$ [ $cgebland \ge 1.5 \eq 1$ [ $sekse \eq 0 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ] [ $cgebland \ge 3.5 \eq 0$ [ $sekse \eq 0 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sekse \eq 0 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] ] [ $cgebland \ge 6.5 \eq 0$ [ $sekse \eq 1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $cgebland \ge 5.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] [ $sekse \eq 0 \eq 1$ [ $lnvgalguz \ge 0.3465735905 \eq 0$ [ $cgebland \ge 1.5 \eq 1$ [ $class$ [ $0$ ] ] [ $cgebland \ge 6.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $cgebland \ge 3.5 \eq 1$ [ $cgebland \ge 2.5 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $cgebland \ge 6.5 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] [ $cgebland \ge 5.5 \eq 0$ [ $lnvgalguz \ge 0.3465735905 \eq 1$ [ $cgebland \ge 6.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $cgebland \ge 6.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $cgebland \ge 1.5 \eq 0$ [ $cgebland \ge 3.5 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $lnvgalguz \ge 0.3465735905 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] ] ]
NA,900,3574,13,0.0033958940766751766,6,28,55,64.77777777777777,69.0,[ $lnvgalguz \ge 0.8958797350000001 \eq 1$ [ $sekse \eq 1 \eq 1$ [ $cgebland \ge 5.5 \eq 1$ [ $cgebland \ge 1.5 \eq 1$ [ $lnvgalguz \ge 0.3465735905 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $cgebland \ge 3.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] [ $lnvgalguz \ge 0.3465735905 \eq 1$ [ $cgebland \ge 6.5 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $cgebland \ge 6.5 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ] [ $lnvgalguz \ge 0.3465735905 \eq 0$ [ $cgebland \ge 1.5 \eq 1$ [ $class$ [ $0$ ] ] [ $cgebland \ge 6.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $cgebland \ge 3.5 \eq 0$ [ $cgebland \ge 6.5 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $cgebland \ge 2.5 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] ] [ $cgebland \ge 4.5 \eq 1$ [ $lnvgalguz \ge 1.242453325 \eq 0$ [ $sekse \eq 1 \eq 1$ [ $cgebland \ge 2.5 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $cgebland \ge 3.5 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $sekse \eq 0 \eq 1$ [ $class$ [ $1$ ] ] [ $cgebland \ge 2.5 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ] [ $cgebland \ge 6.5 \eq 1$ [ $cgebland \ge 5.5 \eq 0$ [ $class$ [ $0$ ] ] [ $lnvgalguz \ge 1.242453325 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $lnvgalguz \ge 1.242453325 \eq 1$ [ $class$ [ $0$ ] ] [ $sekse \eq 1 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ] ] ]
NA,900,3574,14,0.0034102769568562508,6,29,57,65.11111111111111,69.0,[ $lnvgalguz \ge 0.8958797350000001 \eq 0$ [ $cgebland \ge 4.5 \eq 1$ [ $lnvgalguz \ge 1.4978661365 \eq 1$ [ $sekse \eq 1 \eq 0$ [ $lnvgalguz \ge 1.242453325 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $cgebland \ge 2.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] [ $cgebland \ge 2.5 \eq 0$ [ $cgebland \ge 3.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $sekse \eq 1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ] [ $cgebland \ge 6.5 \eq 1$ [ $lnvgalguz \ge 1.4978661365 \eq 1$ [ $cgebland \ge 5.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ] [ $lnvgalguz \ge 1.242453325 \eq 1$ [ $class$ [ $0$ ] ] [ $sekse \eq 1 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ] ] [ $sekse \eq 0 \eq 1$ [ $lnvgalguz \ge 0.3465735905 \eq 1$ [ $cgebland \ge 3.5 \eq 0$ [ $cgebland \ge 6.5 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $cgebland \ge 2.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $cgebland \ge 1.5 \eq 1$ [ $class$ [ $0$ ] ] [ $cgebland \ge 6.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ] [ $cgebland \ge 5.5 \eq 0$ [ $lnvgalguz \ge 0.3465735905 \eq 1$ [ $cgebland \ge 6.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $cgebland \ge 6.5 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] [ $cgebland \ge 1.5 \eq 1$ [ $lnvgalguz \ge 0.3465735905 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $cgebland \ge 3.5 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] ] ] ]
