fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,900,3574,5,0.15682543814182281,2,2,3,60.55555555555555,71.0,[ $sekse \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
NA,900,3574,6,0.011831551790237427,3,3,5,61.22222222222222,70.0,[ $cgebland \ge 1.5 \eq 0$ [ $class$ [ $0$ ] ] [ $cgebland \ge 3.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,900,3574,7,0.026220456697046757,4,5,9,61.88888888888889,68.0,[ $cgebland \ge 1.5 \eq 0$ [ $class$ [ $0$ ] ] [ $sekse \eq 0 \eq 0$ [ $cgebland \ge 3.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $cgebland \ge 4.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ]
NA,900,3574,8,0.06358146900311112,4,5,9,61.88888888888889,68.0,[ $cgebland \ge 1.5 \eq 0$ [ $class$ [ $0$ ] ] [ $sekse \eq 0 \eq 0$ [ $cgebland \ge 3.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $cgebland \ge 4.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ]
NA,900,3574,9,0.142301918938756,4,5,9,61.88888888888889,68.0,[ $cgebland \ge 1.5 \eq 0$ [ $class$ [ $0$ ] ] [ $sekse \eq 0 \eq 0$ [ $cgebland \ge 3.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $cgebland \ge 4.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ]
NA,900,3574,10,0.1417653146199882,4,5,9,61.88888888888889,68.0,[ $cgebland \ge 1.5 \eq 0$ [ $class$ [ $0$ ] ] [ $sekse \eq 0 \eq 0$ [ $cgebland \ge 3.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $cgebland \ge 4.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ]
NA,900,3574,11,0.3969745081849396,6,12,23,62.66666666666667,69.0,[ $cgebland \ge 1.5 \eq 0$ [ $class$ [ $0$ ] ] [ $sekse \eq 0 \eq 0$ [ $lnvgalguz \ge 0.3465735905 \eq 0$ [ $class$ [ $0$ ] ] [ $cgebland \ge 4.5 \eq 0$ [ $cgebland \ge 3.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $cgebland \ge 6.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ] [ $cgebland \ge 2.5 \eq 0$ [ $lnvgalguz \ge 0.3465735905 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $cgebland \ge 6.5 \eq 0$ [ $cgebland \ge 4.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $lnvgalguz \ge 0.3465735905 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ] ] ]
NA,900,3574,12,0.8379349377937615,6,14,27,63.66666666666667,66.0,[ $cgebland \ge 1.5 \eq 0$ [ $lnvgalguz \ge 0.8958797350000001 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $cgebland \ge 3.5 \eq 0$ [ $cgebland \ge 2.5 \eq 0$ [ $lnvgalguz \ge 0.3465735905 \eq 0$ [ $sekse \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $lnvgalguz \ge 0.8958797350000001 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] [ $class$ [ $1$ ] ] ] [ $lnvgalguz \ge 0.3465735905 \eq 1$ [ $lnvgalguz \ge 0.8958797350000001 \eq 0$ [ $cgebland \ge 6.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $cgebland \ge 6.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $sekse \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $cgebland \ge 4.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ] ] ]
NA,900,3574,13,1.5657935533672571,6,19,37,65.0,71.0,[ $sekse \eq 0 \eq 0$ [ $cgebland \ge 1.5 \eq 0$ [ $lnvgalguz \ge 0.8958797350000001 \eq 0$ [ $class$ [ $0$ ] ] [ $lnvgalguz \ge 1.242453325 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] [ $lnvgalguz \ge 0.3465735905 \eq 0$ [ $class$ [ $0$ ] ] [ $cgebland \ge 4.5 \eq 0$ [ $cgebland \ge 3.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $cgebland \ge 6.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ] ] [ $cgebland \ge 2.5 \eq 0$ [ $cgebland \ge 1.5 \eq 0$ [ $lnvgalguz \ge 1.242453325 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $lnvgalguz \ge 0.8958797350000001 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] [ $lnvgalguz \ge 0.8958797350000001 \eq 1$ [ $cgebland \ge 3.5 \eq 0$ [ $class$ [ $1$ ] ] [ $cgebland \ge 6.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $lnvgalguz \ge 0.3465735905 \eq 0$ [ $cgebland \ge 4.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $cgebland \ge 6.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ] ] ]
NA,900,3574,14,2.6309676789678633,6,23,45,65.55555555555556,71.0,[ $cgebland \ge 2.5 \eq 1$ [ $lnvgalguz \ge 1.242453325 \eq 0$ [ $lnvgalguz \ge 0.3465735905 \eq 1$ [ $lnvgalguz \ge 0.8958797350000001 \eq 1$ [ $cgebland \ge 3.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $cgebland \ge 6.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] [ $sekse \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $cgebland \ge 4.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ] [ $cgebland \ge 4.5 \eq 0$ [ $cgebland \ge 3.5 \eq 0$ [ $class$ [ $1$ ] ] [ $lnvgalguz \ge 1.4978661365 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $cgebland \ge 5.5 \eq 0$ [ $lnvgalguz \ge 1.4978661365 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $cgebland \ge 6.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ] ] [ $sekse \eq 0 \eq 0$ [ $cgebland \ge 1.5 \eq 0$ [ $lnvgalguz \ge 0.8958797350000001 \eq 0$ [ $class$ [ $0$ ] ] [ $lnvgalguz \ge 1.242453325 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] [ $lnvgalguz \ge 0.3465735905 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $cgebland \ge 1.5 \eq 0$ [ $lnvgalguz \ge 1.4978661365 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $lnvgalguz \ge 0.8958797350000001 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ] ]
