fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,900,3574,5,0.02464624075219035,1,1,1,60.55555555555555,71.0,[ $class$ [ $0$ ] ]
NA,900,3574,6,0.024666812736541033,1,1,1,60.55555555555555,71.0,[ $class$ [ $0$ ] ]
NA,900,3574,7,0.025176405906677246,1,1,1,60.55555555555555,71.0,[ $class$ [ $0$ ] ]
NA,900,3574,8,0.025822737719863653,1,1,1,60.55555555555555,71.0,[ $class$ [ $0$ ] ]
NA,900,3574,9,0.027059154119342566,1,1,1,60.55555555555555,71.0,[ $class$ [ $0$ ] ]
NA,900,3574,10,0.026587593369185925,1,1,1,60.55555555555555,71.0,[ $class$ [ $0$ ] ]
NA,900,3574,11,0.025389078073203564,1,1,1,60.55555555555555,71.0,[ $class$ [ $0$ ] ]
NA,900,3574,12,0.029663868248462677,1,1,1,60.55555555555555,71.0,[ $class$ [ $0$ ] ]
NA,900,3574,13,0.029998529236763716,1,1,1,60.55555555555555,71.0,[ $class$ [ $0$ ] ]
NA,900,3574,14,0.03894223738461733,1,1,1,60.55555555555555,71.0,[ $class$ [ $0$ ] ]
NA,900,3574,15,300.0347719239071,1,1,1,60.55555555555555,71.0,[ $class$ [ $0$ ] ]
NA,900,3574,16,0.038969369139522314,1,1,1,60.55555555555555,71.0,[ $class$ [ $0$ ] ]
NA,900,3574,17,0.039670747704803944,1,1,1,60.55555555555555,71.0,[ $class$ [ $0$ ] ]
NA,900,3574,18,0.04258545907214284,1,1,1,60.55555555555555,71.0,[ $class$ [ $0$ ] ]
NA,900,3574,19,0.05100075900554657,2,2,3,62.55555555555555,72.0,[ $lnvgalguz \ge 1.868834809 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,900,3574,20,0.05042548198252916,1,1,1,60.55555555555555,71.0,[ $class$ [ $0$ ] ]
NA,900,3574,22,0.05726975481957197,1,1,1,60.55555555555555,71.0,[ $class$ [ $0$ ] ]
NA,900,3574,24,0.07033797260373831,1,1,1,60.55555555555555,71.0,[ $class$ [ $0$ ] ]
NA,900,3574,26,0.08392474101856351,1,1,1,60.55555555555555,71.0,[ $class$ [ $0$ ] ]
NA,900,3574,28,0.09914011275395751,2,2,3,62.55555555555555,72.0,[ $lnvgalguz \ge 1.868834809 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,900,3574,30,0.1174298208206892,2,2,3,62.55555555555555,72.0,[ $lnvgalguz \ge 1.868834809 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,900,3574,32,0.13196826307103038,2,2,3,62.55555555555555,72.0,[ $lnvgalguz \ge 1.868834809 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,900,3574,34,0.1439317180775106,2,2,3,62.55555555555555,72.0,[ $lnvgalguz \ge 1.868834809 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,900,3574,36,0.16821070294827223,2,2,3,62.55555555555555,72.0,[ $lnvgalguz \ge 1.868834809 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,900,3574,38,300.1474187118001,2,2,3,62.55555555555555,72.0,[ $lnvgalguz \ge 1.868834809 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,900,3574,40,300.16048637777567,2,2,3,62.55555555555555,72.0,[ $lnvgalguz \ge 1.868834809 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,900,3574,42,-1,-1,-1,-1,-1,-1,NA
NA,900,3574,44,-1,-1,-1,-1,-1,-1,NA
NA,900,3574,46,-1,-1,-1,-1,-1,-1,NA
NA,900,3574,48,-1,-1,-1,-1,-1,-1,NA
NA,900,3574,50,-1,-1,-1,-1,-1,-1,NA
NA,900,3574,52,-1,-1,-1,-1,-1,-1,NA
NA,900,3574,54,-1,-1,-1,-1,-1,-1,NA
NA,900,3574,56,-1,-1,-1,-1,-1,-1,NA
NA,900,3574,58,-1,-1,-1,-1,-1,-1,NA
NA,900,3574,60,-1,-1,-1,-1,-1,-1,NA
NA,900,3574,65,-1,-1,-1,-1,-1,-1,NA
NA,900,3574,70,-1,-1,-1,-1,-1,-1,NA
NA,900,3574,75,-1,-1,-1,-1,-1,-1,NA
NA,900,3574,80,-1,-1,-1,-1,-1,-1,NA
NA,900,3574,85,-1,-1,-1,-1,-1,-1,NA
NA,900,3574,90,-1,-1,-1,-1,-1,-1,NA
NA,900,3574,95,-1,-1,-1,-1,-1,-1,NA
NA,900,3574,100,-1,-1,-1,-1,-1,-1,NA
NA,900,3574,105,-1,-1,-1,-1,-1,-1,NA
NA,900,3574,110,-1,-1,-1,-1,-1,-1,NA
NA,900,3574,120,-1,-1,-1,-1,-1,-1,NA
NA,900,3574,130,-1,-1,-1,-1,-1,-1,NA
NA,900,3574,140,-1,-1,-1,-1,-1,-1,NA
NA,900,3574,150,-1,-1,-1,-1,-1,-1,NA
NA,900,3574,160,-1,-1,-1,-1,-1,-1,NA
NA,900,3574,170,-1,-1,-1,-1,-1,-1,NA
NA,900,3574,180,-1,-1,-1,-1,-1,-1,NA
NA,900,3574,190,-1,-1,-1,-1,-1,-1,NA
NA,900,3574,210,-1,-1,-1,-1,-1,-1,NA
NA,900,3574,220,-1,-1,-1,-1,-1,-1,NA
NA,900,3574,230,-1,-1,-1,-1,-1,-1,NA
NA,900,3574,240,-1,-1,-1,-1,-1,-1,NA
NA,900,3574,250,-1,-1,-1,-1,-1,-1,NA
NA,900,3574,260,-1,-1,-1,-1,-1,-1,NA
NA,900,3574,270,-1,-1,-1,-1,-1,-1,NA
NA,900,3574,280,-1,-1,-1,-1,-1,-1,NA
NA,900,3574,290,-1,-1,-1,-1,-1,-1,NA
NA,900,3574,300,-1,-1,-1,-1,-1,-1,NA
NA,900,3574,325,-1,-1,-1,-1,-1,-1,NA
NA,900,3574,350,-1,-1,-1,-1,-1,-1,NA
NA,900,3574,375,-1,-1,-1,-1,-1,-1,NA
NA,900,3574,400,-1,-1,-1,-1,-1,-1,NA
NA,900,3574,425,-1,-1,-1,-1,-1,-1,NA
NA,900,3574,450,-1,-1,-1,-1,-1,-1,NA
NA,900,3574,475,-1,-1,-1,-1,-1,-1,NA
NA,900,3574,500,-1,-1,-1,-1,-1,-1,NA
NA,900,3574,525,-1,-1,-1,-1,-1,-1,NA
NA,900,3574,550,-1,-1,-1,-1,-1,-1,NA
NA,900,3574,575,-1,-1,-1,-1,-1,-1,NA
NA,900,3574,600,-1,-1,-1,-1,-1,-1,NA
NA,900,3574,625,-1,-1,-1,-1,-1,-1,NA
NA,900,3574,650,-1,-1,-1,-1,-1,-1,NA
NA,900,3574,675,-1,-1,-1,-1,-1,-1,NA
NA,900,3574,700,-1,-1,-1,-1,-1,-1,NA
NA,900,3574,750,-1,-1,-1,-1,-1,-1,NA
NA,900,3574,800,-1,-1,-1,-1,-1,-1,NA
NA,900,3574,850,-1,-1,-1,-1,-1,-1,NA
NA,900,3574,900,-1,-1,-1,-1,-1,-1,NA
NA,900,3574,950,-1,-1,-1,-1,-1,-1,NA
NA,900,3574,1000,-1,-1,-1,-1,-1,-1,NA
NA,900,3574,1050,-1,-1,-1,-1,-1,-1,NA
NA,900,3574,1100,-1,-1,-1,-1,-1,-1,NA
NA,900,3574,1150,-1,-1,-1,-1,-1,-1,NA
NA,900,3574,1200,-1,-1,-1,-1,-1,-1,NA
NA,900,3574,1250,-1,-1,-1,-1,-1,-1,NA
NA,900,3574,1300,-1,-1,-1,-1,-1,-1,NA
NA,900,3574,1350,-1,-1,-1,-1,-1,-1,NA
NA,900,3574,1400,-1,-1,-1,-1,-1,-1,NA
NA,900,3574,1450,-1,-1,-1,-1,-1,-1,NA
NA,900,3574,1500,-1,-1,-1,-1,-1,-1,NA
NA,900,3574,1600,-1,-1,-1,-1,-1,-1,NA
NA,900,3574,1700,-1,-1,-1,-1,-1,-1,NA
NA,900,3574,1800,-1,-1,-1,-1,-1,-1,NA
NA,900,3574,1900,-1,-1,-1,-1,-1,-1,NA
NA,900,3574,2000,-1,-1,-1,-1,-1,-1,NA
NA,900,3574,2200,-1,-1,-1,-1,-1,-1,NA
NA,900,3574,2400,-1,-1,-1,-1,-1,-1,NA
NA,900,3574,2600,-1,-1,-1,-1,-1,-1,NA
NA,900,3574,2800,-1,-1,-1,-1,-1,-1,NA
NA,900,3574,3000,-1,-1,-1,-1,-1,-1,NA
NA,900,3574,3200,-1,-1,-1,-1,-1,-1,NA
NA,900,3574,3400,-1,-1,-1,-1,-1,-1,NA
NA,900,3574,3574,-1,-1,-1,-1,-1,-1,NA
