fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,900,3574,5,0.01603396190330386,1,1,1,60.55555555555555,71.0,[ $class$ [ $0$ ] ]
NA,900,3574,6,0.017733692657202482,1,1,1,60.55555555555555,71.0,[ $class$ [ $0$ ] ]
NA,900,3574,7,0.02047447394579649,1,1,1,60.55555555555555,71.0,[ $class$ [ $0$ ] ]
NA,900,3574,8,0.02257799217477441,1,1,1,60.55555555555555,71.0,[ $class$ [ $0$ ] ]
NA,900,3574,9,0.025982788763940334,1,1,1,60.55555555555555,71.0,[ $class$ [ $0$ ] ]
NA,900,3574,10,0.02882017008960247,1,1,1,60.55555555555555,71.0,[ $class$ [ $0$ ] ]
NA,900,3574,11,0.03897343296557665,1,1,1,60.55555555555555,71.0,[ $class$ [ $0$ ] ]
NA,900,3574,12,0.04425845108926296,1,1,1,60.55555555555555,71.0,[ $class$ [ $0$ ] ]
NA,900,3574,13,0.0814536502584815,1,1,1,60.55555555555555,71.0,[ $class$ [ $0$ ] ]
NA,900,3574,14,0.17557257879525423,1,1,1,60.55555555555555,71.0,[ $class$ [ $0$ ] ]
NA,900,3574,15,0.2430823789909482,1,1,1,60.55555555555555,71.0,[ $class$ [ $0$ ] ]
NA,900,3574,16,12.569967360701412,2,2,3,62.55555555555555,72.0,[ $lnvgalguz \ge 1.868834809 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,900,3574,17,15.05426274985075,2,2,3,62.55555555555555,73.0,[ $lnvgalguz \ge 2.0126758455 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,900,3574,18,16.348416487220675,2,2,3,62.55555555555555,73.0,[ $lnvgalguz \ge 2.0126758455 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,900,3574,19,17.646605437155813,2,2,3,62.55555555555555,73.0,[ $lnvgalguz \ge 2.0126758455 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,900,3574,20,19.456794953905046,2,2,3,62.55555555555555,73.0,[ $lnvgalguz \ge 2.0126758455 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,900,3574,22,24.60894798580557,2,2,3,62.55555555555555,73.0,[ $lnvgalguz \ge 2.0126758455 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
