fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,838,3517,5,305.7176954280585,6,32,63,93.7947494033413,95.74468085106383,[ $cgebland \ge 1.5 \eq 0$ [ $cgebland \ge 1.5 \eq 0$ [ $cgebland \ge 1.5 \eq 0$ [ $cgebland \ge 1.5 \eq 0$ [ $cgebland \ge 1.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $cgebland \ge 1.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $cgebland \ge 1.5 \eq 0$ [ $cgebland \ge 1.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $cgebland \ge 1.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] [ $cgebland \ge 1.5 \eq 0$ [ $cgebland \ge 1.5 \eq 0$ [ $cgebland \ge 1.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $cgebland \ge 1.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $cgebland \ge 1.5 \eq 0$ [ $cgebland \ge 1.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $cgebland \ge 1.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] ] [ $cgebland \ge 1.5 \eq 0$ [ $cgebland \ge 1.5 \eq 0$ [ $cgebland \ge 1.5 \eq 0$ [ $cgebland \ge 1.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $cgebland \ge 1.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $cgebland \ge 1.5 \eq 0$ [ $cgebland \ge 1.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $cgebland \ge 1.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] [ $cgebland \ge 1.5 \eq 0$ [ $cgebland \ge 1.5 \eq 0$ [ $cgebland \ge 1.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $cgebland \ge 1.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $cgebland \ge 1.5 \eq 0$ [ $cgebland \ge 1.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $cgebland \ge 1.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] ] ]
NA,838,3517,6,303.2482039751485,6,32,63,93.7947494033413,95.74468085106383,[ $cgebland \ge 1.5 \eq 0$ [ $cgebland \ge 1.5 \eq 0$ [ $cgebland \ge 1.5 \eq 0$ [ $cgebland \ge 1.5 \eq 0$ [ $cgebland \ge 1.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $cgebland \ge 1.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $cgebland \ge 1.5 \eq 0$ [ $cgebland \ge 1.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $cgebland \ge 1.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] [ $cgebland \ge 1.5 \eq 0$ [ $cgebland \ge 1.5 \eq 0$ [ $cgebland \ge 1.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $cgebland \ge 1.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $cgebland \ge 1.5 \eq 0$ [ $cgebland \ge 1.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $cgebland \ge 1.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] ] [ $cgebland \ge 1.5 \eq 0$ [ $cgebland \ge 1.5 \eq 0$ [ $cgebland \ge 1.5 \eq 0$ [ $cgebland \ge 1.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $cgebland \ge 1.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $cgebland \ge 1.5 \eq 0$ [ $cgebland \ge 1.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $cgebland \ge 1.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] [ $cgebland \ge 1.5 \eq 0$ [ $cgebland \ge 1.5 \eq 0$ [ $cgebland \ge 1.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $cgebland \ge 1.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $cgebland \ge 1.5 \eq 0$ [ $cgebland \ge 1.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $cgebland \ge 1.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] ] ]
NA,838,3517,7,303.8812590460293,6,32,63,93.7947494033413,95.74468085106383,[ $cgebland \ge 1.5 \eq 0$ [ $cgebland \ge 1.5 \eq 0$ [ $cgebland \ge 1.5 \eq 0$ [ $cgebland \ge 1.5 \eq 0$ [ $cgebland \ge 1.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $cgebland \ge 1.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $cgebland \ge 1.5 \eq 0$ [ $cgebland \ge 1.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $cgebland \ge 1.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] [ $cgebland \ge 1.5 \eq 0$ [ $cgebland \ge 1.5 \eq 0$ [ $cgebland \ge 1.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $cgebland \ge 1.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $cgebland \ge 1.5 \eq 0$ [ $cgebland \ge 1.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $cgebland \ge 1.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] ] [ $cgebland \ge 1.5 \eq 0$ [ $cgebland \ge 1.5 \eq 0$ [ $cgebland \ge 1.5 \eq 0$ [ $cgebland \ge 1.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $cgebland \ge 1.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $cgebland \ge 1.5 \eq 0$ [ $cgebland \ge 1.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $cgebland \ge 1.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] [ $cgebland \ge 1.5 \eq 0$ [ $cgebland \ge 1.5 \eq 0$ [ $cgebland \ge 1.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $cgebland \ge 1.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $cgebland \ge 1.5 \eq 0$ [ $cgebland \ge 1.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $cgebland \ge 1.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] ] ]
NA,838,3517,8,-1,-1,-1,-1,-1,-1,NA
NA,838,3517,9,-1,-1,-1,-1,-1,-1,NA
NA,838,3517,10,-1,-1,-1,-1,-1,-1,NA
NA,838,3517,11,-1,-1,-1,-1,-1,-1,NA
NA,838,3517,12,-1,-1,-1,-1,-1,-1,NA
NA,838,3517,13,-1,-1,-1,-1,-1,-1,NA
NA,838,3517,14,-1,-1,-1,-1,-1,-1,NA
