fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,838,3517,5,0.03599186986684799,1,1,1,93.7947494033413,95.74468085106383,[ $class$ [ $0$ ] ]
NA,838,3517,6,0.035067939199507236,1,1,1,93.7947494033413,95.74468085106383,[ $class$ [ $0$ ] ]
NA,838,3517,7,0.038407023064792156,1,1,1,93.7947494033413,95.74468085106383,[ $class$ [ $0$ ] ]
NA,838,3517,8,0.04911344591528177,1,1,1,93.7947494033413,95.74468085106383,[ $class$ [ $0$ ] ]
NA,838,3517,9,0.037952748127281666,1,1,1,93.7947494033413,95.74468085106383,[ $class$ [ $0$ ] ]
NA,838,3517,10,0.04143034899607301,1,1,1,93.7947494033413,95.74468085106383,[ $class$ [ $0$ ] ]
NA,838,3517,11,0.04322633007541299,1,1,1,93.7947494033413,95.74468085106383,[ $class$ [ $0$ ] ]
NA,838,3517,12,0.05510664824396372,1,1,1,93.7947494033413,95.74468085106383,[ $class$ [ $0$ ] ]
NA,838,3517,13,0.046112359035760164,1,1,1,93.7947494033413,95.74468085106383,[ $class$ [ $0$ ] ]
NA,838,3517,14,0.05667991377413273,1,1,1,93.7947494033413,95.74468085106383,[ $class$ [ $0$ ] ]
NA,838,3517,15,0.05728548625484109,1,1,1,93.7947494033413,95.74468085106383,[ $class$ [ $0$ ] ]
NA,838,3517,16,0.06028783321380615,1,1,1,93.7947494033413,95.74468085106383,[ $class$ [ $0$ ] ]
NA,838,3517,17,0.050575907807797194,1,1,1,93.7947494033413,95.74468085106383,[ $class$ [ $0$ ] ]
NA,838,3517,18,0.061022075824439526,1,1,1,93.7947494033413,95.74468085106383,[ $class$ [ $0$ ] ]
NA,838,3517,19,0.05200813710689545,1,1,1,93.7947494033413,95.74468085106383,[ $class$ [ $0$ ] ]
NA,838,3517,20,0.06482176762074232,1,1,1,93.7947494033413,95.74468085106383,[ $class$ [ $0$ ] ]
NA,838,3517,22,0.05853268038481474,1,1,1,93.7947494033413,95.74468085106383,[ $class$ [ $0$ ] ]
