fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,900,3797,5,303.9897053381428,6,32,63,75.0,70.0,[ $sekse \eq 0 \eq 0$ [ $sekse \eq 0 \eq 0$ [ $sekse \eq 0 \eq 0$ [ $sekse \eq 0 \eq 0$ [ $sekse \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sekse \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $sekse \eq 0 \eq 0$ [ $sekse \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sekse \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] [ $sekse \eq 0 \eq 0$ [ $sekse \eq 0 \eq 0$ [ $sekse \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sekse \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $sekse \eq 0 \eq 0$ [ $sekse \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sekse \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] ] [ $sekse \eq 0 \eq 0$ [ $sekse \eq 0 \eq 0$ [ $sekse \eq 0 \eq 0$ [ $sekse \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sekse \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $sekse \eq 0 \eq 0$ [ $sekse \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sekse \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] [ $sekse \eq 0 \eq 0$ [ $sekse \eq 0 \eq 0$ [ $sekse \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sekse \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $sekse \eq 0 \eq 0$ [ $sekse \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sekse \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] ] ]
NA,900,3797,6,304.2760234330781,6,32,63,75.0,70.0,[ $sekse \eq 0 \eq 0$ [ $sekse \eq 0 \eq 0$ [ $sekse \eq 0 \eq 0$ [ $sekse \eq 0 \eq 0$ [ $sekse \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sekse \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $sekse \eq 0 \eq 0$ [ $sekse \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sekse \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] [ $sekse \eq 0 \eq 0$ [ $sekse \eq 0 \eq 0$ [ $sekse \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sekse \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $sekse \eq 0 \eq 0$ [ $sekse \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sekse \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] ] [ $sekse \eq 0 \eq 0$ [ $sekse \eq 0 \eq 0$ [ $sekse \eq 0 \eq 0$ [ $sekse \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sekse \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $sekse \eq 0 \eq 0$ [ $sekse \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sekse \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] [ $sekse \eq 0 \eq 0$ [ $sekse \eq 0 \eq 0$ [ $sekse \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sekse \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $sekse \eq 0 \eq 0$ [ $sekse \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sekse \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] ] ]
NA,900,3797,7,304.45112768700346,6,32,63,75.0,70.0,[ $sekse \eq 0 \eq 0$ [ $sekse \eq 0 \eq 0$ [ $sekse \eq 0 \eq 0$ [ $sekse \eq 0 \eq 0$ [ $sekse \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sekse \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $sekse \eq 0 \eq 0$ [ $sekse \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sekse \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] [ $sekse \eq 0 \eq 0$ [ $sekse \eq 0 \eq 0$ [ $sekse \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sekse \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $sekse \eq 0 \eq 0$ [ $sekse \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sekse \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] ] [ $sekse \eq 0 \eq 0$ [ $sekse \eq 0 \eq 0$ [ $sekse \eq 0 \eq 0$ [ $sekse \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sekse \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $sekse \eq 0 \eq 0$ [ $sekse \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sekse \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] [ $sekse \eq 0 \eq 0$ [ $sekse \eq 0 \eq 0$ [ $sekse \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sekse \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $sekse \eq 0 \eq 0$ [ $sekse \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sekse \eq 0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] ] ]
NA,900,3797,8,-1,-1,-1,-1,-1,-1,NA
NA,900,3797,9,-1,-1,-1,-1,-1,-1,NA
NA,900,3797,10,-1,-1,-1,-1,-1,-1,NA
NA,900,3797,11,-1,-1,-1,-1,-1,-1,NA
NA,900,3797,12,-1,-1,-1,-1,-1,-1,NA
NA,900,3797,13,-1,-1,-1,-1,-1,-1,NA
NA,900,3797,14,-1,-1,-1,-1,-1,-1,NA
