fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,900,3797,5,0.02345108287408948,1,1,1,75.0,70.0,[ $class$ [ $0$ ] ]
NA,900,3797,6,0.026422523893415928,1,1,1,75.0,70.0,[ $class$ [ $0$ ] ]
NA,900,3797,7,0.02552264230325818,1,1,1,75.0,70.0,[ $class$ [ $0$ ] ]
NA,900,3797,8,0.025667176116257906,1,1,1,75.0,70.0,[ $class$ [ $0$ ] ]
NA,900,3797,9,0.027757679112255573,1,1,1,75.0,70.0,[ $class$ [ $0$ ] ]
NA,900,3797,10,0.029165170155465603,1,1,1,75.0,70.0,[ $class$ [ $0$ ] ]
NA,900,3797,11,0.0294788870960474,1,1,1,75.0,70.0,[ $class$ [ $0$ ] ]
NA,900,3797,12,0.031051605008542538,1,1,1,75.0,70.0,[ $class$ [ $0$ ] ]
NA,900,3797,13,0.033334800973534584,1,1,1,75.0,70.0,[ $class$ [ $0$ ] ]
NA,900,3797,14,0.03311222977936268,1,1,1,75.0,70.0,[ $class$ [ $0$ ] ]
NA,900,3797,15,0.036346955224871635,1,1,1,75.0,70.0,[ $class$ [ $0$ ] ]
NA,900,3797,16,0.03615605179220438,1,1,1,75.0,70.0,[ $class$ [ $0$ ] ]
NA,900,3797,17,0.03925069095566869,1,1,1,75.0,70.0,[ $class$ [ $0$ ] ]
NA,900,3797,18,0.04069316713139415,1,1,1,75.0,70.0,[ $class$ [ $0$ ] ]
NA,900,3797,19,0.04232888529077172,1,1,1,75.0,70.0,[ $class$ [ $0$ ] ]
NA,900,3797,20,0.04371944675222039,1,1,1,75.0,70.0,[ $class$ [ $0$ ] ]
NA,900,3797,22,0.05130981095135212,1,1,1,75.0,70.0,[ $class$ [ $0$ ] ]
NA,900,3797,24,0.05692142341285944,1,1,1,75.0,70.0,[ $class$ [ $0$ ] ]
NA,900,3797,26,0.0630819839425385,1,1,1,75.0,70.0,[ $class$ [ $0$ ] ]
NA,900,3797,28,300.07581644598395,1,1,1,75.0,70.0,[ $class$ [ $0$ ] ]
NA,900,3797,30,300.0893100341782,1,1,1,75.0,70.0,[ $class$ [ $0$ ] ]
NA,900,3797,32,0.0954063730314374,2,2,3,77.0,77.0,[ $lnvgalguz \ge 2.7403194615000004 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,900,3797,34,0.11100877681747079,2,2,3,77.0,77.0,[ $lnvgalguz \ge 2.7403194615000004 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,900,3797,36,0.13087637070566416,2,2,3,77.0,77.0,[ $lnvgalguz \ge 2.7403194615000004 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,900,3797,38,0.15487431129440665,2,2,3,77.0,77.0,[ $lnvgalguz \ge 2.7403194615000004 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
