fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,900,3797,5,0.020777477882802486,1,1,1,75.0,70.0,[ $class$ [ $0$ ] ]
NA,900,3797,6,0.020004834048449993,1,1,1,75.0,70.0,[ $class$ [ $0$ ] ]
NA,900,3797,7,0.02223009616136551,1,1,1,75.0,70.0,[ $class$ [ $0$ ] ]
NA,900,3797,8,0.024966435972601175,1,1,1,75.0,70.0,[ $class$ [ $0$ ] ]
NA,900,3797,9,0.027147432789206505,1,1,1,75.0,70.0,[ $class$ [ $0$ ] ]
NA,900,3797,10,0.03012074762955308,1,1,1,75.0,70.0,[ $class$ [ $0$ ] ]
NA,900,3797,11,0.034697658848017454,1,1,1,75.0,70.0,[ $class$ [ $0$ ] ]
NA,900,3797,12,0.04060846986249089,1,1,1,75.0,70.0,[ $class$ [ $0$ ] ]
NA,900,3797,13,0.05359504325315356,2,2,3,75.0,70.0,[ $lnvgalguz \ge 1.242453325 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
NA,900,3797,14,0.057130370289087296,2,2,3,75.0,70.0,[ $lnvgalguz \ge 1.4978661365 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
NA,900,3797,15,0.06366391805931926,2,2,3,75.0,70.0,[ $lnvgalguz \ge 1.4978661365 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
NA,900,3797,16,0.06966300494968891,2,2,3,75.0,70.0,[ $lnvgalguz \ge 1.4978661365 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
NA,900,3797,17,0.07474069716408849,2,2,3,75.0,70.0,[ $lnvgalguz \ge 2.0126758455 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
NA,900,3797,18,0.08124505402520299,2,2,3,75.0,70.0,[ $lnvgalguz \ge 2.1383330595 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
NA,900,3797,19,0.08744373498484492,2,2,3,75.0,70.0,[ $lnvgalguz \ge 2.1383330595 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
