dataset,optimization,sample_size,training_accuracy(%),test_accuracy(%),leaves,duration(s),source
adult,CART,11,1.0,0.5678137651821862,5,0.01573256100000009,[ $PercentTradesWBalance \ge 52.0$ [ $ExternalRiskEstimate \ge 85.0$ [ $PercentTradesWBalance \ge 41.5$ [ $ExternalRiskEstimate \ge 78.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ]
adult,GOSDT,11,1.0,0.5607287449392713,5,0.1509915340000001,[ $ExternalRiskEstimate \ge 64.0$ [ $ExternalRiskEstimate \ge 68.5$ [ $ExternalRiskEstimate \ge 73.5$ [ $ExternalRiskEstimate \ge 85.0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ]
adult,CART,12,1.0,0.5683890577507599,5,0.005776922000000351,[ $PercentTradesWBalance \ge 52.0$ [ $ExternalRiskEstimate \ge 85.0$ [ $PercentTradesWBalance \ge 41.5$ [ $ExternalRiskEstimate \ge 78.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ]
adult,GOSDT,12,1.0,0.6048632218844985,5,0.08975750600000021,[ $ExternalRiskEstimate \ge 78.5$ [ $ExternalRiskEstimate \ge 85.0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $PercentTradesWBalance \ge 41.5$ [ $PercentTradesWBalance \ge 52.0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ] ]
adult,CART,14,1.0,0.5654822335025381,5,0.010441317000000616,[ $PercentTradesWBalance \ge 52.0$ [ $ExternalRiskEstimate \ge 85.0$ [ $PercentTradesWBalance \ge 34.0$ [ $class$ [ $0$ ] ] [ $PercentTradesWBalance \ge 41.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ]
adult,GOSDT,14,1.0,0.5654822335025381,5,0.18988752699999978,[ $ExternalRiskEstimate \ge 85.0$ [ $class$ [ $1$ ] ] [ $PercentTradesWBalance \ge 34.0$ [ $PercentTradesWBalance \ge 41.5$ [ $PercentTradesWBalance \ge 52.0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ] ]
adult,CART,18,1.0,0.6034658511722731,5,0.0020650540000000106,[ $PercentTradesWBalance \ge 52.0$ [ $ExternalRiskEstimate \ge 88.5$ [ $ExternalRiskEstimate \ge 75.5$ [ $ExternalRiskEstimate \ge 68.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ]
adult,GOSDT,18,1.0,0.6034658511722731,5,0.2301801320000001,[ $ExternalRiskEstimate \ge 88.5$ [ $class$ [ $1$ ] ] [ $PercentTradesWBalance \ge 52.0$ [ $class$ [ $1$ ] ] [ $ExternalRiskEstimate \ge 68.5$ [ $ExternalRiskEstimate \ge 75.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ] ] ]
adult,CART,26,0.9230769230769231,0.591983556012333,10,0.002216023999999983,[ $PercentTradesWBalance \ge 52.0$ [ $ExternalRiskEstimate \ge 91.0$ [ $PercentTradesWBalance \ge 48.5$ [ $PercentTradesWBalance \ge 45.5$ [ $PercentTradesWBalance \ge 41.5$ [ $PercentTradesWBalance \ge 34.0$ [ $PercentTradesWBalance \ge 27.0$ [ $PercentTradesWBalance \ge 22.5$ [ $ExternalRiskEstimate \ge 58.5$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ]
adult,GOSDT,26,0.9230769230769231,0.60431654676259,6,0.24404647099999988,[ $ExternalRiskEstimate \ge 89.0$ [ $PercentTradesWBalance \ge 22.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $PercentTradesWBalance \ge 52.0$ [ $class$ [ $1$ ] ] [ $ExternalRiskEstimate \ge 68.5$ [ $ExternalRiskEstimate \ge 75.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ] ] ]
