dataset,optimization,features,training_accuracy(%),leaves,regularization_upperbound,duration(s),source
adult,CART,1,0.96,4,0.125,0.004966930999984243,[ $petal_width \ge 1.75$ [ $petal_width \ge 1.35$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $petal_width \ge 1.85$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ]
adult,BinOCT,1,0.96,4,0.125,0.4230929729999957,[ $petal_width \ge 1.75$ [ $petal_width \ge 1.65$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $petal_width \ge 1.45$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
adult,DL8.5,1,0.96,2,0.25,0.014110724999994773,[ $petal_width \ge 1.65$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
adult,OSDT,1,0.96,2,0.25,0.006367359999984501,[ $petal_width \ge 1.75$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
adult,GOSDT,1,0.96,2,0.12686673800150594,0.02487450899999999,[ $petal_width \ge 1.65$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
adult,CART,2,0.9733333333333334,4,0.125,0.005822397000002866,[ $petal_width \ge 1.75$ [ $petal_length \ge 4.95$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $petal_length \ge 4.85$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ]
adult,BinOCT,2,0.98,4,0.125,0.9470991750000053,[ $petal_width \ge 1.65$ [ $petal_length \ge 4.95$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $petal_length \ge 4.45$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ]
adult,DL8.5,2,0.98,3,0.16666666666666666,0.007079043999993928,[ $petal_width \ge 1.65$ [ $class$ [ $1$ ] ] [ $petal_length \ge 4.95$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
adult,OSDT,2,0.96,2,0.25,0.013794466000007333,[ $petal_width \ge 1.75$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
adult,GOSDT,2,0.96,2,0.25,0.018163974999993115,[ $petal_width \ge 1.65$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
adult,CART,3,0.9733333333333334,4,0.125,0.003817636999997376,[ $petal_width \ge 1.75$ [ $petal_length \ge 4.95$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $petal_length \ge 4.85$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ]
adult,BinOCT,3,0.98,4,0.125,3.5858849290000023,[ $petal_length \ge 4.95$ [ $petal_width \ge 1.65$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $sepal_length \ge 5.95$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ]
adult,DL8.5,3,0.98,3,0.16666666666666666,0.01891771800001152,[ $petal_width \ge 1.65$ [ $class$ [ $1$ ] ] [ $petal_length \ge 4.95$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
adult,OSDT,3,0.96,2,0.25,0.07542521199999896,[ $petal_width \ge 1.75$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
adult,GOSDT,3,0.96,2,0.25,0.02596007400001099,[ $petal_width \ge 1.65$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
adult,CART,4,0.9733333333333334,4,0.125,0.003234118999984048,[ $petal_width \ge 1.75$ [ $petal_length \ge 4.95$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $petal_length \ge 4.85$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ]
adult,BinOCT,4,0.98,4,0.125,8.042956299000025,[ $petal_length \ge 4.95$ [ $petal_width \ge 1.65$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $petal_width \ge 1.35$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ]
adult,DL8.5,4,0.98,3,0.16666666666666666,0.01205796799999348,[ $petal_width \ge 1.65$ [ $class$ [ $1$ ] ] [ $petal_length \ge 4.95$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
adult,OSDT,4,0.96,2,0.25,0.03529865199999449,[ $petal_width \ge 1.75$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
adult,GOSDT,4,0.96,2,0.25,0.04293141799999489,[ $petal_width \ge 1.65$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
