dataset,optimization,sample_size,training_accuracy(%),leaves,maximum_regularization,duration(s),source
adult,CART,8,1.0,2,0.125,0.0039717110000054845,[ $petal_width \ge 1.75$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
adult,BinOCT,8,1.0,4,0.125,0.17196994900000107,[ $petal_width \ge 1.75$ [ $petal_width \ge 1.75$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $petal_width \ge 1.75$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ]
adult,DL8.5,8,1.0,2,0.125,0.0018024620000005598,[ $petal_width \ge 1.75$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
adult,OSDT,8,1.0,2,0.125,0.029018766000000085,[ $petal_length \ge 5.25$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
adult,GOSDT,8,1.0,2,-0.12479999661445618,0.020576718000000938,[ $petal_width \ge 1.75$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
adult,CART,16,1.0,2,0.25,0.0032959249999962026,[ $petal_length \ge 4.699999999999999$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
adult,BinOCT,16,1.0,4,0.125,0.14595117900000076,[ $petal_length \ge 4.699999999999999$ [ $sepal_width \ge 3.05$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sepal_width \ge 3.05$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ]
adult,DL8.5,16,1.0,2,0.25,0.0020346960000026115,[ $petal_length \ge 4.699999999999999$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
adult,OSDT,16,1.0,2,0.25,0.015273857000003943,[ $petal_length \ge 4.699999999999999$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
adult,GOSDT,16,1.0,2,-0.24979999661445618,0.021873479999996448,[ $petal_length \ge 4.699999999999999$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
adult,CART,32,0.96875,3,0.125,0.002051461999997173,[ $petal_length \ge 4.9$ [ $class$ [ $0$ ] ] [ $petal_width \ge 1.75$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
adult,BinOCT,32,1.0,4,0.125,0.47789160100000316,[ $sepal_length \ge 7.05$ [ $petal_width \ge 1.85$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $petal_width \ge 1.65$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ]
adult,DL8.5,32,1.0,4,0.125,0.002862131000000545,[ $petal_width \ge 1.65$ [ $petal_width \ge 1.85$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $petal_width \ge 1.55$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
adult,OSDT,32,0.96875,2,0.15625,0.029642506999998375,[ $petal_length \ge 4.9$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
adult,GOSDT,32,0.96875,2,-0.12479999661445618,0.024518004000000815,[ $petal_width \ge 1.85$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
adult,CART,64,0.984375,4,0.125,0.0076675629999982675,[ $petal_length \ge 4.95$ [ $petal_width \ge 1.65$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $petal_width \ge 1.75$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ]
adult,BinOCT,64,0.984375,4,0.125,1.2283356319999967,[ $petal_length \ge 4.95$ [ $petal_width \ge 1.65$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $petal_width \ge 1.45$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
adult,DL8.5,64,0.734375,1,0,0.0021698560000018574,[ $class$ [ $0$ ] ]
adult,OSDT,64,0.96875,2,0.25,0.05473875199999867,[ $petal_length \ge 4.95$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
adult,GOSDT,64,0.96875,2,0.18770000338554382,0.028097845000004895,[ $petal_length \ge 4.95$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
adult,CART,128,0.96875,4,0.125,0.0028802759999990712,[ $petal_width \ge 1.75$ [ $petal_length \ge 4.95$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $petal_length \ge 4.85$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ]
adult,BinOCT,128,0.9765625,4,0.125,5.7129086650000005,[ $petal_width \ge 1.65$ [ $petal_length \ge 4.95$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $sepal_length \ge 5.65$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ]
adult,DL8.5,128,0.9609375,3,0.16666666666666666,0.009275132000006181,[ $petal_width \ge 1.65$ [ $class$ [ $1$ ] ] [ $petal_length \ge 4.75$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
adult,OSDT,128,0.9609375,2,0.25,0.02452562500000255,[ $petal_width \ge 1.75$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
adult,GOSDT,128,0.9609375,2,0.25,0.034304845999997724,[ $petal_width \ge 1.65$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
