dataset,optimization,features,training_accuracy(%),leaves,regularization_upperbound,duration(s),source
adult,CART,1,0.96,4,0.125,0.0035622229999998645,[ $petal_width \ge 1.75$ [ $petal_width \ge 1.35$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $petal_width \ge 1.85$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ]
adult,BinOCT,1,0.96,4,0.125,1.056752163,[ $petal_width \ge 0.15000000000000002$ [ $petal_width \ge 0.15000000000000002$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $petal_width \ge 1.65$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
adult,DL8.5,1,0.96,2,0.25,0.09286404800000003,[ $petal_width \ge 1.65$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
adult,OSDT,1,0.96,2,0.25,0.01960953799999965,[ $petal_width \ge 1.75$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
adult,GOSDT,1,0.96,2,0.12686673800150594,0.02191016800000023,[ $petal_width \ge 1.65$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
adult,CART,2,0.9733333333333334,4,0.125,0.001968082999999954,[ $petal_width \ge 1.75$ [ $petal_length \ge 4.95$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $petal_length \ge 4.85$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ]
adult,BinOCT,2,0.98,4,0.125,4.981630674,[ $petal_length \ge 4.95$ [ $petal_width \ge 1.65$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $petal_width \ge 1.05$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
adult,DL8.5,2,0.98,3,0.16666666666666666,0.01863445899999938,[ $petal_width \ge 1.65$ [ $class$ [ $1$ ] ] [ $petal_length \ge 4.95$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
adult,OSDT,2,0.96,2,0.25,0.04098311100000096,[ $petal_width \ge 1.75$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
adult,GOSDT,2,0.96,2,0.25,0.06858358800000097,[ $petal_width \ge 1.65$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
adult,CART,3,0.9733333333333334,4,0.125,0.0033460430000005204,[ $petal_width \ge 1.75$ [ $petal_length \ge 4.95$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $petal_length \ge 4.85$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ]
adult,BinOCT,3,0.98,4,0.125,146.457455475,[ $petal_length \ge 4.95$ [ $petal_width \ge 1.65$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $petal_width \ge 0.55$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
adult,DL8.5,3,0.98,3,0.16666666666666666,0.030420851000002358,[ $petal_width \ge 1.65$ [ $class$ [ $1$ ] ] [ $petal_length \ge 4.95$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
adult,OSDT,3,0.96,2,0.25,0.06457389000001967,[ $petal_width \ge 1.75$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
adult,GOSDT,3,0.96,2,0.25,0.17889698700000167,[ $petal_width \ge 1.65$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
adult,CART,4,0.9733333333333334,4,0.125,0.0021340600000030463,[ $petal_width \ge 1.75$ [ $petal_length \ge 4.95$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $petal_length \ge 4.85$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ]
adult,BinOCT,4,0.98,4,0.125,47.845817466,[ $petal_width \ge 1.55$ [ $petal_length \ge 4.95$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $petal_width \ge 1.65$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
adult,DL8.5,4,0.98,3,0.16666666666666666,0.0301220199999932,[ $petal_width \ge 1.65$ [ $class$ [ $1$ ] ] [ $petal_length \ge 4.95$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
adult,OSDT,4,0.96,2,0.25,0.0740177999999787,[ $petal_width \ge 1.75$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
adult,GOSDT,4,0.96,2,0.25,0.5925356940000199,[ $petal_width \ge 1.65$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
