fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
0,500,16,32,0.008110408205538988,2,2,3,92.2,92.0,[ $a4_1 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
1,500,16,32,0.0028570019640028477,2,2,3,92.4,91.2,[ $a4_2 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
2,500,16,32,0.003019524272531271,2,2,3,92.0,92.80000000000001,[ $a3_3 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
3,500,16,32,0.002980629913508892,2,2,3,92.2,92.0,[ $a4_4 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
4,500,16,32,0.00294707203283906,2,2,3,92.0,92.80000000000001,[ $a3_2 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
0,500,16,32,0.0029281103052198887,3,4,7,92.2,92.0,[ $a3_1 \eq 1$ [ $a2_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $a2_1 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ]
1,500,16,32,0.0031494800932705402,3,4,7,92.4,91.2,[ $a4_2 \eq 0$ [ $a2_2 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $a3_2 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ]
2,500,16,32,0.0031219711527228355,3,4,7,92.0,92.80000000000001,[ $a4_3 \eq 0$ [ $a2_3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $a2_3 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ]
3,500,16,32,0.0030807889997959137,3,4,7,92.2,92.0,[ $a4_4 \eq 1$ [ $a2_4 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $a2_4 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ]
4,500,16,32,0.0030706096440553665,3,4,7,92.0,92.80000000000001,[ $a3_2 \eq 1$ [ $a3_4 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $a1_2 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ]
0,500,16,32,0.003063499927520752,4,8,15,92.2,92.0,[ $a4_1 \eq 1$ [ $a3_1 \eq 1$ [ $a2_1 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $a2_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $a2_1 \eq 0$ [ $a3_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $a3_4 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ]
1,500,16,32,0.003102283924818039,4,8,15,92.4,91.2,[ $a4_2 \eq 1$ [ $a3_2 \eq 0$ [ $a2_2 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $a2_2 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $a2_2 \eq 0$ [ $a3_2 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $a3_2 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ]
2,500,16,32,0.002991389948874712,4,7,13,92.0,92.80000000000001,[ $a4_3 \eq 0$ [ $a2_3 \eq 1$ [ $class$ [ $0$ ] ] [ $a3_3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $a2_3 \eq 0$ [ $a3_3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $a3_3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ]
