fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
0,500,16,32,-1,-1,-1,-1,-1,-1,NA
1,500,16,32,-1,-1,-1,-1,-1,-1,NA
2,500,16,32,-1,-1,-1,-1,-1,-1,NA
3,500,16,32,-1,-1,-1,-1,-1,-1,NA
4,500,16,32,-1,-1,-1,-1,-1,-1,NA
0,500,16,32,0.004304901231080294,2,2,3,92.2,92.0,[ $a1_2  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
1,500,16,32,0.003406125120818615,2,2,3,92.4,91.2,[ $a1_1  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
2,500,16,32,0.002997426316142082,2,2,3,92.0,92.80000000000001,[ $a1_1  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
3,500,16,32,0.002893181052058935,2,2,3,92.2,92.0,[ $a1_1  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
4,500,16,32,0.0028846082277595997,2,2,3,92.0,92.80000000000001,[ $a1_1  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
0,500,16,32,0.013700229115784168,2,2,3,92.2,92.0,[ $a1_2  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
1,500,16,32,0.014077831991016865,2,2,3,92.4,91.2,[ $a1_1  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
2,500,16,32,0.013435854576528072,2,2,3,92.0,92.80000000000001,[ $a1_1  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
3,500,16,32,0.013389298226684332,2,2,3,92.2,92.0,[ $a1_1  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
4,500,16,32,0.0170253892429173,2,2,3,92.0,92.80000000000001,[ $a1_1  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
0,500,16,32,0.0808254424482584,5,5,9,92.4,92.0,[ $a1_2  \eq  1$ [ $a2_1  \eq  1$ [ $a3_1  \eq  1$ [ $a4_2  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ]
1,500,16,32,0.08030689135193825,5,5,9,92.60000000000001,91.2,[ $a1_1  \eq  1$ [ $a2_1  \eq  1$ [ $a3_1  \eq  1$ [ $a4_1  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ]
