fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
0,500,16,32,0.17697855876758695,1,1,1,92.2,92.0,[ $class$ [ $0$ ] ]
1,500,16,32,0.16764861764386296,1,1,1,92.4,91.2,[ $class$ [ $0$ ] ]
2,500,16,32,0.16127677960321307,1,1,1,92.0,92.80000000000001,[ $class$ [ $0$ ] ]
3,500,16,32,0.16798584582284093,1,1,1,92.2,92.0,[ $class$ [ $0$ ] ]
4,500,16,32,0.15903097111731768,1,1,1,92.0,92.80000000000001,[ $class$ [ $0$ ] ]
0,500,16,32,0.19296377431601286,1,1,1,92.2,92.0,[ $class$ [ $0$ ] ]
1,500,16,32,0.15739532699808478,1,1,1,92.4,91.2,[ $class$ [ $0$ ] ]
2,500,16,32,0.15762239089235663,1,1,1,92.0,92.80000000000001,[ $class$ [ $0$ ] ]
3,500,16,32,0.17144048493355513,1,1,1,92.2,92.0,[ $class$ [ $0$ ] ]
4,500,16,32,0.18666292494162917,1,1,1,92.0,92.80000000000001,[ $class$ [ $0$ ] ]
0,500,16,32,0.20065666874870658,1,1,1,92.2,92.0,[ $class$ [ $0$ ] ]
1,500,16,32,0.17406081408262253,1,1,1,92.4,91.2,[ $class$ [ $0$ ] ]
2,500,16,32,0.15880056796595454,1,1,1,92.0,92.80000000000001,[ $class$ [ $0$ ] ]
3,500,16,32,0.14800010016188025,1,1,1,92.2,92.0,[ $class$ [ $0$ ] ]
4,500,16,32,0.1758098592981696,1,1,1,92.0,92.80000000000001,[ $class$ [ $0$ ] ]
0,500,16,32,0.17149508791044354,1,1,1,92.2,92.0,[ $class$ [ $0$ ] ]
1,500,16,32,0.1575947366654873,1,1,1,92.4,91.2,[ $class$ [ $0$ ] ]
2,500,16,32,0.16141697391867638,1,1,1,92.0,92.80000000000001,[ $class$ [ $0$ ] ]
3,500,16,32,0.15715402690693736,1,1,1,92.2,92.0,[ $class$ [ $0$ ] ]
4,500,16,32,0.20425694109871984,1,1,1,92.0,92.80000000000001,[ $class$ [ $0$ ] ]
0,500,16,32,0.17916417494416237,1,1,1,92.2,92.0,[ $class$ [ $0$ ] ]
1,500,16,32,0.1730636260472238,1,1,1,92.4,91.2,[ $class$ [ $0$ ] ]
2,500,16,32,0.156381047796458,1,1,1,92.0,92.80000000000001,[ $class$ [ $0$ ] ]
3,500,16,32,0.16185048315674067,1,1,1,92.2,92.0,[ $class$ [ $0$ ] ]
4,500,16,32,0.1776248780079186,1,1,1,92.0,92.80000000000001,[ $class$ [ $0$ ] ]
0,500,16,32,0.7872860128991306,1,1,1,92.2,92.0,[ $class$ [ $0$ ] ]
1,500,16,32,0.6805561590008438,1,1,1,92.4,91.2,[ $class$ [ $0$ ] ]
2,500,16,32,0.7797229718416929,1,1,1,92.0,92.80000000000001,[ $class$ [ $0$ ] ]
3,500,16,32,0.7333748121745884,1,1,1,92.2,92.0,[ $class$ [ $0$ ] ]
4,500,16,32,0.756408351007849,1,1,1,92.0,92.80000000000001,[ $class$ [ $0$ ] ]
0,500,16,32,4.946880866307765,1,1,1,92.2,92.0,[ $class$ [ $0$ ] ]
1,500,16,32,5.008741958998144,1,1,1,92.4,91.2,[ $class$ [ $0$ ] ]
2,500,16,32,5.140161206945777,1,1,1,92.0,92.80000000000001,[ $class$ [ $0$ ] ]
3,500,16,32,4.830053904093802,1,1,1,92.2,92.0,[ $class$ [ $0$ ] ]
4,500,16,32,6.12347413925454,1,1,1,92.0,92.80000000000001,[ $class$ [ $0$ ] ]
