fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
0,500,16,32,-1,-1,-1,-1,-1,-1,NA
1,500,16,32,-1,-1,-1,-1,-1,-1,NA
2,500,16,32,-1,-1,-1,-1,-1,-1,NA
3,500,16,32,-1,-1,-1,-1,-1,-1,NA
4,500,16,32,-1,-1,-1,-1,-1,-1,NA
0,500,16,32,-1,-1,-1,-1,-1,-1,NA
1,500,16,32,-1,-1,-1,-1,-1,-1,NA
2,500,16,32,-1,-1,-1,-1,-1,-1,NA
3,500,16,32,-1,-1,-1,-1,-1,-1,NA
4,500,16,32,-1,-1,-1,-1,-1,-1,NA
0,500,16,32,-1,-1,-1,-1,-1,-1,NA
1,500,16,32,-1,-1,-1,-1,-1,-1,NA
2,500,16,32,-1,-1,-1,-1,-1,-1,NA
3,500,16,32,-1,-1,-1,-1,-1,-1,NA
4,500,16,32,-1,-1,-1,-1,-1,-1,NA
0,500,16,32,-1,-1,-1,-1,-1,-1,NA
1,500,16,32,-1,-1,-1,-1,-1,-1,NA
2,500,16,32,-1,-1,-1,-1,-1,-1,NA
3,500,16,32,-1,-1,-1,-1,-1,-1,NA
4,500,16,32,-1,-1,-1,-1,-1,-1,NA
0,500,16,32,-1,-1,-1,-1,-1,-1,NA
1,500,16,32,-1,-1,-1,-1,-1,-1,NA
2,500,16,32,-1,-1,-1,-1,-1,-1,NA
3,500,16,32,-1,-1,-1,-1,-1,-1,NA
4,500,16,32,-1,-1,-1,-1,-1,-1,NA
0,500,16,32,-1,-1,-1,-1,-1,-1,NA
1,500,16,32,-1,-1,-1,-1,-1,-1,NA
2,500,16,32,-1,-1,-1,-1,-1,-1,NA
3,500,16,32,-1,-1,-1,-1,-1,-1,NA
4,500,16,32,-1,-1,-1,-1,-1,-1,NA
0,500,16,32,-1,-1,-1,-1,-1,-1,NA
1,500,16,32,-1,-1,-1,-1,-1,-1,NA
2,500,16,32,-1,-1,-1,-1,-1,-1,NA
3,500,16,32,-1,-1,-1,-1,-1,-1,NA
4,500,16,32,-1,-1,-1,-1,-1,-1,NA
