fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
0,500,16,32,0.7406757832504809,1,1,1,92.2,92.0,[ $class$ [ $0$ ] ]
1,500,16,32,0.7437417777255177,1,1,1,92.4,91.2,[ $class$ [ $0$ ] ]
2,500,16,32,0.7281639440916479,1,1,1,92.0,92.80000000000001,[ $class$ [ $0$ ] ]
3,500,16,32,0.7699744529090822,1,1,1,92.2,92.0,[ $class$ [ $0$ ] ]
4,500,16,32,0.7622750410810113,1,1,1,92.0,92.80000000000001,[ $class$ [ $0$ ] ]
0,500,16,32,0.7807306661270559,1,1,1,92.2,92.0,[ $class$ [ $0$ ] ]
1,500,16,32,0.8034669882617891,1,1,1,92.4,91.2,[ $class$ [ $0$ ] ]
2,500,16,32,0.7742379889823496,1,1,1,92.0,92.80000000000001,[ $class$ [ $0$ ] ]
3,500,16,32,0.7521388870663941,1,1,1,92.2,92.0,[ $class$ [ $0$ ] ]
4,500,16,32,0.7641837177798152,1,1,1,92.0,92.80000000000001,[ $class$ [ $0$ ] ]
0,500,16,32,0.8351985458284616,1,1,1,92.2,92.0,[ $class$ [ $0$ ] ]
1,500,16,32,0.7923023630864918,1,1,1,92.4,91.2,[ $class$ [ $0$ ] ]
2,500,16,32,0.6786226290278137,1,1,1,92.0,92.80000000000001,[ $class$ [ $0$ ] ]
3,500,16,32,0.7839818610809743,1,1,1,92.2,92.0,[ $class$ [ $0$ ] ]
4,500,16,32,0.7780011286959052,1,1,1,92.0,92.80000000000001,[ $class$ [ $0$ ] ]
0,500,16,32,0.935739133041352,1,1,1,92.2,92.0,[ $class$ [ $0$ ] ]
1,500,16,32,0.8693453660234809,1,1,1,92.4,91.2,[ $class$ [ $0$ ] ]
2,500,16,32,1.0055878069251776,1,1,1,92.0,92.80000000000001,[ $class$ [ $0$ ] ]
3,500,16,32,0.8693643687292933,1,1,1,92.2,92.0,[ $class$ [ $0$ ] ]
4,500,16,32,0.9672826929017901,1,1,1,92.0,92.80000000000001,[ $class$ [ $0$ ] ]
0,500,16,32,12.968128595035523,1,1,1,92.2,92.0,[ $class$ [ $0$ ] ]
1,500,16,32,11.888051257934421,1,1,1,92.4,91.2,[ $class$ [ $0$ ] ]
2,500,16,32,13.816468104254454,1,1,1,92.0,92.80000000000001,[ $class$ [ $0$ ] ]
3,500,16,32,12.793290216010064,1,1,1,92.2,92.0,[ $class$ [ $0$ ] ]
4,500,16,32,12.752891567070037,1,1,1,92.0,92.80000000000001,[ $class$ [ $0$ ] ]
0,500,16,32,80.16796590620652,1,1,1,92.2,92.0,[ $class$ [ $0$ ] ]
1,500,16,32,79.16724125714973,1,1,1,92.4,91.2,[ $class$ [ $0$ ] ]
2,500,16,32,81.95325797889382,1,1,1,92.0,92.80000000000001,[ $class$ [ $0$ ] ]
3,500,16,32,80.17066727718338,1,1,1,92.2,92.0,[ $class$ [ $0$ ] ]
4,500,16,32,83.568914195057,1,1,1,92.0,92.80000000000001,[ $class$ [ $0$ ] ]
0,500,16,32,214.08005797769874,1,1,1,92.2,92.0,[ $class$ [ $0$ ] ]
1,500,16,32,213.18257453711703,1,1,1,92.4,91.2,[ $class$ [ $0$ ] ]
2,500,16,32,216.51896184682846,1,1,1,92.0,92.80000000000001,[ $class$ [ $0$ ] ]
3,500,16,32,214.63372219726443,1,1,1,92.2,92.0,[ $class$ [ $0$ ] ]
4,500,16,32,261.6627630270086,1,1,1,92.0,92.80000000000001,[ $class$ [ $0$ ] ]
