fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
0,1530,14,28,0.0,1,1,1,60.65359477124183,51.43603133159269,[ $class$ [ $0$ ] ]
1,1530,14,28,0.0,1,1,1,59.21568627450981,57.180156657963444,[ $class$ [ $0$ ] ]
2,1530,14,28,0.0,1,1,1,56.33986928104575,68.66840731070496,[ $class$ [ $0$ ] ]
3,1531,14,28,0.0,1,1,1,57.54408883082952,63.87434554973822,[ $class$ [ $0$ ] ]
4,1531,14,28,0.0,1,1,1,60.287393860222075,52.879581151832454,[ $class$ [ $0$ ] ]
0,1530,14,28,0.0,1,1,1,60.65359477124183,51.43603133159269,[ $class$ [ $0$ ] ]
1,1530,14,28,0.0,1,1,1,59.21568627450981,57.180156657963444,[ $class$ [ $0$ ] ]
2,1530,14,28,0.0,1,1,1,56.33986928104575,68.66840731070496,[ $class$ [ $0$ ] ]
3,1531,14,28,0.0,1,1,1,57.54408883082952,63.87434554973822,[ $class$ [ $0$ ] ]
4,1531,14,28,0.0,1,1,1,60.287393860222075,52.879581151832454,[ $class$ [ $0$ ] ]
0,1530,14,28,0.0,1,1,1,60.65359477124183,51.43603133159269,[ $class$ [ $0$ ] ]
1,1530,14,28,0.001,1,1,1,59.21568627450981,57.180156657963444,[ $class$ [ $0$ ] ]
2,1530,14,28,0.001,1,1,1,56.33986928104575,68.66840731070496,[ $class$ [ $0$ ] ]
3,1531,14,28,0.0,1,1,1,57.54408883082952,63.87434554973822,[ $class$ [ $0$ ] ]
4,1531,14,28,0.0,1,1,1,60.287393860222075,52.879581151832454,[ $class$ [ $0$ ] ]
0,1530,14,28,0.003,1,1,1,60.65359477124183,51.43603133159269,[ $class$ [ $0$ ] ]
1,1530,14,28,0.034,1,1,1,59.21568627450981,57.180156657963444,[ $class$ [ $0$ ] ]
2,1530,14,28,0.092,2,2,3,64.37908496732027,65.53524804177546,[ $Bar0  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
3,1531,14,28,0.084,2,2,3,64.07576747224036,66.75392670157068,[ $Bar0  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
4,1531,14,28,0.013,1,1,1,60.287393860222075,52.879581151832454,[ $class$ [ $0$ ] ]
0,1530,14,28,0.539,3,3,5,68.62745098039215,69.71279373368147,[ $Bar0  \eq  1$ [ $class$ [ $1$ ] ] [ $Bar1  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
1,1530,14,28,0.704,3,3,5,69.47712418300654,66.31853785900783,[ $Bar0  \eq  1$ [ $class$ [ $1$ ] ] [ $Bar1  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
2,1530,14,28,0.844,3,3,5,68.82352941176471,68.9295039164491,[ $Bar0  \eq  1$ [ $class$ [ $1$ ] ] [ $Bar1  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
3,1531,14,28,0.78,3,3,5,68.06009144350098,71.98952879581152,[ $Bar0  \eq  1$ [ $class$ [ $1$ ] ] [ $Bar1  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
4,1531,14,28,0.51,3,3,5,69.23579359895493,67.27748691099477,[ $Bar0  \eq  1$ [ $class$ [ $1$ ] ] [ $Bar1  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
0,1530,14,28,1.361,3,3,5,68.62745098039215,69.71279373368147,[ $Bar0  \eq  1$ [ $class$ [ $1$ ] ] [ $Bar1  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
1,1530,14,28,1.564,3,3,5,69.47712418300654,66.31853785900783,[ $Bar0  \eq  1$ [ $class$ [ $1$ ] ] [ $Bar1  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
2,1530,14,28,1.594,3,3,5,68.82352941176471,68.9295039164491,[ $Bar0  \eq  1$ [ $class$ [ $1$ ] ] [ $Bar1  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
3,1531,14,28,1.57,4,4,7,69.62769431743958,70.94240837696336,[ $Bar0  \eq  1$ [ $class$ [ $1$ ] ] [ $Bar1  \eq  1$ [ $class$ [ $1$ ] ] [ $Bar2  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ]
4,1531,14,28,1.408,3,3,5,69.23579359895493,67.27748691099477,[ $Bar0  \eq  1$ [ $class$ [ $1$ ] ] [ $Bar1  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
0,1530,14,28,1.842,4,4,7,69.54248366013071,71.27937336814621,[ $Bar0  \eq  1$ [ $class$ [ $1$ ] ] [ $Bar1  \eq  1$ [ $class$ [ $1$ ] ] [ $Bar2  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ]
1,1530,14,28,2.149,3,3,5,69.47712418300654,66.31853785900783,[ $Bar0  \eq  1$ [ $class$ [ $1$ ] ] [ $Bar1  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
2,1530,14,28,2.146,4,4,7,70.06535947712418,69.19060052219321,[ $Bar0  \eq  1$ [ $class$ [ $1$ ] ] [ $Bar1  \eq  1$ [ $class$ [ $1$ ] ] [ $Bar2  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ]
