fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
0,1530,14,28,0.034498312044888735,1,1,1,60.65359477124183,51.43603133159269,[ $class$ [ $0$ ] ]
1,1530,14,28,0.03047861810773611,1,1,1,59.21568627450981,57.180156657963444,[ $class$ [ $0$ ] ]
2,1530,14,28,0.031679369043558836,1,1,1,56.33986928104575,68.66840731070496,[ $class$ [ $0$ ] ]
3,1531,14,28,0.03068726882338524,1,1,1,57.54408883082952,63.87434554973822,[ $class$ [ $0$ ] ]
4,1531,14,28,0.04507232503965497,1,1,1,60.287393860222075,52.879581151832454,[ $class$ [ $0$ ] ]
0,1530,14,28,0.03948307503014803,1,1,1,60.65359477124183,51.43603133159269,[ $class$ [ $0$ ] ]
1,1530,14,28,0.03755349759012461,1,1,1,59.21568627450981,57.180156657963444,[ $class$ [ $0$ ] ]
2,1530,14,28,0.053343476727604866,1,1,1,56.33986928104575,68.66840731070496,[ $class$ [ $0$ ] ]
3,1531,14,28,0.030742232222110033,1,1,1,57.54408883082952,63.87434554973822,[ $class$ [ $0$ ] ]
4,1531,14,28,0.03398287110030651,1,1,1,60.287393860222075,52.879581151832454,[ $class$ [ $0$ ] ]
0,1530,14,28,0.05558235803619027,1,1,1,60.65359477124183,51.43603133159269,[ $class$ [ $0$ ] ]
1,1530,14,28,0.06639061495661736,1,1,1,59.21568627450981,57.180156657963444,[ $class$ [ $0$ ] ]
2,1530,14,28,0.1126179089769721,1,1,1,56.33986928104575,68.66840731070496,[ $class$ [ $0$ ] ]
3,1531,14,28,0.07013350119814277,1,1,1,57.54408883082952,63.87434554973822,[ $class$ [ $0$ ] ]
4,1531,14,28,0.05728974426165223,1,1,1,60.287393860222075,52.879581151832454,[ $class$ [ $0$ ] ]
0,1530,14,28,1.5379020203836262,1,1,1,60.65359477124183,51.43603133159269,[ $class$ [ $0$ ] ]
1,1530,14,28,2.461934932973236,1,1,1,59.21568627450981,57.180156657963444,[ $class$ [ $0$ ] ]
2,1530,14,28,2.211095390841365,2,2,3,64.37908496732027,65.53524804177546,[ $feature_8  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
3,1531,14,28,4.088436560239643,2,2,3,64.07576747224036,66.75392670157068,[ $feature_8  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
4,1531,14,28,-1,-1,-1,-1,-1,-1,NA
0,1530,14,28,-1,-1,-1,-1,-1,-1,NA
1,1530,14,28,19.913024717010558,3,3,5,69.47712418300654,66.31853785900783,[ $feature_8  \eq  1$ [ $class$ [ $1$ ] ] [ $feature_9  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
2,1530,14,28,23.328258451074362,3,3,5,68.82352941176471,68.9295039164491,[ $feature_8  \eq  1$ [ $class$ [ $1$ ] ] [ $feature_9  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
3,1531,14,28,21.702015205752105,3,3,5,68.06009144350098,71.98952879581152,[ $feature_8  \eq  1$ [ $class$ [ $1$ ] ] [ $feature_9  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
4,1531,14,28,-1,-1,-1,-1,-1,-1,NA
0,1530,14,28,-1,-1,-1,-1,-1,-1,NA
1,1530,14,28,-1,-1,-1,-1,-1,-1,NA
2,1530,14,28,-1,-1,-1,-1,-1,-1,NA
3,1531,14,28,-1,-1,-1,-1,-1,-1,NA
4,1531,14,28,-1,-1,-1,-1,-1,-1,NA
0,1530,14,28,-1,-1,-1,-1,-1,-1,NA
1,1530,14,28,-1,-1,-1,-1,-1,-1,NA
2,1530,14,28,-1,-1,-1,-1,-1,-1,NA
3,1531,14,28,-1,-1,-1,-1,-1,-1,NA
4,1531,14,28,-1,-1,-1,-1,-1,-1,NA
