fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
0,1382,15,30,0.0025628190487623215,2,2,3,71.56295224312589,70.23121387283237,[ $a6_high  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
1,1382,15,30,0.002011349890381098,2,2,3,70.83936324167873,73.121387283237,[ $a6_high  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
2,1382,15,30,-1,-1,-1,-1,-1,-1,NA
3,1383,15,30,-1,-1,-1,-1,-1,-1,NA
4,1383,15,30,-1,-1,-1,-1,-1,-1,NA
0,1382,15,30,0.0030653751455247402,3,3,5,90.01447178002894,67.63005780346822,[ $a4_2  \eq  1$ [ $class$ [ $0$ ] ] [ $a6_low  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
1,1382,15,30,0.0031761392019689083,3,3,5,87.33719247467438,78.32369942196532,[ $a4_2  \eq  1$ [ $class$ [ $0$ ] ] [ $a6_low  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
2,1382,15,30,0.0031314510852098465,3,3,5,84.65991316931982,89.01734104046243,[ $a4_2  \eq  1$ [ $class$ [ $0$ ] ] [ $a6_low  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
3,1383,15,30,0.0031829969957470894,3,3,5,83.15256688358642,95.07246376811594,[ $a4_2  \eq  1$ [ $class$ [ $0$ ] ] [ $a6_low  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
4,1383,15,30,0.003558287862688303,3,3,5,83.51409978308027,77.97101449275362,[ $a4_2  \eq  1$ [ $class$ [ $0$ ] ] [ $a6_high  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
0,1382,15,30,0.011050164233893156,4,6,11,91.31693198263386,67.63005780346822,[ $a1_high  \eq  1$ [ $a4_2  \eq  1$ [ $class$ [ $0$ ] ] [ $a6_high  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] [ $a4_2  \eq  1$ [ $class$ [ $0$ ] ] [ $a6_low  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ]
