fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
0,1382,15,30,0.0,1,1,1,65.41244573082489,88.4393063583815,[ $class$ [ $0$ ] ]
1,1382,15,30,0.0,1,1,1,68.16208393632417,77.45664739884393,[ $class$ [ $0$ ] ]
2,1382,15,30,0.0,1,1,1,70.83936324167873,66.76300578034682,[ $class$ [ $0$ ] ]
3,1383,15,30,0.0,1,1,1,72.45119305856834,60.28985507246377,[ $class$ [ $0$ ] ]
4,1383,15,30,0.0,1,1,1,73.24656543745482,57.10144927536231,[ $class$ [ $0$ ] ]
0,1382,15,30,0.002,1,1,1,65.41244573082489,88.4393063583815,[ $class$ [ $0$ ] ]
1,1382,15,30,0.002,1,1,1,68.16208393632417,77.45664739884393,[ $class$ [ $0$ ] ]
2,1382,15,30,0.002,1,1,1,70.83936324167873,66.76300578034682,[ $class$ [ $0$ ] ]
3,1383,15,30,0.002,1,1,1,72.45119305856834,60.28985507246377,[ $class$ [ $0$ ] ]
4,1383,15,30,0.002,1,1,1,73.24656543745482,57.10144927536231,[ $class$ [ $0$ ] ]
0,1382,15,30,0.033,1,1,1,65.41244573082489,88.4393063583815,[ $class$ [ $0$ ] ]
1,1382,15,30,0.019,1,1,1,68.16208393632417,77.45664739884393,[ $class$ [ $0$ ] ]
2,1382,15,30,0.009,1,1,1,70.83936324167873,66.76300578034682,[ $class$ [ $0$ ] ]
3,1383,15,30,0.007,1,1,1,72.45119305856834,60.28985507246377,[ $class$ [ $0$ ] ]
4,1383,15,30,0.007,1,1,1,73.24656543745482,57.10144927536231,[ $class$ [ $0$ ] ]
0,1382,15,30,0.667,3,3,5,90.01447178002894,67.63005780346822,[ $a4_2  \eq  1$ [ $class$ [ $0$ ] ] [ $a6_low  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
1,1382,15,30,0.637,3,3,5,87.33719247467438,78.32369942196532,[ $a4_2  \eq  1$ [ $class$ [ $0$ ] ] [ $a6_low  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
2,1382,15,30,0.562,3,3,5,84.65991316931982,89.01734104046243,[ $a4_2  \eq  1$ [ $class$ [ $0$ ] ] [ $a6_low  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
3,1383,15,30,0.482,1,1,1,72.45119305856834,60.28985507246377,[ $class$ [ $0$ ] ]
4,1383,15,30,0.454,1,1,1,73.24656543745482,57.10144927536231,[ $class$ [ $0$ ] ]
0,1382,15,30,3.917,3,3,5,90.01447178002894,67.63005780346822,[ $a4_2  \eq  1$ [ $class$ [ $0$ ] ] [ $a6_low  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
1,1382,15,30,4.085,3,3,5,87.33719247467438,78.32369942196532,[ $a4_2  \eq  1$ [ $class$ [ $0$ ] ] [ $a6_low  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
