fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
0,1382,15,30,-1,-1,-1,-1,-1,-1,NA
1,1382,15,30,-1,-1,-1,-1,-1,-1,NA
2,1382,15,30,-1,-1,-1,-1,-1,-1,NA
3,1383,15,30,-1,-1,-1,-1,-1,-1,NA
4,1383,15,30,-1,-1,-1,-1,-1,-1,NA
0,1382,15,30,-1,-1,-1,-1,-1,-1,NA
1,1382,15,30,-1,-1,-1,-1,-1,-1,NA
2,1382,15,30,-1,-1,-1,-1,-1,-1,NA
3,1383,15,30,-1,-1,-1,-1,-1,-1,NA
4,1383,15,30,-1,-1,-1,-1,-1,-1,NA
0,1382,15,30,-1,-1,-1,-1,-1,-1,NA
1,1382,15,30,-1,-1,-1,-1,-1,-1,NA
2,1382,15,30,-1,-1,-1,-1,-1,-1,NA
3,1383,15,30,-1,-1,-1,-1,-1,-1,NA
4,1383,15,30,-1,-1,-1,-1,-1,-1,NA
0,1382,15,30,0.3431763621047139,3,3,5,90.01447178002894,67.63005780346822,[ $a4_2  \eq  1$ [ $class$ [ $0$ ] ] [ $a6_low  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
1,1382,15,30,0.4572224607691169,3,3,5,87.33719247467438,78.32369942196532,[ $a4_2  \eq  1$ [ $class$ [ $0$ ] ] [ $a6_low  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
2,1382,15,30,0.4598298389464617,3,3,5,84.65991316931982,89.01734104046243,[ $a4_2  \eq  1$ [ $class$ [ $0$ ] ] [ $a6_low  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
3,1383,15,30,-1,-1,-1,-1,-1,-1,NA
4,1383,15,30,-1,-1,-1,-1,-1,-1,NA
0,1382,15,30,2.163126669358462,3,3,5,90.01447178002894,67.63005780346822,[ $a4_2  \eq  1$ [ $class$ [ $0$ ] ] [ $a6_low  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
1,1382,15,30,3.4043793021701276,3,3,5,87.33719247467438,78.32369942196532,[ $a4_2  \eq  1$ [ $class$ [ $0$ ] ] [ $a6_low  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
2,1382,15,30,7.725067922845483,3,3,5,84.65991316931982,89.01734104046243,[ $a4_2  \eq  1$ [ $class$ [ $0$ ] ] [ $a6_low  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
3,1383,15,30,91.1988760731183,3,3,5,83.15256688358642,95.07246376811594,[ $a6_low  \eq  1$ [ $class$ [ $0$ ] ] [ $a4_2  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
4,1383,15,30,80.79157911939546,3,3,5,72.30657989877078,67.2463768115942,[ $a6_high  \eq  1$ [ $class$ [ $1$ ] ] [ $a4_2  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ]
