fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
0,4016,6,84,0.41596174892038107,1,1,1,55.22908366533864,55.37848605577689,[ $class$ [ $0$ ] ]
1,4016,6,83,0.4286956721916795,1,1,1,54.506972111553786,58.266932270916335,[ $class$ [ $0$ ] ]
2,4016,6,83,0.42201710119843483,1,1,1,55.45318725099602,54.482071713147405,[ $class$ [ $0$ ] ]
3,4016,6,85,0.43359031109139323,1,1,1,55.80179282868526,53.08764940239043,[ $class$ [ $0$ ] ]
4,4016,6,83,0.4183005881495774,1,1,1,55.30378486055777,55.079681274900395,[ $class$ [ $0$ ] ]
0,4016,6,84,0.42411403404548764,1,1,1,55.22908366533864,55.37848605577689,[ $class$ [ $0$ ] ]
1,4016,6,83,0.40720261773094535,1,1,1,54.506972111553786,58.266932270916335,[ $class$ [ $0$ ] ]
2,4016,6,83,0.4025988937355578,1,1,1,55.45318725099602,54.482071713147405,[ $class$ [ $0$ ] ]
3,4016,6,85,0.4198428769595921,1,1,1,55.80179282868526,53.08764940239043,[ $class$ [ $0$ ] ]
4,4016,6,83,0.41435639932751656,1,1,1,55.30378486055777,55.079681274900395,[ $class$ [ $0$ ] ]
0,4016,6,84,0.43379883421584964,1,1,1,55.22908366533864,55.37848605577689,[ $class$ [ $0$ ] ]
1,4016,6,83,0.4227623911574483,1,1,1,54.506972111553786,58.266932270916335,[ $class$ [ $0$ ] ]
2,4016,6,83,0.4115545810200274,1,1,1,55.45318725099602,54.482071713147405,[ $class$ [ $0$ ] ]
3,4016,6,85,0.4279818832874298,1,1,1,55.80179282868526,53.08764940239043,[ $class$ [ $0$ ] ]
4,4016,6,83,0.4269129540771246,1,1,1,55.30378486055777,55.079681274900395,[ $class$ [ $0$ ] ]
0,4016,6,84,0.40950708091259,2,2,3,63.02290836653387,66.33466135458167,[ $prior>3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
1,4016,6,83,0.42747889226302505,2,2,3,63.421314741035864,64.7410358565737,[ $prior>3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
2,4016,6,83,2.260921025183052,2,2,3,63.72011952191235,63.54581673306773,[ $prior>3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
3,4016,6,85,0.4271374340169132,2,2,3,64.71613545816733,59.561752988047814,[ $prior>3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
4,4016,6,83,0.41539244586601853,2,2,3,63.54581673306773,64.2430278884462,[ $prior>3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
0,4016,6,84,56.85761789092794,2,2,3,63.02290836653387,66.33466135458167,[ $prior>3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
1,4016,6,83,54.433343151118606,2,2,3,63.421314741035864,64.7410358565737,[ $prior>3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
2,4016,6,83,60.99662360502407,2,2,3,63.72011952191235,63.54581673306773,[ $prior>3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
3,4016,6,85,52.4633628660813,2,2,3,64.71613545816733,59.561752988047814,[ $prior>3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
4,4016,6,83,58.86832798132673,2,2,3,63.54581673306773,64.2430278884462,[ $prior>3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
0,4016,6,84,142.16070493217558,3,3,5,65.16434262948208,67.82868525896414,[ $age \ge 21.5$ [ $prior>3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ]
1,4016,6,83,106.8649606751278,3,3,5,65.66235059760956,66.23505976095618,[ $age \ge 22.5$ [ $prior>3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ]
2,4016,6,83,127.02078167907894,3,3,5,66.13545816733067,64.34262948207171,[ $age \ge 22.5$ [ $prior>3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ]
3,4016,6,85,96.63489946397021,3,3,5,66.43426294820716,62.74900398406375,[ $age \ge 21.5$ [ $prior>3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ]
4,4016,6,83,140.7488617473282,3,3,5,65.51294820717132,66.83266932270917,[ $age \ge 22.5$ [ $prior>3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ]
0,4016,6,84,215.32616883004084,3,3,5,65.16434262948208,67.82868525896414,[ $age \ge 21.5$ [ $prior>3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ]
1,4016,6,83,207.30499146971852,3,3,5,65.66235059760956,66.23505976095618,[ $age \ge 22.5$ [ $prior>3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ]
2,4016,6,83,229.83055494492874,3,3,5,66.13545816733067,64.34262948207171,[ $age \ge 22.5$ [ $prior>3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ]
3,4016,6,85,218.44361657323316,3,3,5,66.43426294820716,62.74900398406375,[ $age \ge 21.5$ [ $prior>3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ]
4,4016,6,83,230.00106643605977,3,3,5,65.51294820717132,66.83266932270917,[ $age \ge 22.5$ [ $prior>3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ]
