fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
0,4016,6,84,-1,-1,-1,-1,-1,-1,NA
1,4016,6,83,-1,-1,-1,-1,-1,-1,NA
2,4016,6,83,-1,-1,-1,-1,-1,-1,NA
3,4016,6,85,-1,-1,-1,-1,-1,-1,NA
4,4016,6,83,-1,-1,-1,-1,-1,-1,NA
0,4016,6,84,-1,-1,-1,-1,-1,-1,NA
1,4016,6,83,-1,-1,-1,-1,-1,-1,NA
2,4016,6,83,-1,-1,-1,-1,-1,-1,NA
3,4016,6,85,-1,-1,-1,-1,-1,-1,NA
4,4016,6,83,-1,-1,-1,-1,-1,-1,NA
0,4016,6,84,-1,-1,-1,-1,-1,-1,NA
1,4016,6,83,-1,-1,-1,-1,-1,-1,NA
2,4016,6,83,-1,-1,-1,-1,-1,-1,NA
3,4016,6,85,-1,-1,-1,-1,-1,-1,NA
4,4016,6,83,-1,-1,-1,-1,-1,-1,NA
0,4016,6,84,-1,-1,-1,-1,-1,-1,NA
1,4016,6,83,-1,-1,-1,-1,-1,-1,NA
2,4016,6,83,-1,-1,-1,-1,-1,-1,NA
3,4016,6,85,-1,-1,-1,-1,-1,-1,NA
4,4016,6,83,-1,-1,-1,-1,-1,-1,NA
0,4016,6,84,-1,-1,-1,-1,-1,-1,NA
1,4016,6,83,-1,-1,-1,-1,-1,-1,NA
2,4016,6,83,-1,-1,-1,-1,-1,-1,NA
3,4016,6,85,-1,-1,-1,-1,-1,-1,NA
4,4016,6,83,-1,-1,-1,-1,-1,-1,NA
0,4016,6,84,-1,-1,-1,-1,-1,-1,NA
1,4016,6,83,-1,-1,-1,-1,-1,-1,NA
2,4016,6,83,-1,-1,-1,-1,-1,-1,NA
3,4016,6,85,-1,-1,-1,-1,-1,-1,NA
4,4016,6,83,-1,-1,-1,-1,-1,-1,NA
0,4016,6,84,-1,-1,-1,-1,-1,-1,NA
1,4016,6,83,-1,-1,-1,-1,-1,-1,NA
2,4016,6,83,-1,-1,-1,-1,-1,-1,NA
3,4016,6,85,-1,-1,-1,-1,-1,-1,NA
4,4016,6,83,-1,-1,-1,-1,-1,-1,NA
