fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
0,5525,12,24,0.9586861338466406,2,2,3,63.47511312217195,65.55716353111433,[ $priors:>3  \le  0.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
1,5525,12,24,0.9036399479955435,2,2,3,63.83710407239819,64.10998552821997,[ $priors:>3  \le  0.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
2,5526,12,24,0.8932106872089207,2,2,3,64.56749909518639,61.18754525706011,[ $priors:>3  \le  0.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
3,5526,12,24,0.8952098088338971,2,2,3,63.66268548678972,64.80811006517017,[ $priors:>3  \le  0.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
4,5526,12,24,0.8937192289158702,2,2,3,63.916033297140785,63.79435191889935,[ $priors:>3  \le  0.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
0,5525,12,24,8.456123943906277,3,4,7,65.84615384615384,67.29377713458756,[ $priors:2-3  \le  0.5$ [ $priors:>3  \le  0.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $age:<26  \le  0.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
1,5525,12,24,4.792172153946012,3,4,7,66.33484162895927,65.34008683068018,[ $priors:2-3  \le  0.5$ [ $priors:>3  \le  0.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $age:<26  \le  0.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
2,5526,12,24,5.030024588108063,3,4,7,66.6304741223308,64.15640839971036,[ $priors:2-3  \le  0.5$ [ $priors:>3  \le  0.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $age:<26  \le  0.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
3,5526,12,24,5.05339673999697,3,4,7,66.3590300398118,65.67704561911658,[ $age:<26  \le  0.5$ [ $priors:>3  \le  0.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $priors:=0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
4,5526,12,24,8.052690465934575,3,4,7,66.1961635903004,66.3287472845764,[ $age:<26  \le  0.5$ [ $priors:>3  \le  0.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $priors:=0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
0,5525,12,24,305.87522454513237,4,8,15,66.73303167420815,68.37916063675831,[ $priors:2-3  \le  0.5$ [ $age:<21  \le  0.5$ [ $priors:>3  \le  0.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $sex:Female  \le  0.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] [ $juvenile-felonies:=0$ [ $sex:Female  \le  0.5$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $age:<26  \le  0.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ]
1,5525,12,24,306.37243599584326,4,8,15,67.14932126696831,65.26772793053546,[ $priors:2-3  \le  0.5$ [ $priors:>3  \le  0.5$ [ $age:<21  \le  0.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $priors:>3  \le  0.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $age:<21  \le  0.5$ [ $age:<26  \le  0.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $sex:Female  \le  0.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ]
2,5526,12,24,305.89928934769705,4,8,15,67.40861382555194,64.51846488052136,[ $age:<26  \le  0.5$ [ $priors:>3  \le  0.5$ [ $juvenile-felonies:=0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $priors:=0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] [ $priors:=1$ [ $priors:=0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $juvenile-crimes:=0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ]
3,5526,12,24,305.8470140323043,4,8,15,66.72095548317046,67.34250543084721,[ $priors:2-3  \le  0.5$ [ $age:<21  \le  0.5$ [ $priors:>3  \le  0.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $priors:=0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] [ $juvenile-felonies:=0$ [ $sex:Female  \le  0.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $age:<26  \le  0.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ]
4,5526,12,24,306.172788545955,4,8,15,66.6847629388346,65.53222302679218,[ $priors:=0$ [ $age:<26  \le  0.5$ [ $priors:>3  \le  0.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $age:<46  \le  0.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $sex:Female  \le  0.5$ [ $age:<21  \le  0.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $juvenile-misdemeanors:=0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ]
0,5525,12,24,310.24890167824924,5,16,31,66.85972850678733,68.08972503617944,[ $priors:>3  \le  0.5$ [ $juvenile-crimes:=0$ [ $priors:2-3  \le  0.5$ [ $age:<23  \le  0.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $priors:>3  \le  0.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] [ $priors:2-3  \le  0.5$ [ $age:<21  \le  0.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $age:<26  \le  0.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ] [ $sex:Female  \le  0.5$ [ $sex:Female  \le  0.5$ [ $sex:Female  \le  0.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $sex:Female  \le  0.5$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $age:<46  \le  0.5$ [ $juvenile-misdemeanors:=0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $priors:=1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ] ]
1,5525,12,24,310.1658146600239,5,16,31,67.60180995475113,65.55716353111433,[ $sex:Female  \le  0.5$ [ $age:<21  \le  0.5$ [ $priors:2-3  \le  0.5$ [ $priors:>3  \le  0.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $age:<26  \le  0.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $sex:Female  \le  0.5$ [ $sex:Female  \le  0.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $sex:Female  \le  0.5$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] [ $age:<46  \le  0.5$ [ $juvenile-crimes:=0$ [ $juvenile-felonies:=0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $sex:Female  \le  0.5$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $priors:2-3  \le  0.5$ [ $priors:>3  \le  0.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $age:<26  \le  0.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ] ]
2,5526,12,24,310.3090017810464,5,16,31,67.7705392689106,64.73569876900797,[ $priors:>3  \le  0.5$ [ $juvenile-crimes:=0$ [ $sex:Female  \le  0.5$ [ $age:<26  \le  0.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $age:<21  \le  0.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $age:<26  \le  0.5$ [ $sex:Female  \le  0.5$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $priors:2-3  \le  0.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ] [ $juvenile-crimes:=0$ [ $sex:Female  \le  0.5$ [ $priors:>3  \le  0.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $juvenile-crimes:=0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] [ $sex:Female  \le  0.5$ [ $sex:Female  \le  0.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $age:<46  \le  0.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ] ]
3,5526,12,24,310.4516602931544,5,16,31,66.97430329352153,66.8356263577118,[ $priors:>3  \le  0.5$ [ $priors:=1$ [ $age:<26  \le  0.5$ [ $priors:>3  \le  0.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $priors:=0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] [ $sex:Female  \le  0.5$ [ $age:<23  \le  0.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $sex:Female  \le  0.5$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] [ $priors:>3  \le  0.5$ [ $sex:Female  \le  0.5$ [ $sex:Female  \le  0.5$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $juvenile-crimes:=0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $sex:Female  \le  0.5$ [ $sex:Female  \le  0.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $age:<46  \le  0.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ] ]
