fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
0,5525,12,24,0.0034179002977907658,2,2,3,63.47511312217195,65.55716353111433,[ $priors:>3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
1,5525,12,24,0.003308648243546486,2,2,3,63.83710407239819,64.10998552821997,[ $priors:>3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
2,5526,12,24,0.003162663895636797,2,2,3,64.56749909518639,61.18754525706011,[ $priors:>3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
3,5526,12,24,0.0032030539587140083,2,2,3,63.66268548678972,64.80811006517017,[ $priors:>3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
4,5526,12,24,0.0032444950193166733,2,2,3,63.916033297140785,63.79435191889935,[ $priors:>3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
0,5525,12,24,0.005542500875890255,3,4,7,65.84615384615384,67.29377713458756,[ $priors:2-3  \eq  1$ [ $age:<26  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $priors:>3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
1,5525,12,24,0.005701757036149502,3,4,7,66.33484162895927,65.34008683068018,[ $priors:2-3  \eq  1$ [ $age:<26  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $priors:>3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
2,5526,12,24,0.00543054798617959,3,4,7,66.6304741223308,64.59087617668357,[ $age:<26  \eq  1$ [ $priors:=0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $priors:>3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
3,5526,12,24,0.005304498132318258,3,4,7,66.3590300398118,65.67704561911658,[ $age:<26  \eq  1$ [ $priors:=0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $priors:>3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
4,5526,12,24,0.005617561750113964,3,4,7,66.1961635903004,66.3287472845764,[ $age:<26  \eq  1$ [ $priors:=0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $priors:>3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
0,5525,12,24,0.026564326602965593,4,7,13,66.73303167420815,67.80028943560058,[ $juvenile-crimes:=0$ [ $priors:2-3  \eq  1$ [ $age:<26  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $priors:>3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] [ $age:<26  \eq  1$ [ $class$ [ $1$ ] ] [ $priors:=1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ]
1,5525,12,24,0.02556824777275324,4,7,13,67.52941176470588,65.19536903039074,[ $priors:2-3  \eq  1$ [ $age:<26  \eq  1$ [ $class$ [ $1$ ] ] [ $juvenile-crimes:=0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $age:<21  \eq  1$ [ $sex:Female  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $priors:>3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ]
2,5526,12,24,0.02531392825767398,4,7,13,67.53528773072746,64.66328747284577,[ $juvenile-crimes:=0$ [ $priors:2-3  \eq  1$ [ $age:<26  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $priors:>3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] [ $sex:Female  \eq  1$ [ $priors:=1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ] ]
3,5526,12,24,0.026587381027638912,4,7,13,66.81143684401013,66.908037653874,[ $age:<26  \eq  1$ [ $priors:=1$ [ $sex:Female  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $priors:=0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $juvenile-felonies:=0$ [ $priors:>3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ] ]
4,5526,12,24,0.025190336164087057,4,7,13,67.10097719869707,66.7632150615496,[ $age:<21  \eq  1$ [ $sex:Female  \eq  1$ [ $juvenile-crimes:=0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ] [ $priors:2-3  \eq  1$ [ $age:<26  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $priors:>3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ]
