fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
0,5525,12,24,0.0,1,1,1,53.30316742081448,55.42691751085383,[ $class$ [ $0$ ] ]
1,5525,12,24,0.0,1,1,1,53.592760180995484,54.26917510853835,[ $class$ [ $0$ ] ]
2,5526,12,24,0.0,1,1,1,54.035468693449154,52.49818971759594,[ $class$ [ $0$ ] ]
3,5526,12,24,0.0,1,1,1,53.81831342743395,53.367125271542356,[ $class$ [ $0$ ] ]
4,5526,12,24,0.0,1,1,1,53.89069851610569,53.07748008689356,[ $class$ [ $0$ ] ]
0,5525,12,24,0.0,1,1,1,53.30316742081448,55.42691751085383,[ $class$ [ $0$ ] ]
1,5525,12,24,0.0,1,1,1,53.592760180995484,54.26917510853835,[ $class$ [ $0$ ] ]
2,5526,12,24,0.0,1,1,1,54.035468693449154,52.49818971759594,[ $class$ [ $0$ ] ]
3,5526,12,24,0.0,1,1,1,53.81831342743395,53.367125271542356,[ $class$ [ $0$ ] ]
4,5526,12,24,0.0,1,1,1,53.89069851610569,53.07748008689356,[ $class$ [ $0$ ] ]
0,5525,12,24,0.0,1,1,1,53.30316742081448,55.42691751085383,[ $class$ [ $0$ ] ]
1,5525,12,24,0.0,1,1,1,53.592760180995484,54.26917510853835,[ $class$ [ $0$ ] ]
2,5526,12,24,0.0,1,1,1,54.035468693449154,52.49818971759594,[ $class$ [ $0$ ] ]
3,5526,12,24,0.0,1,1,1,53.81831342743395,53.367125271542356,[ $class$ [ $0$ ] ]
4,5526,12,24,0.0,1,1,1,53.89069851610569,53.07748008689356,[ $class$ [ $0$ ] ]
0,5525,12,24,0.0,2,2,3,63.47511312217195,65.55716353111433,[ $priors:>3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
1,5525,12,24,0.0,2,2,3,63.83710407239819,64.10998552821997,[ $priors:>3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
2,5526,12,24,0.0,2,2,3,64.56749909518639,61.18754525706011,[ $priors:>3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
3,5526,12,24,0.0,2,2,3,63.66268548678972,64.80811006517017,[ $priors:>3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
4,5526,12,24,0.0,2,2,3,63.916033297140785,63.79435191889935,[ $priors:>3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
0,5525,12,24,0.004,2,2,3,63.47511312217195,65.55716353111433,[ $priors:>3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
1,5525,12,24,0.008,2,2,3,63.83710407239819,64.10998552821997,[ $priors:>3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
2,5526,12,24,0.003,2,2,3,64.56749909518639,61.18754525706011,[ $priors:>3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
3,5526,12,24,0.005,2,2,3,63.66268548678972,64.80811006517017,[ $priors:>3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
4,5526,12,24,0.003,2,2,3,63.916033297140785,63.79435191889935,[ $priors:>3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
0,5525,12,24,0.04,3,3,5,65.17647058823529,66.85962373371925,[ $juvenile-crimes:=0$ [ $priors:>3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ]
1,5525,12,24,0.049,3,3,5,65.70135746606334,64.76121562952243,[ $juvenile-crimes:=0$ [ $priors:>3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ]
2,5526,12,24,0.034,3,3,5,66.23235613463626,62.635771180304125,[ $juvenile-crimes:=0$ [ $priors:>3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ]
3,5526,12,24,0.036,3,3,5,65.23706116539992,66.6183924692252,[ $juvenile-crimes:=0$ [ $priors:>3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ]
4,5526,12,24,0.045,3,3,5,65.490408975751,64.80811006517017,[ $age:<21  \eq  1$ [ $class$ [ $1$ ] ] [ $priors:>3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
0,5525,12,24,0.089,3,3,5,65.17647058823529,66.85962373371925,[ $juvenile-crimes:=0$ [ $priors:>3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ]
1,5525,12,24,0.102,3,3,5,65.70135746606334,64.76121562952243,[ $juvenile-crimes:=0$ [ $priors:>3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ]
2,5526,12,24,0.085,3,3,5,66.23235613463626,62.635771180304125,[ $juvenile-crimes:=0$ [ $priors:>3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ]
3,5526,12,24,0.089,3,4,7,66.3590300398118,65.67704561911658,[ $age:<26  \eq  1$ [ $priors:=0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $priors:>3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
4,5526,12,24,0.088,3,3,5,65.490408975751,64.80811006517017,[ $age:<21  \eq  1$ [ $class$ [ $1$ ] ] [ $priors:>3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
