fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
0,5525,12,24,-1,-1,-1,-1,-1,-1,NA
1,5525,12,24,-1,-1,-1,-1,-1,-1,NA
2,5526,12,24,-1,-1,-1,-1,-1,-1,NA
3,5526,12,24,-1,-1,-1,-1,-1,-1,NA
4,5526,12,24,-1,-1,-1,-1,-1,-1,NA
0,5525,12,24,-1,-1,-1,-1,-1,-1,NA
1,5525,12,24,-1,-1,-1,-1,-1,-1,NA
2,5526,12,24,-1,-1,-1,-1,-1,-1,NA
3,5526,12,24,-1,-1,-1,-1,-1,-1,NA
4,5526,12,24,-1,-1,-1,-1,-1,-1,NA
0,5525,12,24,-1,-1,-1,-1,-1,-1,NA
1,5525,12,24,-1,-1,-1,-1,-1,-1,NA
2,5526,12,24,-1,-1,-1,-1,-1,-1,NA
3,5526,12,24,-1,-1,-1,-1,-1,-1,NA
4,5526,12,24,-1,-1,-1,-1,-1,-1,NA
0,5525,12,24,0.14037378458306193,2,2,3,63.47511312217195,65.55716353111433,[ $priors:>3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
1,5525,12,24,0.1403172011487186,2,2,3,63.83710407239819,64.10998552821997,[ $priors:>3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
2,5526,12,24,0.15193446911871433,2,2,3,64.56749909518639,61.18754525706011,[ $priors:>3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
3,5526,12,24,0.1398663641884923,2,2,3,63.66268548678972,64.80811006517017,[ $priors:>3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
4,5526,12,24,0.14115640381351113,2,2,3,63.916033297140785,63.79435191889935,[ $priors:>3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
0,5525,12,24,0.15447598416358232,2,2,3,63.47511312217195,65.55716353111433,[ $priors:>3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
1,5525,12,24,0.1669715321622789,2,2,3,63.83710407239819,64.10998552821997,[ $priors:>3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
2,5526,12,24,0.14919303683564067,2,2,3,64.56749909518639,61.18754525706011,[ $priors:>3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
3,5526,12,24,0.15380436414852738,2,2,3,63.66268548678972,64.80811006517017,[ $priors:>3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
4,5526,12,24,0.1910061091184616,2,2,3,63.916033297140785,63.79435191889935,[ $priors:>3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
0,5525,12,24,0.5333855277858675,3,3,5,59.29411764705882,60.34732272069464,[ $juvenile-crimes:=0$ [ $class$ [ $0$ ] ] [ $priors:>3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ]
1,5525,12,24,0.5491967983543873,3,3,5,59.78280542986425,58.39363241678727,[ $juvenile-crimes:=0$ [ $class$ [ $0$ ] ] [ $priors:>3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ]
2,5526,12,24,0.49766403203830123,3,3,5,66.23235613463626,62.635771180304125,[ $juvenile-crimes:=0$ [ $priors:>3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ]
3,5526,12,24,0.5242673489265144,3,3,5,65.23706116539992,66.6183924692252,[ $juvenile-crimes:=0$ [ $priors:>3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ]
4,5526,12,24,0.4999686200171709,3,3,5,65.490408975751,64.80811006517017,[ $priors:>3  \eq  1$ [ $class$ [ $1$ ] ] [ $age:<21  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
0,5525,12,24,3.5863126032054424,3,3,5,59.29411764705882,60.34732272069464,[ $juvenile-crimes:=0$ [ $class$ [ $0$ ] ] [ $priors:>3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ]
1,5525,12,24,10.180578887928277,3,3,5,59.78280542986425,58.39363241678727,[ $juvenile-crimes:=0$ [ $class$ [ $0$ ] ] [ $priors:>3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ]
2,5526,12,24,2.3446888579055667,3,3,5,66.23235613463626,62.635771180304125,[ $juvenile-crimes:=0$ [ $priors:>3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ]
3,5526,12,24,2.3201865809969604,4,4,7,66.3590300398118,65.67704561911658,[ $priors:>3  \eq  1$ [ $class$ [ $1$ ] ] [ $priors:=0$ [ $class$ [ $0$ ] ] [ $age:<26  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ]
4,5526,12,24,3.4996257764287293,3,3,5,65.490408975751,64.80811006517017,[ $priors:>3  \eq  1$ [ $class$ [ $1$ ] ] [ $age:<21  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
