fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
0,5525,12,24,0.0360895530320704,1,1,1,53.30316742081448,55.42691751085383,[ $class$ [ $0$ ] ]
1,5525,12,24,0.04002333106473088,1,1,1,53.592760180995484,54.26917510853835,[ $class$ [ $0$ ] ]
2,5526,12,24,0.0403829081915319,1,1,1,54.035468693449154,52.49818971759594,[ $class$ [ $0$ ] ]
3,5526,12,24,0.03754325117915869,1,1,1,53.81831342743395,53.367125271542356,[ $class$ [ $0$ ] ]
4,5526,12,24,0.037068636156618595,1,1,1,53.89069851610569,53.07748008689356,[ $class$ [ $0$ ] ]
0,5525,12,24,0.03625583602115512,1,1,1,53.30316742081448,55.42691751085383,[ $class$ [ $0$ ] ]
1,5525,12,24,0.0382813629694283,1,1,1,53.592760180995484,54.26917510853835,[ $class$ [ $0$ ] ]
2,5526,12,24,0.03761797910556197,1,1,1,54.035468693449154,52.49818971759594,[ $class$ [ $0$ ] ]
3,5526,12,24,0.03631780995056033,1,1,1,53.81831342743395,53.367125271542356,[ $class$ [ $0$ ] ]
4,5526,12,24,0.039461682084947824,1,1,1,53.89069851610569,53.07748008689356,[ $class$ [ $0$ ] ]
0,5525,12,24,0.04923152318224311,1,1,1,53.30316742081448,55.42691751085383,[ $class$ [ $0$ ] ]
1,5525,12,24,0.05910891713574529,1,1,1,53.592760180995484,54.26917510853835,[ $class$ [ $0$ ] ]
2,5526,12,24,0.05324188806116581,1,1,1,54.035468693449154,52.49818971759594,[ $class$ [ $0$ ] ]
3,5526,12,24,0.05010342504829168,1,1,1,53.81831342743395,53.367125271542356,[ $class$ [ $0$ ] ]
4,5526,12,24,0.048714638222008944,1,1,1,53.89069851610569,53.07748008689356,[ $class$ [ $0$ ] ]
0,5525,12,24,0.2493823068216443,2,2,3,63.47511312217195,65.55716353111433,[ $feature_11  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
1,5525,12,24,0.40314959501847625,2,2,3,63.83710407239819,64.10998552821997,[ $feature_11  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
2,5526,12,24,0.4029210270382464,2,2,3,64.56749909518639,61.18754525706011,[ $feature_11  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
3,5526,12,24,0.2605204186402261,2,2,3,63.66268548678972,64.80811006517017,[ $feature_11  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
4,5526,12,24,0.38636063458397985,2,2,3,63.916033297140785,63.79435191889935,[ $feature_11  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
0,5525,12,24,2.1148656900040805,2,2,3,63.47511312217195,65.55716353111433,[ $feature_11  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
1,5525,12,24,2.135841228067875,2,2,3,63.83710407239819,64.10998552821997,[ $feature_11  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
2,5526,12,24,1.2836278220638633,2,2,3,64.56749909518639,61.18754525706011,[ $feature_11  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
3,5526,12,24,1.1764376047067344,2,2,3,63.66268548678972,64.80811006517017,[ $feature_11  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
4,5526,12,24,1.2993877092376351,2,2,3,63.916033297140785,63.79435191889935,[ $feature_11  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
0,5525,12,24,3.271329949144274,3,3,5,65.17647058823529,66.85962373371925,[ $feature_11  \eq  1$ [ $class$ [ $1$ ] ] [ $feature_7  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
1,5525,12,24,3.396590234246105,3,3,5,65.70135746606334,64.76121562952243,[ $feature_11  \eq  1$ [ $class$ [ $1$ ] ] [ $feature_7  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
2,5526,12,24,3.1400474063120782,3,3,5,66.23235613463626,62.635771180304125,[ $feature_11  \eq  1$ [ $class$ [ $1$ ] ] [ $feature_7  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
3,5526,12,24,3.158586957026273,3,3,5,65.23706116539992,66.6183924692252,[ $feature_11  \eq  1$ [ $class$ [ $1$ ] ] [ $feature_7  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
