fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
0,8597,22,173,1.8805833593942225,1,1,1,69.44282889380017,70.37209302325581,[ $class$ [ $0$ ] ]
1,8597,22,173,1.9432045738212764,1,1,1,69.40793299988368,70.51162790697674,[ $class$ [ $0$ ] ]
2,8598,22,173,1.9380464628338814,1,1,1,69.84182367992557,68.77617496510004,[ $class$ [ $0$ ] ]
3,8598,22,171,1.8801326979883015,1,1,1,69.79530123284485,68.96230805025594,[ $class$ [ $0$ ] ]
4,8598,22,175,1.9324869280681014,1,1,1,69.6557338916027,69.52070730572359,[ $class$ [ $0$ ] ]
0,8597,22,173,1.935453501995653,1,1,1,69.44282889380017,70.37209302325581,[ $class$ [ $0$ ] ]
1,8597,22,173,1.930833786725998,1,1,1,69.40793299988368,70.51162790697674,[ $class$ [ $0$ ] ]
2,8598,22,173,1.93310138117522,1,1,1,69.84182367992557,68.77617496510004,[ $class$ [ $0$ ] ]
3,8598,22,171,1.9308779169805348,1,1,1,69.79530123284485,68.96230805025594,[ $class$ [ $0$ ] ]
4,8598,22,175,1.9868137878365815,1,1,1,69.6557338916027,69.52070730572359,[ $class$ [ $0$ ] ]
0,8597,22,173,1.9443970117717981,1,1,1,69.44282889380017,70.37209302325581,[ $class$ [ $0$ ] ]
1,8597,22,173,1.9543606918305159,1,1,1,69.40793299988368,70.51162790697674,[ $class$ [ $0$ ] ]
2,8598,22,173,1.9346230030059814,1,1,1,69.84182367992557,68.77617496510004,[ $class$ [ $0$ ] ]
3,8598,22,171,1.8948822366073728,1,1,1,69.79530123284485,68.96230805025594,[ $class$ [ $0$ ] ]
4,8598,22,175,1.948821496218443,1,1,1,69.6557338916027,69.52070730572359,[ $class$ [ $0$ ] ]
0,8597,22,173,1.937122414354235,1,1,1,69.44282889380017,70.37209302325581,[ $class$ [ $0$ ] ]
1,8597,22,173,1.9361284379847348,1,1,1,69.40793299988368,70.51162790697674,[ $class$ [ $0$ ] ]
2,8598,22,173,1.9422931903973222,1,1,1,69.84182367992557,68.77617496510004,[ $class$ [ $0$ ] ]
3,8598,22,171,1.9724002960138023,1,1,1,69.79530123284485,68.96230805025594,[ $class$ [ $0$ ] ]
4,8598,22,175,1.9760144921019673,1,1,1,69.6557338916027,69.52070730572359,[ $class$ [ $0$ ] ]
0,8597,22,173,1.9605384599417448,1,1,1,69.44282889380017,70.37209302325581,[ $class$ [ $0$ ] ]
1,8597,22,173,1.974268493708223,1,1,1,69.40793299988368,70.51162790697674,[ $class$ [ $0$ ] ]
2,8598,22,173,1.933123730123043,1,1,1,69.84182367992557,68.77617496510004,[ $class$ [ $0$ ] ]
3,8598,22,171,1.88513353606686,1,1,1,69.79530123284485,68.96230805025594,[ $class$ [ $0$ ] ]
4,8598,22,175,1.9475211217068136,1,1,1,69.6557338916027,69.52070730572359,[ $class$ [ $0$ ] ]
0,8597,22,173,187.30412184493616,1,1,1,69.44282889380017,70.37209302325581,[ $class$ [ $0$ ] ]
1,8597,22,173,358.55215878086165,1,1,1,69.40793299988368,70.51162790697674,[ $class$ [ $0$ ] ]
2,8598,22,173,160.01366558065638,1,1,1,69.84182367992557,68.77617496510004,[ $class$ [ $0$ ] ]
3,8598,22,171,162.7707306900993,1,1,1,69.79530123284485,68.96230805025594,[ $class$ [ $0$ ] ]
4,8598,22,175,194.989316244144,1,1,1,69.6557338916027,69.52070730572359,[ $class$ [ $0$ ] ]
0,8597,22,173,1299.0152160958387,1,1,1,69.44282889380017,70.37209302325581,[ $class$ [ $0$ ] ]
1,8597,22,173,1432.4925671010278,1,1,1,69.40793299988368,70.51162790697674,[ $class$ [ $0$ ] ]
2,8598,22,173,1028.0806947429664,1,1,1,69.84182367992557,68.77617496510004,[ $class$ [ $0$ ] ]
3,8598,22,171,1473.2760232221335,1,1,1,69.79530123284485,68.96230805025594,[ $class$ [ $0$ ] ]
4,8598,22,175,1735.19325833302,1,1,1,69.6557338916027,69.52070730572359,[ $class$ [ $0$ ] ]
