fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
0,8367,17,34,0.0,1,1,1,50.86649934265567,57.504780114722756,[ $class$ [ $0$ ] ]
1,8367,17,34,0.0,1,1,1,52.981952910242626,49.043977055449325,[ $class$ [ $0$ ] ]
2,8367,17,34,0.0,1,1,1,52.324608581331425,51.673040152963665,[ $class$ [ $0$ ] ]
3,8367,17,34,0.0,1,1,1,51.79873311820246,53.77629063097514,[ $class$ [ $0$ ] ]
4,8368,17,34,0.0,1,1,1,52.99952198852772,48.97178383548542,[ $class$ [ $0$ ] ]
0,8367,17,34,0.004,1,1,1,50.86649934265567,57.504780114722756,[ $class$ [ $0$ ] ]
1,8367,17,34,0.004,1,1,1,52.981952910242626,49.043977055449325,[ $class$ [ $0$ ] ]
2,8367,17,34,0.004,1,1,1,52.324608581331425,51.673040152963665,[ $class$ [ $0$ ] ]
3,8367,17,34,0.004,1,1,1,51.79873311820246,53.77629063097514,[ $class$ [ $0$ ] ]
4,8368,17,34,0.004,1,1,1,52.99952198852772,48.97178383548542,[ $class$ [ $0$ ] ]
0,8367,17,34,0.004,2,2,3,69.55898171387595,69.74187380497132,[ $ExternalRiskEstimate<0.65  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
1,8367,17,34,0.004,2,2,3,69.60678857416039,68.69024856596559,[ $ExternalRiskEstimate<0.49  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
2,8367,17,34,0.004,2,2,3,69.7143540098004,69.12045889101339,[ $ExternalRiskEstimate<0.65  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
3,8367,17,34,0.004,2,2,3,69.89362973586711,68.40344168260039,[ $ExternalRiskEstimate<0.65  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
4,8368,17,34,0.004,2,2,3,69.39531548757171,69.53610712577714,[ $ExternalRiskEstimate<0.49  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
0,8367,17,34,0.386,2,2,3,69.55898171387595,69.74187380497132,[ $ExternalRiskEstimate<0.65  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
1,8367,17,34,0.123,2,2,3,69.60678857416039,68.69024856596559,[ $ExternalRiskEstimate<0.49  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
2,8367,17,34,0.135,2,2,3,69.7143540098004,69.12045889101339,[ $ExternalRiskEstimate<0.65  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
3,8367,17,34,0.139,2,2,3,69.89362973586711,68.40344168260039,[ $ExternalRiskEstimate<0.65  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
4,8368,17,34,0.159,2,2,3,69.39531548757171,69.53610712577714,[ $ExternalRiskEstimate<0.49  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
0,8367,17,34,4.606,2,2,3,69.55898171387595,69.74187380497132,[ $ExternalRiskEstimate<0.65  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
1,8367,17,34,2.28,2,2,3,69.60678857416039,68.69024856596559,[ $ExternalRiskEstimate<0.49  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
2,8367,17,34,2.621,2,2,3,69.7143540098004,69.12045889101339,[ $ExternalRiskEstimate<0.65  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
3,8367,17,34,2.735,2,2,3,69.89362973586711,68.40344168260039,[ $ExternalRiskEstimate<0.65  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
4,8368,17,34,3.056,2,2,3,69.39531548757171,69.53610712577714,[ $ExternalRiskEstimate<0.49  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
0,8367,17,34,21.834,2,2,3,69.55898171387595,69.74187380497132,[ $ExternalRiskEstimate<0.65  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
1,8367,17,34,13.553,2,2,3,69.60678857416039,68.69024856596559,[ $ExternalRiskEstimate<0.49  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
2,8367,17,34,15.605,2,2,3,69.7143540098004,69.12045889101339,[ $ExternalRiskEstimate<0.65  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
3,8367,17,34,15.84,2,2,3,69.89362973586711,68.40344168260039,[ $ExternalRiskEstimate<0.65  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
4,8368,17,34,16.652,2,2,3,69.39531548757171,69.53610712577714,[ $ExternalRiskEstimate<0.49  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
0,8367,17,34,64.548,4,4,7,71.8656627226007,64.1491395793499,[ $ExternalRiskEstimate<0.49  \eq  1$ [ $class$ [ $1$ ] ] [ $ExternalRiskEstimate<0.80  \eq  1$ [ $Inquiry<0.75  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ] ]
1,8367,17,34,47.657,2,2,3,69.60678857416039,68.69024856596559,[ $ExternalRiskEstimate<0.49  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
2,8367,17,34,54.315,2,2,3,69.7143540098004,69.12045889101339,[ $ExternalRiskEstimate<0.65  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
3,8367,17,34,54.91,2,2,3,69.89362973586711,68.40344168260039,[ $ExternalRiskEstimate<0.65  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
4,8368,17,34,55.803,4,4,7,71.1281070745698,71.16212338593975,[ $ExternalRiskEstimate<0.49  \eq  1$ [ $class$ [ $1$ ] ] [ $ExternalRiskEstimate<0.65  \eq  1$ [ $Inquiry<0.75  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ] ]
