fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
0,8367,17,34,-1,-1,-1,-1,-1,-1,NA
1,8367,17,34,-1,-1,-1,-1,-1,-1,NA
2,8367,17,34,-1,-1,-1,-1,-1,-1,NA
3,8367,17,34,-1,-1,-1,-1,-1,-1,NA
4,8368,17,34,-1,-1,-1,-1,-1,-1,NA
0,8367,17,34,-1,-1,-1,-1,-1,-1,NA
1,8367,17,34,-1,-1,-1,-1,-1,-1,NA
2,8367,17,34,-1,-1,-1,-1,-1,-1,NA
3,8367,17,34,-1,-1,-1,-1,-1,-1,NA
4,8368,17,34,-1,-1,-1,-1,-1,-1,NA
0,8367,17,34,1.7566207270137966,2,2,3,69.55898171387595,69.74187380497132,[ $ExternalRiskEstimate<0.65  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
1,8367,17,34,1.6215192670933902,1,1,1,47.01804708975738,50.956022944550675,[ $class$ [ $1$ ] ]
2,8367,17,34,1.738895796239376,2,2,3,69.7143540098004,69.12045889101339,[ $ExternalRiskEstimate<0.65  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
3,8367,17,34,1.7207007370889187,2,2,3,69.89362973586711,68.40344168260039,[ $ExternalRiskEstimate<0.65  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
4,8368,17,34,1.7273638118058443,1,1,1,47.000478011472275,51.02821616451458,[ $class$ [ $1$ ] ]
0,8367,17,34,1.775757126044482,2,2,3,69.55898171387595,69.74187380497132,[ $ExternalRiskEstimate<0.65  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
1,8367,17,34,1.6289053810760379,1,1,1,47.01804708975738,50.956022944550675,[ $class$ [ $1$ ] ]
2,8367,17,34,1.7290957169607282,2,2,3,69.7143540098004,69.12045889101339,[ $ExternalRiskEstimate<0.65  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
3,8367,17,34,1.725502363871783,2,2,3,69.89362973586711,68.40344168260039,[ $ExternalRiskEstimate<0.65  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
4,8368,17,34,1.7373028909787536,1,1,1,47.000478011472275,51.02821616451458,[ $class$ [ $1$ ] ]
0,8367,17,34,5.2057104031555355,2,2,3,69.55898171387595,69.74187380497132,[ $ExternalRiskEstimate<0.65  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
1,8367,17,34,2.6490077590569854,1,1,1,47.01804708975738,50.956022944550675,[ $class$ [ $1$ ] ]
2,8367,17,34,2.864314879756421,2,2,3,69.7143540098004,69.12045889101339,[ $ExternalRiskEstimate<0.65  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
3,8367,17,34,2.810798774007708,2,2,3,69.89362973586711,68.40344168260039,[ $ExternalRiskEstimate<0.65  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
4,8368,17,34,2.8185289059765637,1,1,1,47.000478011472275,51.02821616451458,[ $class$ [ $1$ ] ]
0,8367,17,34,304.9491880699061,2,2,3,69.55898171387595,69.74187380497132,[ $ExternalRiskEstimate<0.65  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
1,8367,17,34,301.7318298211321,1,1,1,47.01804708975738,50.956022944550675,[ $class$ [ $1$ ] ]
2,8367,17,34,301.96297374693677,2,2,3,69.7143540098004,69.12045889101339,[ $ExternalRiskEstimate<0.65  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
3,8367,17,34,301.90087812393904,2,2,3,69.89362973586711,68.40344168260039,[ $ExternalRiskEstimate<0.65  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
4,8368,17,34,301.77718458417803,1,1,1,47.000478011472275,51.02821616451458,[ $class$ [ $1$ ] ]
0,8367,17,34,306.18398458790034,3,3,5,62.96163499462173,56.69216061185468,[ $Inquiry<0.75  \eq  1$ [ $class$ [ $1$ ] ] [ $ExternalRiskEstimate<0.80  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ]
1,8367,17,34,306.16081376280636,1,1,1,47.01804708975738,50.956022944550675,[ $class$ [ $1$ ] ]
2,8367,17,34,306.0955508979969,2,2,3,69.7143540098004,69.12045889101339,[ $ExternalRiskEstimate<0.65  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
3,8367,17,34,306.0440713930875,2,2,3,69.89362973586711,68.40344168260039,[ $ExternalRiskEstimate<0.65  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
4,8368,17,34,306.28543269913644,1,1,1,47.000478011472275,51.02821616451458,[ $class$ [ $1$ ] ]
