fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
0,8367,17,34,0.04390095407143235,1,1,1,50.86649934265567,57.504780114722756,[ $class$ [ $0$ ] ]
1,8367,17,34,0.039354616310447454,1,1,1,52.981952910242626,49.043977055449325,[ $class$ [ $0$ ] ]
2,8367,17,34,0.035795283038169146,1,1,1,52.324608581331425,51.673040152963665,[ $class$ [ $0$ ] ]
3,8367,17,34,0.031658855732530355,1,1,1,51.79873311820246,53.77629063097514,[ $class$ [ $0$ ] ]
4,8368,17,34,0.038216606713831425,1,1,1,52.99952198852772,48.97178383548542,[ $class$ [ $0$ ] ]
0,8367,17,34,0.04118161275982857,1,1,1,50.86649934265567,57.504780114722756,[ $class$ [ $0$ ] ]
1,8367,17,34,0.03850235836580396,1,1,1,52.981952910242626,49.043977055449325,[ $class$ [ $0$ ] ]
2,8367,17,34,0.03611731622368097,1,1,1,52.324608581331425,51.673040152963665,[ $class$ [ $0$ ] ]
3,8367,17,34,0.04278165102005005,1,1,1,51.79873311820246,53.77629063097514,[ $class$ [ $0$ ] ]
4,8368,17,34,0.04355044895783067,1,1,1,52.99952198852772,48.97178383548542,[ $class$ [ $0$ ] ]
0,8367,17,34,2.998972926288843,2,2,3,69.55898171387595,69.74187380497132,[ $feature_1  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
1,8367,17,34,1.4769277418963611,2,2,3,69.60678857416039,68.69024856596559,[ $feature_0  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
2,8367,17,34,2.277106863912195,2,2,3,69.7143540098004,69.12045889101339,[ $feature_1  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
3,8367,17,34,2.1072182818315923,2,2,3,69.89362973586711,68.40344168260039,[ $feature_1  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
4,8368,17,34,2.1941238958388567,2,2,3,69.39531548757171,69.53610712577714,[ $feature_0  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
0,8367,17,34,35.2066913950257,2,2,3,69.55898171387595,69.74187380497132,[ $feature_1  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
1,8367,17,34,28.61667731590569,2,2,3,69.60678857416039,68.69024856596559,[ $feature_0  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
2,8367,17,34,31.33361837407574,2,2,3,69.7143540098004,69.12045889101339,[ $feature_1  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
3,8367,17,34,32.89375011483207,2,2,3,69.89362973586711,68.40344168260039,[ $feature_1  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
4,8368,17,34,33.533521600067616,2,2,3,69.39531548757171,69.53610712577714,[ $feature_0  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
0,8367,17,34,144.01272884896025,2,2,3,69.55898171387595,69.74187380497132,[ $feature_1  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
1,8367,17,34,112.04369934089482,2,2,3,69.60678857416039,68.69024856596559,[ $feature_0  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
2,8367,17,34,130.9875064450316,2,2,3,69.7143540098004,69.12045889101339,[ $feature_1  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
3,8367,17,34,-1,-1,-1,-1,-1,-1,NA
4,8368,17,34,133.8340959949419,2,2,3,69.39531548757171,69.53610712577714,[ $feature_0  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
0,8367,17,34,-1,-1,-1,-1,-1,-1,NA
1,8367,17,34,-1,-1,-1,-1,-1,-1,NA
2,8367,17,34,-1,-1,-1,-1,-1,-1,NA
3,8367,17,34,-1,-1,-1,-1,-1,-1,NA
4,8368,17,34,-1,-1,-1,-1,-1,-1,NA
0,8367,17,34,-1,-1,-1,-1,-1,-1,NA
1,8367,17,34,-1,-1,-1,-1,-1,-1,NA
2,8367,17,34,-1,-1,-1,-1,-1,-1,NA
3,8367,17,34,-1,-1,-1,-1,-1,-1,NA
4,8368,17,34,-1,-1,-1,-1,-1,-1,NA
