fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
0,99,11,22,-1,-1,-1,-1,-1,-1,NA
1,99,11,22,-1,-1,-1,-1,-1,-1,NA
2,99,11,22,-1,-1,-1,-1,-1,-1,NA
3,99,11,22,-1,-1,-1,-1,-1,-1,NA
4,100,11,22,-1,-1,-1,-1,-1,-1,NA
0,99,11,22,-1,-1,-1,-1,-1,-1,NA
1,99,11,22,-1,-1,-1,-1,-1,-1,NA
2,99,11,22,-1,-1,-1,-1,-1,-1,NA
3,99,11,22,-1,-1,-1,-1,-1,-1,NA
4,100,11,22,-1,-1,-1,-1,-1,-1,NA
0,99,11,22,0.015543990768492222,2,2,3,74.74747474747475,68.0,[ $a5_1  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
1,99,11,22,-1,-1,-1,-1,-1,-1,NA
2,99,11,22,0.014022217132151127,2,2,3,77.77777777777779,56.00000000000001,[ $a5_1  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
3,99,11,22,0.01549479691311717,1,1,1,49.494949494949495,52.0,[ $class$ [ $0$ ] ]
4,100,11,22,0.014803498983383179,2,2,3,80.0,45.83333333333333,[ $a5_1  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
0,99,11,22,0.11790002603083849,3,3,5,79.7979797979798,56.00000000000001,[ $a1_1  \eq  1$ [ $class$ [ $0$ ] ] [ $a2_1  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
1,99,11,22,0.20228282967582345,4,5,9,81.81818181818183,28.000000000000004,[ $a1_2  \eq  1$ [ $a2_2  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $a2_2  \eq  1$ [ $class$ [ $0$ ] ] [ $a5_1  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] ]
2,99,11,22,0.13047077925875783,2,2,3,77.77777777777779,56.00000000000001,[ $a5_1  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
3,99,11,22,-1,-1,-1,-1,-1,-1,NA
4,100,11,22,0.19165131077170372,2,2,3,80.0,45.83333333333333,[ $a5_1  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
0,99,11,22,1.3129148371517658,3,3,5,79.7979797979798,56.00000000000001,[ $a1_1  \eq  1$ [ $class$ [ $0$ ] ] [ $a2_1  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
1,99,11,22,0.7485377970151603,4,5,9,81.81818181818183,28.000000000000004,[ $a1_2  \eq  1$ [ $a2_2  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $a2_2  \eq  1$ [ $class$ [ $0$ ] ] [ $a5_1  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] ]
2,99,11,22,1.5262022181414068,4,4,7,49.494949494949495,44.0,[ $a1_2  \eq  1$ [ $class$ [ $0$ ] ] [ $a5_1  \eq  1$ [ $class$ [ $1$ ] ] [ $a2_1  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] ]
3,99,11,22,-1,-1,-1,-1,-1,-1,NA
4,100,11,22,0.6848288089968264,4,4,7,55.00000000000001,83.33333333333334,[ $a2_2  \eq  1$ [ $class$ [ $1$ ] ] [ $a2_1  \eq  1$ [ $class$ [ $1$ ] ] [ $a1_1  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ]
0,99,11,22,2.411451862193644,5,6,11,58.58585858585859,92.0,[ $a1_2  \eq  1$ [ $a2_2  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $a2_2  \eq  1$ [ $class$ [ $0$ ] ] [ $a5_1  \eq  1$ [ $class$ [ $1$ ] ] [ $a1_1  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ] ]
1,99,11,22,-1,-1,-1,-1,-1,-1,NA
2,99,11,22,-1,-1,-1,-1,-1,-1,NA
3,99,11,22,-1,-1,-1,-1,-1,-1,NA
4,100,11,22,0.9162672199308872,4,4,7,55.00000000000001,83.33333333333334,[ $a2_2  \eq  1$ [ $class$ [ $1$ ] ] [ $a2_1  \eq  1$ [ $class$ [ $1$ ] ] [ $a1_1  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ]
0,99,11,22,2.9680021442472935,5,6,11,58.58585858585859,92.0,[ $a1_2  \eq  1$ [ $a2_2  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $a2_2  \eq  1$ [ $class$ [ $0$ ] ] [ $a5_1  \eq  1$ [ $class$ [ $1$ ] ] [ $a1_1  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ] ]
1,99,11,22,-1,-1,-1,-1,-1,-1,NA
2,99,11,22,-1,-1,-1,-1,-1,-1,NA
3,99,11,22,-1,-1,-1,-1,-1,-1,NA
4,100,11,22,1.038392011076212,4,4,7,55.00000000000001,83.33333333333334,[ $a2_2  \eq  1$ [ $class$ [ $1$ ] ] [ $a2_1  \eq  1$ [ $class$ [ $1$ ] ] [ $a1_1  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ]
