fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
0,135,11,22,0.0,1,1,1,59.25925925925925,73.52941176470588,[ $class$ [ $0$ ] ]
1,135,11,22,0.0,1,1,1,62.96296296296296,58.82352941176471,[ $class$ [ $0$ ] ]
2,135,11,22,0.0,1,1,1,61.48148148148148,64.70588235294117,[ $class$ [ $0$ ] ]
3,135,11,22,0.0,1,1,1,65.18518518518519,50.0,[ $class$ [ $0$ ] ]
4,136,11,22,0.0,1,1,1,61.76470588235294,63.63636363636363,[ $class$ [ $0$ ] ]
0,135,11,22,0.0,1,1,1,59.25925925925925,73.52941176470588,[ $class$ [ $0$ ] ]
1,135,11,22,0.0,1,1,1,62.96296296296296,58.82352941176471,[ $class$ [ $0$ ] ]
2,135,11,22,0.0,1,1,1,61.48148148148148,64.70588235294117,[ $class$ [ $0$ ] ]
3,135,11,22,0.0,1,1,1,65.18518518518519,50.0,[ $class$ [ $0$ ] ]
4,136,11,22,0.0,1,1,1,61.76470588235294,63.63636363636363,[ $class$ [ $0$ ] ]
0,135,11,22,0.004,1,1,1,59.25925925925925,73.52941176470588,[ $class$ [ $0$ ] ]
1,135,11,22,-1,-1,-1,-1,-1,-1,NA
2,135,11,22,0.005,1,1,1,61.48148148148148,64.70588235294117,[ $class$ [ $0$ ] ]
3,135,11,22,0.002,1,1,1,65.18518518518519,50.0,[ $class$ [ $0$ ] ]
4,136,11,22,-1,-1,-1,-1,-1,-1,NA
0,135,11,22,0.058,1,1,1,59.25925925925925,73.52941176470588,[ $class$ [ $0$ ] ]
1,135,11,22,0.045,1,1,1,62.96296296296296,58.82352941176471,[ $class$ [ $0$ ] ]
2,135,11,22,-1,-1,-1,-1,-1,-1,NA
3,135,11,22,0.039,1,1,1,65.18518518518519,50.0,[ $class$ [ $0$ ] ]
4,136,11,22,0.051,1,1,1,61.76470588235294,63.63636363636363,[ $class$ [ $0$ ] ]
0,135,11,22,-1,-1,-1,-1,-1,-1,NA
1,135,11,22,0.2,1,1,1,62.96296296296296,58.82352941176471,[ $class$ [ $0$ ] ]
2,135,11,22,0.209,4,4,7,71.85185185185186,61.76470588235294,[ $a3_1  \eq  1$ [ $a5_1  \eq  1$ [ $class$ [ $0$ ] ] [ $a6_1  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $class$ [ $0$ ] ] ]
3,135,11,22,0.178,1,1,1,65.18518518518519,50.0,[ $class$ [ $0$ ] ]
4,136,11,22,0.193,1,1,1,61.76470588235294,63.63636363636363,[ $class$ [ $0$ ] ]
0,135,11,22,0.436,4,5,9,74.81481481481481,55.88235294117647,[ $a4_1  \eq  1$ [ $class$ [ $0$ ] ] [ $a3_1  \eq  1$ [ $a5_1  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $a5_1  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ]
1,135,11,22,0.416,7,9,17,82.22222222222221,70.58823529411765,[ $a4_1  \eq  1$ [ $class$ [ $0$ ] ] [ $a5_1  \eq  1$ [ $a3_1  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $a1_1  \eq  1$ [ $a6_1  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $a3_1  \eq  1$ [ $a2_1  \eq  1$ [ $class$ [ $1$ ] ] [ $a6_1  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] [ $class$ [ $0$ ] ] ] ] ] ]
