fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
0,97,11,22,0.001963295042514801,2,2,3,71.1340206185567,52.0,[ $a2_2  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
1,97,11,22,0.0015255101025104523,2,2,3,62.88659793814433,84.0,[ $a2_2  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
2,98,11,22,0.0015486250631511211,2,2,3,71.42857142857143,50.0,[ $a2_2  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
3,98,11,22,0.0015639751218259335,2,2,3,67.3469387755102,66.66666666666666,[ $a2_2  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
4,98,11,22,0.0015502101741731167,2,2,3,63.26530612244898,83.33333333333334,[ $a2_2  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
0,97,11,22,0.002033188007771969,3,3,5,79.38144329896907,72.0,[ $a2_1  \eq  1$ [ $class$ [ $1$ ] ] [ $a2_2  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
1,97,11,22,0.0019766269251704216,3,3,5,74.22680412371135,92.0,[ $a2_1  \eq  1$ [ $class$ [ $1$ ] ] [ $a2_2  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
2,98,11,22,0.0018872711807489395,3,4,7,83.6734693877551,54.166666666666664,[ $a2_1  \eq  1$ [ $a4_2  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $a2_2  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
3,98,11,22,0.0019383342005312443,3,3,5,76.53061224489795,83.33333333333334,[ $a2_1  \eq  1$ [ $class$ [ $1$ ] ] [ $a2_2  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
4,98,11,22,0.0019853548146784306,3,3,5,76.53061224489795,83.33333333333334,[ $a2_1  \eq  1$ [ $class$ [ $1$ ] ] [ $a2_2  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
