fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
0,97,11,22,0.03312870906665921,1,1,1,56.70103092783505,28.000000000000004,[ $class$ [ $0$ ] ]
1,97,11,22,0.03203568700700998,1,1,1,51.546391752577314,40.0,[ $class$ [ $1$ ] ]
2,98,11,22,0.03306361334398389,1,1,1,53.06122448979592,41.66666666666667,[ $class$ [ $0$ ] ]
3,98,11,22,0.043471221812069416,1,1,1,53.06122448979592,33.33333333333333,[ $class$ [ $1$ ] ]
4,98,11,22,0.040440864861011505,1,1,1,51.02040816326531,41.66666666666667,[ $class$ [ $1$ ] ]
0,97,11,22,0.0709216371178627,1,1,1,56.70103092783505,28.000000000000004,[ $class$ [ $0$ ] ]
1,97,11,22,0.0897322278469801,1,1,1,51.546391752577314,40.0,[ $class$ [ $1$ ] ]
2,98,11,22,0.0783550189808011,1,1,1,53.06122448979592,41.66666666666667,[ $class$ [ $0$ ] ]
3,98,11,22,0.08751393109560013,1,1,1,53.06122448979592,33.33333333333333,[ $class$ [ $1$ ] ]
4,98,11,22,0.09954176377505064,1,1,1,51.02040816326531,41.66666666666667,[ $class$ [ $1$ ] ]
0,97,11,22,0.46943010156974196,2,2,3,71.1340206185567,52.0,[ $feature_3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
1,97,11,22,0.6311330711469054,1,1,1,51.546391752577314,40.0,[ $class$ [ $1$ ] ]
2,98,11,22,0.5308137340471148,2,2,3,71.42857142857143,50.0,[ $feature_3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
3,98,11,22,0.5216010552830994,2,2,3,67.3469387755102,66.66666666666666,[ $feature_3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
4,98,11,22,-1,-1,-1,-1,-1,-1,NA
0,97,11,22,1.9643348678946495,3,3,5,79.38144329896907,72.0,[ $feature_2  \eq  1$ [ $class$ [ $1$ ] ] [ $feature_3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
1,97,11,22,-1,-1,-1,-1,-1,-1,NA
2,98,11,22,-1,-1,-1,-1,-1,-1,NA
3,98,11,22,2.1806630953215063,3,3,5,76.53061224489795,83.33333333333334,[ $feature_3  \eq  1$ [ $class$ [ $1$ ] ] [ $feature_2  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
4,98,11,22,-1,-1,-1,-1,-1,-1,NA
0,97,11,22,-1,-1,-1,-1,-1,-1,NA
1,97,11,22,-1,-1,-1,-1,-1,-1,NA
2,98,11,22,-1,-1,-1,-1,-1,-1,NA
3,98,11,22,-1,-1,-1,-1,-1,-1,NA
4,98,11,22,-1,-1,-1,-1,-1,-1,NA
0,97,11,22,-1,-1,-1,-1,-1,-1,NA
1,97,11,22,-1,-1,-1,-1,-1,-1,NA
2,98,11,22,-1,-1,-1,-1,-1,-1,NA
3,98,11,22,-1,-1,-1,-1,-1,-1,NA
4,98,11,22,-1,-1,-1,-1,-1,-1,NA
0,97,11,22,-1,-1,-1,-1,-1,-1,NA
1,97,11,22,-1,-1,-1,-1,-1,-1,NA
2,98,11,22,-1,-1,-1,-1,-1,-1,NA
3,98,11,22,-1,-1,-1,-1,-1,-1,NA
4,98,11,22,-1,-1,-1,-1,-1,-1,NA
