fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
0,766,18,36,0.003000670112669468,2,2,3,70.10443864229765,69.27083333333334,[ $Feat4_o \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
1,766,18,36,0.002450603060424328,2,2,3,67.75456919060052,78.64583333333334,[ $Feat4_o \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
2,766,18,36,0.0027448241598904133,2,2,3,66.84073107049609,82.29166666666666,[ $Feat4_o \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
3,767,18,36,0.0028433818370103836,2,2,3,75.09778357235984,26.17801047120419,[ $Feat0_x \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ]
4,767,18,36,0.0028105229139328003,2,2,3,81.61668839634942,0.0,[ $Feat4_o \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ]
0,766,18,36,0.0031114104203879833,3,4,7,70.10443864229765,69.27083333333334,[ $Feat4_o \eq 0$ [ $Feat8_x \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $Feat6_o \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ]
1,766,18,36,0.003080952912569046,3,4,7,67.75456919060052,78.64583333333334,[ $Feat4_o \eq 1$ [ $Feat0_o \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $Feat2_x \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ]
2,766,18,36,0.00313380965963006,3,4,7,67.62402088772846,82.29166666666666,[ $Feat4_o \eq 1$ [ $Feat0_x \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $Feat0_x \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
3,767,18,36,0.003167123068124056,3,4,7,81.48631029986963,26.701570680628272,[ $Feat0_x \eq 0$ [ $Feat7_x \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $Feat4_o \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
4,767,18,36,0.0031101610511541367,3,4,7,81.87744458930901,25.13089005235602,[ $Feat4_o \eq 0$ [ $Feat6_x \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $Feat8_o \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ]
0,766,18,36,0.003339002374559641,4,8,15,75.45691906005221,61.979166666666664,[ $Feat4_o \eq 1$ [ $Feat6_o \eq 1$ [ $Feat2_o \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $Feat8_o \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] [ $Feat8_x \eq 1$ [ $Feat0_x \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $Feat0_x \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ]
1,766,18,36,0.003553252201527357,4,8,15,73.49869451697127,50.520833333333336,[ $Feat4_o \eq 1$ [ $Feat0_o \eq 0$ [ $Feat1_x \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $Feat8_o \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] [ $Feat2_x \eq 0$ [ $Feat0_o \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $Feat6_x \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ]
2,766,18,36,0.0033352398313581944,4,8,15,72.58485639686684,65.10416666666666,[ $Feat4_o \eq 0$ [ $Feat0_x \eq 1$ [ $Feat8_x \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $Feat6_x \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $Feat0_x \eq 1$ [ $Feat4_x \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $Feat8_o \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] ]
3,767,18,36,0.003390131052583456,4,8,15,82.92046936114733,32.460732984293195,[ $Feat0_x \eq 1$ [ $Feat4_o \eq 1$ [ $Feat2_o \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $Feat8_x \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] [ $Feat5_x \eq 0$ [ $Feat7_x \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $Feat7_x \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] ]
