fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
0,766,18,36,0.0,1,1,1,56.6579634464752,100.0,[ $class$ [ $1$ ] ]
1,766,18,36,0.0,1,1,1,56.6579634464752,100.0,[ $class$ [ $1$ ] ]
2,766,18,36,0.0,1,1,1,56.6579634464752,100.0,[ $class$ [ $1$ ] ]
3,767,18,36,0.0,1,1,1,75.09778357235984,26.17801047120419,[ $class$ [ $1$ ] ]
4,767,18,36,0.0,1,1,1,81.61668839634942,0.0,[ $class$ [ $1$ ] ]
0,766,18,36,0.003,1,1,1,56.6579634464752,100.0,[ $class$ [ $1$ ] ]
1,766,18,36,0.002,1,1,1,56.6579634464752,100.0,[ $class$ [ $1$ ] ]
2,766,18,36,0.002,1,1,1,56.6579634464752,100.0,[ $class$ [ $1$ ] ]
3,767,18,36,0.0,1,1,1,75.09778357235984,26.17801047120419,[ $class$ [ $1$ ] ]
4,767,18,36,0.0,1,1,1,81.61668839634942,0.0,[ $class$ [ $1$ ] ]
0,766,18,36,0.048,2,2,3,70.10443864229765,69.27083333333334,[ $Feat4_o  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
1,766,18,36,0.049,1,1,1,56.6579634464752,100.0,[ $class$ [ $1$ ] ]
2,766,18,36,0.05,1,1,1,56.6579634464752,100.0,[ $class$ [ $1$ ] ]
3,767,18,36,0.003,1,1,1,75.09778357235984,26.17801047120419,[ $class$ [ $1$ ] ]
4,767,18,36,0.003,1,1,1,81.61668839634942,0.0,[ $class$ [ $1$ ] ]
0,766,18,36,0.726,2,2,3,70.10443864229765,69.27083333333334,[ $Feat4_o  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
1,766,18,36,0.783,2,2,3,67.75456919060052,78.64583333333334,[ $Feat4_o  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
2,766,18,36,0.775,2,2,3,66.84073107049609,82.29166666666666,[ $Feat4_o  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
3,767,18,36,0.156,1,1,1,75.09778357235984,26.17801047120419,[ $class$ [ $1$ ] ]
4,767,18,36,0.018,1,1,1,81.61668839634942,0.0,[ $class$ [ $1$ ] ]
