fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
0,766,18,36,-1,-1,-1,-1,-1,-1,NA
1,766,18,36,-1,-1,-1,-1,-1,-1,NA
2,766,18,36,-1,-1,-1,-1,-1,-1,NA
3,767,18,36,-1,-1,-1,-1,-1,-1,NA
4,767,18,36,-1,-1,-1,-1,-1,-1,NA
0,766,18,36,-1,-1,-1,-1,-1,-1,NA
1,766,18,36,-1,-1,-1,-1,-1,-1,NA
2,766,18,36,-1,-1,-1,-1,-1,-1,NA
3,767,18,36,-1,-1,-1,-1,-1,-1,NA
4,767,18,36,-1,-1,-1,-1,-1,-1,NA
0,766,18,36,0.1624911269173026,2,2,3,70.10443864229765,69.27083333333334,[ $Feat4_o  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
1,766,18,36,-1,-1,-1,-1,-1,-1,NA
2,766,18,36,-1,-1,-1,-1,-1,-1,NA
3,767,18,36,-1,-1,-1,-1,-1,-1,NA
4,767,18,36,-1,-1,-1,-1,-1,-1,NA
0,766,18,36,1.8055973290465772,2,2,3,70.10443864229765,69.27083333333334,[ $Feat4_o  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
1,766,18,36,1.815667511895299,2,2,3,67.75456919060052,78.64583333333334,[ $Feat4_o  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
2,766,18,36,1.8719455506652594,2,2,3,66.84073107049609,82.29166666666666,[ $Feat4_o  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
3,767,18,36,-1,-1,-1,-1,-1,-1,NA
4,767,18,36,-1,-1,-1,-1,-1,-1,NA
0,766,18,36,300.70698128733784,2,2,3,70.10443864229765,69.27083333333334,[ $Feat4_o  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
1,766,18,36,300.9529529628344,2,2,3,67.75456919060052,78.64583333333334,[ $Feat4_o  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
2,766,18,36,300.44105501286685,3,3,5,70.10443864229765,65.10416666666666,[ $Feat4_x  \eq  1$ [ $class$ [ $1$ ] ] [ $Feat0_x  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
3,767,18,36,300.2234722301364,4,4,7,85.00651890482399,34.55497382198953,[ $Feat8_x  \eq  1$ [ $class$ [ $1$ ] ] [ $Feat0_x  \eq  1$ [ $class$ [ $1$ ] ] [ $Feat4_x  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ]
4,767,18,36,-1,-1,-1,-1,-1,-1,NA
