fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
0,766,18,36,0.03218132723122835,1,1,1,56.6579634464752,100.0,[ $class$ [ $1$ ] ]
1,766,18,36,0.0373657108284533,1,1,1,56.6579634464752,100.0,[ $class$ [ $1$ ] ]
2,766,18,36,0.0380254746414721,1,1,1,56.6579634464752,100.0,[ $class$ [ $1$ ] ]
3,767,18,36,0.03584190597757697,1,1,1,75.09778357235984,26.17801047120419,[ $class$ [ $1$ ] ]
4,767,18,36,0.03606793424114585,1,1,1,81.61668839634942,0.0,[ $class$ [ $1$ ] ]
0,766,18,36,0.437526963185519,1,1,1,56.6579634464752,100.0,[ $class$ [ $1$ ] ]
1,766,18,36,0.4851997890509665,1,1,1,56.6579634464752,100.0,[ $class$ [ $1$ ] ]
2,766,18,36,0.4495329507626593,1,1,1,56.6579634464752,100.0,[ $class$ [ $1$ ] ]
3,767,18,36,0.04212987003847957,1,1,1,75.09778357235984,26.17801047120419,[ $class$ [ $1$ ] ]
4,767,18,36,0.044214118272066116,1,1,1,81.61668839634942,0.0,[ $class$ [ $1$ ] ]
0,766,18,36,5.979704069904983,2,2,3,70.10443864229765,69.27083333333334,[ $feature_8  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
1,766,18,36,5.5678654429502785,1,1,1,56.6579634464752,100.0,[ $class$ [ $1$ ] ]
2,766,18,36,5.367895016912371,1,1,1,56.6579634464752,100.0,[ $class$ [ $1$ ] ]
3,767,18,36,1.8940948219969869,1,1,1,75.09778357235984,26.17801047120419,[ $class$ [ $1$ ] ]
4,767,18,36,0.31208625016734004,1,1,1,81.61668839634942,0.0,[ $class$ [ $1$ ] ]
0,766,18,36,44.85185610502958,2,2,3,70.10443864229765,69.27083333333334,[ $feature_8  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
1,766,18,36,43.33403583988547,2,2,3,67.75456919060052,78.64583333333334,[ $feature_8  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
2,766,18,36,-1,-1,-1,-1,-1,-1,NA
3,767,18,36,19.571589837782085,1,1,1,75.09778357235984,26.17801047120419,[ $class$ [ $1$ ] ]
4,767,18,36,8.63519584434107,1,1,1,81.61668839634942,0.0,[ $class$ [ $1$ ] ]
0,766,18,36,-1,-1,-1,-1,-1,-1,NA
1,766,18,36,-1,-1,-1,-1,-1,-1,NA
2,766,18,36,-1,-1,-1,-1,-1,-1,NA
3,767,18,36,-1,-1,-1,-1,-1,-1,NA
4,767,18,36,75.05019038403407,1,1,1,81.61668839634942,0.0,[ $class$ [ $1$ ] ]
0,766,18,36,-1,-1,-1,-1,-1,-1,NA
1,766,18,36,-1,-1,-1,-1,-1,-1,NA
2,766,18,36,-1,-1,-1,-1,-1,-1,NA
3,767,18,36,-1,-1,-1,-1,-1,-1,NA
4,767,18,36,-1,-1,-1,-1,-1,-1,NA
0,766,18,36,-1,-1,-1,-1,-1,-1,NA
1,766,18,36,-1,-1,-1,-1,-1,-1,NA
2,766,18,36,-1,-1,-1,-1,-1,-1,NA
3,767,18,36,-1,-1,-1,-1,-1,-1,NA
4,767,18,36,-1,-1,-1,-1,-1,-1,NA
