fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,1,14,28,-1,-1,-1,-1,-1,-1,NA
NA,2,14,28,-1,-1,-1,-1,-1,-1,NA
NA,3,14,35,-1,-1,-1,-1,-1,-1,NA
NA,4,14,39,-1,-1,-1,-1,-1,-1,NA
NA,5,14,46,-1,-1,-1,-1,-1,-1,NA
NA,6,14,50,-1,-1,-1,-1,-1,-1,NA
NA,7,14,56,-1,-1,-1,-1,-1,-1,NA
NA,8,14,61,-1,-1,-1,-1,-1,-1,NA
NA,9,14,64,-1,-1,-1,-1,-1,-1,NA
NA,10,14,68,-1,-1,-1,-1,-1,-1,NA
NA,11,14,72,-1,-1,-1,-1,-1,-1,NA
NA,12,14,76,-1,-1,-1,-1,-1,-1,NA
NA,13,14,78,-1,-1,-1,-1,-1,-1,NA
NA,14,14,80,-1,-1,-1,-1,-1,-1,NA
NA,15,14,84,-1,-1,-1,-1,-1,-1,NA
NA,16,14,87,-1,-1,-1,-1,-1,-1,NA
NA,17,14,89,-1,-1,-1,-1,-1,-1,NA
NA,18,14,92,-1,-1,-1,-1,-1,-1,NA
NA,19,14,96,-1,-1,-1,-1,-1,-1,NA
NA,20,14,98,-1,-1,-1,-1,-1,-1,NA
NA,22,14,103,-1,-1,-1,-1,-1,-1,NA
NA,24,14,106,-1,-1,-1,-1,-1,-1,NA
NA,26,14,111,-1,-1,-1,-1,-1,-1,NA
NA,28,14,118,-1,-1,-1,-1,-1,-1,NA
NA,30,14,121,-1,-1,-1,-1,-1,-1,NA
NA,32,14,128,-1,-1,-1,-1,-1,-1,NA
NA,34,14,131,-1,-1,-1,-1,-1,-1,NA
NA,36,14,134,-1,-1,-1,-1,-1,-1,NA
NA,38,14,142,-1,-1,-1,-1,-1,-1,NA
NA,40,14,144,-1,-1,-1,-1,-1,-1,NA
NA,45,14,157,-1,-1,-1,-1,-1,-1,NA
NA,50,14,168,-1,-1,-1,-1,-1,-1,NA
NA,55,14,177,-1,-1,-1,-1,-1,-1,NA
NA,60,14,187,-1,-1,-1,-1,-1,-1,NA
NA,65,14,196,-1,-1,-1,-1,-1,-1,NA
NA,70,14,203,-1,-1,-1,-1,-1,-1,NA
NA,75,14,213,-1,-1,-1,-1,-1,-1,NA
NA,80,14,219,-1,-1,-1,-1,-1,-1,NA
NA,85,14,228,-1,-1,-1,-1,-1,-1,NA
NA,90,14,237,-1,-1,-1,-1,-1,-1,NA
NA,100,14,251,-1,-1,-1,-1,-1,-1,NA
NA,110,14,264,-1,-1,-1,-1,-1,-1,NA
NA,120,14,280,-1,-1,-1,-1,-1,-1,NA
NA,130,14,295,-1,-1,-1,-1,-1,-1,NA
NA,140,14,310,-1,-1,-1,-1,-1,-1,NA
NA,150,14,324,-1,-1,-1,-1,-1,-1,NA
NA,160,14,341,-1,-1,-1,-1,-1,-1,NA
NA,170,14,352,-1,-1,-1,-1,-1,-1,NA
NA,180,14,363,-1,-1,-1,-1,-1,-1,NA
NA,200,14,390,-1,-1,-1,-1,-1,-1,NA
NA,220,14,418,-1,-1,-1,-1,-1,-1,NA
NA,240,14,441,-1,-1,-1,-1,-1,-1,NA
NA,260,14,466,-1,-1,-1,-1,-1,-1,NA
NA,280,14,487,-1,-1,-1,-1,-1,-1,NA
NA,300,14,511,-1,-1,-1,-1,-1,-1,NA
NA,325,14,542,-1,-1,-1,-1,-1,-1,NA
NA,350,14,568,-1,-1,-1,-1,-1,-1,NA
NA,375,14,598,-1,-1,-1,-1,-1,-1,NA
NA,400,14,621,-1,-1,-1,-1,-1,-1,NA
NA,425,14,652,-1,-1,-1,-1,-1,-1,NA
NA,450,14,681,-1,-1,-1,-1,-1,-1,NA
NA,475,14,709,-1,-1,-1,-1,-1,-1,NA
NA,500,14,734,-1,-1,-1,-1,-1,-1,NA
NA,550,14,792,-1,-1,-1,-1,-1,-1,NA
NA,600,14,847,-1,-1,-1,-1,-1,-1,NA
NA,650,14,903,-1,-1,-1,-1,-1,-1,NA
NA,700,14,956,-1,-1,-1,-1,-1,-1,NA
NA,750,14,1010,-1,-1,-1,-1,-1,-1,NA
NA,800,14,1063,-1,-1,-1,-1,-1,-1,NA
NA,850,14,1116,-1,-1,-1,-1,-1,-1,NA
NA,900,14,1165,-1,-1,-1,-1,-1,-1,NA
NA,950,14,1217,-1,-1,-1,-1,-1,-1,NA
NA,1000,14,1269,-1,-1,-1,-1,-1,-1,NA
NA,1100,14,1369,-1,-1,-1,-1,-1,-1,NA
NA,1200,14,1473,-1,-1,-1,-1,-1,-1,NA
NA,1300,14,1579,-1,-1,-1,-1,-1,-1,NA
NA,1400,14,1677,-1,-1,-1,-1,-1,-1,NA
NA,1500,14,1773,-1,-1,-1,-1,-1,-1,NA
NA,1600,14,1872,-1,-1,-1,-1,-1,-1,NA
NA,1700,14,1971,-1,-1,-1,-1,-1,-1,NA
NA,1800,14,2070,-1,-1,-1,-1,-1,-1,NA
NA,1900,14,2169,-1,-1,-1,-1,-1,-1,NA
NA,2000,14,2263,-1,-1,-1,-1,-1,-1,NA
NA,2200,14,2456,-1,-1,-1,-1,-1,-1,NA
NA,2400,14,2650,-1,-1,-1,-1,-1,-1,NA
NA,2600,14,2841,-1,-1,-1,-1,-1,-1,NA
NA,2800,14,3029,-1,-1,-1,-1,-1,-1,NA
NA,3000,14,3212,-1,-1,-1,-1,-1,-1,NA
NA,3200,14,3390,-1,-1,-1,-1,-1,-1,NA
NA,3400,14,3579,-1,-1,-1,-1,-1,-1,NA
NA,3600,14,3761,-1,-1,-1,-1,-1,-1,NA
NA,3800,14,3953,-1,-1,-1,-1,-1,-1,NA
NA,4000,14,4136,-1,-1,-1,-1,-1,-1,NA
NA,5000,14,5016,-1,-1,-1,-1,-1,-1,NA
NA,6000,14,5850,-1,-1,-1,-1,-1,-1,NA
NA,7000,14,6677,-1,-1,-1,-1,-1,-1,NA
NA,8000,14,7473,-1,-1,-1,-1,-1,-1,NA
NA,9000,14,8220,-1,-1,-1,-1,-1,-1,NA
NA,10000,14,8971,-1,-1,-1,-1,-1,-1,NA
