fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,1,14,28,0.15041885431855917,1,1,1,0.0,58.838912133891206,[ $class$ [ $0$ ] ]
NA,2,14,28,0.0019091637805104256,2,2,3,100.0,41.65358451072737,[ $age1 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,3,14,28,0.003335535991936922,2,2,3,100.0,54.55497382198953,[ $age2 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,4,14,28,0.003252063412219286,2,2,3,75.0,54.58355159769512,[ $age2 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,5,14,28,0.006476669106632471,2,2,3,80.0,45.073375262054505,[ $age3 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,6,14,28,0.008270945865660906,3,4,7,83.33333333333334,47.24698479286838,[ $age2 \eq 0$ [ $age3 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $Bar3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,7,14,28,0.020065688993781805,3,4,7,85.71428571428571,50.78698845750262,[ $age2 \eq 0$ [ $age6 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $Bar3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,8,14,28,0.022978325840085745,4,5,9,87.5,48.60892388451444,[ $age2 \eq 0$ [ $age3 \eq 0$ [ $age5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ] [ $Bar3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,9,14,28,0.02625624882057309,4,5,9,88.88888888888889,46.32352941176471,[ $age3 \eq 0$ [ $direction_same \eq 0$ [ $age5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $age6 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $class$ [ $0$ ] ] ]
NA,10,14,28,0.05444141710177064,5,6,11,90.0,49.08039936941671,[ $age1 \eq 0$ [ $age2 \eq 0$ [ $age3 \eq 0$ [ $age5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ] [ $Bar3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $class$ [ $0$ ] ] ]
NA,11,14,28,0.1075788983143866,6,7,13,90.9090909090909,51.89274447949527,[ $passanger2 \eq 0$ [ $age1 \eq 0$ [ $age2 \eq 0$ [ $age3 \eq 0$ [ $age5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ] [ $Bar3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,12,14,28,0.22891931282356381,3,4,7,83.33333333333334,53.655970541820096,[ $direction_same \eq 0$ [ $age2 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $age6 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,13,14,28,0.25813626777380705,3,4,7,84.61538461538461,53.63157894736842,[ $direction_same \eq 0$ [ $age2 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $age6 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,14,14,28,0.4284838158637285,4,6,11,85.71428571428571,53.76513954713007,[ $age0 \eq 0$ [ $direction_same \eq 0$ [ $age2 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $age6 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $Restaurant20to50 \ge 4 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,15,14,28,0.43983430368825793,4,6,11,86.66666666666667,53.74077976817703,[ $age0 \eq 0$ [ $direction_same \eq 0$ [ $age2 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $age6 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $Restaurant20to50 \ge 4 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,16,14,28,0.4393263543024659,4,6,11,87.5,53.71639430680021,[ $age0 \eq 0$ [ $direction_same \eq 0$ [ $age2 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $age6 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $Restaurant20to50 \ge 4 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,17,14,28,0.44753049314022064,4,6,11,88.23529411764706,53.69198312236287,[ $age0 \eq 0$ [ $direction_same \eq 0$ [ $age2 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $age6 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $Restaurant20to50 \ge 4 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
