fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,1,6,12,0.03927854774519801,1,1,1,100.0,44.73002590157402,[ $class$ [ $1$ ] ]
NA,2,6,12,0.042067984119057655,1,1,1,50.0,55.26106018333997,[ $class$ [ $0$ ] ]
NA,3,6,12,0.04105698224157095,1,1,1,66.66666666666666,44.72792505481363,[ $class$ [ $1$ ] ]
NA,4,6,13,0.041219902224838734,2,2,3,75.0,56.97767145135566,[ $prior=0 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,5,6,14,0.040922475047409534,2,2,3,80.0,56.96909272183449,[ $prior=0 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,6,6,15,0.0582918138243258,2,2,3,83.33333333333334,56.96051057040287,[ $prior=0 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,7,6,16,0.0477022361010313,3,3,5,85.71428571428571,57.5902653101935,[ $age \ge 21.5$ [ $prior=0 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ]
NA,8,6,17,0.041158935986459255,3,3,5,87.5,57.58180367118915,[ $age \ge 21.5$ [ $prior=0 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ]
NA,9,6,18,0.04128641402348876,4,4,7,88.88888888888889,63.001396926761124,[ $age \ge 21.5$ [ $age \ge 32.0$ [ $class$ [ $0$ ] ] [ $prior=0 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] [ $class$ [ $1$ ] ] ]
NA,10,6,19,0.03463618829846382,4,4,7,90.0,62.9940119760479,[ $age \ge 21.5$ [ $age \ge 32.0$ [ $class$ [ $0$ ] ] [ $prior=0 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] [ $class$ [ $1$ ] ] ]
NA,11,6,19,0.04611443169414997,3,3,5,81.81818181818183,62.36773807147136,[ $age \ge 32.0$ [ $class$ [ $0$ ] ] [ $prior=0 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,12,6,20,0.026834309101104736,4,4,7,83.33333333333334,62.85942492012779,[ $age \ge 20.5$ [ $age \ge 32.0$ [ $class$ [ $0$ ] ] [ $prior=0 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] [ $class$ [ $1$ ] ] ]
NA,13,6,21,0.04858537903055549,4,4,7,84.61538461538461,62.85200718993409,[ $age \ge 20.5$ [ $age \ge 32.0$ [ $class$ [ $0$ ] ] [ $prior=0 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] [ $class$ [ $1$ ] ] ]
NA,14,6,22,0.0489065358415246,4,4,7,85.71428571428571,62.844586496204556,[ $age \ge 20.5$ [ $age \ge 32.0$ [ $class$ [ $0$ ] ] [ $prior=0 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] [ $class$ [ $1$ ] ] ]
NA,15,6,23,0.04689078126102686,4,4,7,86.66666666666667,62.83716283716284,[ $age \ge 20.5$ [ $age \ge 32.0$ [ $class$ [ $0$ ] ] [ $prior=0 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] [ $class$ [ $1$ ] ] ]
NA,16,6,24,0.02861299365758896,4,4,7,87.5,62.829736211031175,[ $age \ge 20.5$ [ $age \ge 32.0$ [ $class$ [ $0$ ] ] [ $prior=0 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] [ $class$ [ $1$ ] ] ]
NA,17,6,25,0.028486128896474838,4,4,7,88.23529411764706,62.822306616030374,[ $age \ge 20.5$ [ $age \ge 32.0$ [ $class$ [ $0$ ] ] [ $prior=0 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] [ $class$ [ $1$ ] ] ]
NA,18,6,26,0.02897586300969124,4,4,7,88.88888888888889,62.81487405037984,[ $age \ge 20.5$ [ $age \ge 32.0$ [ $class$ [ $0$ ] ] [ $prior=0 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] [ $class$ [ $1$ ] ] ]
NA,19,6,27,0.03553757583722472,4,4,7,89.47368421052632,62.807438512297544,[ $age \ge 20.5$ [ $age \ge 32.0$ [ $class$ [ $0$ ] ] [ $prior=0 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] [ $class$ [ $1$ ] ] ]
NA,20,6,28,0.054382408037781715,4,4,7,90.0,62.8,[ $age \ge 20.5$ [ $age \ge 32.0$ [ $class$ [ $0$ ] ] [ $prior=0 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] [ $class$ [ $1$ ] ] ]
NA,22,6,29,0.07109932880848646,6,6,11,90.9090909090909,60.76430572228892,[ $age \ge 20.5$ [ $age \ge 32.0$ [ $class$ [ $0$ ] ] [ $prior=0 \eq 0$ [ $age \ge 25.5$ [ $class$ [ $1$ ] ] [ $prior>3 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] [ $class$ [ $0$ ] ] ] ] [ $class$ [ $1$ ] ] ]
NA,24,6,31,0.0967296645976603,6,6,11,91.66666666666666,61.10888710968775,[ $age \ge 20.5$ [ $age \ge 32.5$ [ $class$ [ $0$ ] ] [ $prior=0 \eq 0$ [ $age \ge 25.5$ [ $class$ [ $1$ ] ] [ $prior>3 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] [ $class$ [ $0$ ] ] ] ] [ $class$ [ $1$ ] ] ]
NA,26,6,32,0.10800220631062984,4,4,7,84.61538461538461,63.1557869443332,[ $age \ge 20.5$ [ $age \ge 32.5$ [ $class$ [ $0$ ] ] [ $prior=0 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] [ $class$ [ $1$ ] ] ]
NA,28,6,33,0.12004594411700964,5,6,11,89.28571428571429,61.99919871794872,[ $age \ge 22.5$ [ $age \ge 25.5$ [ $age \ge 32.5$ [ $class$ [ $0$ ] ] [ $prior=0 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] [ $prior2-3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $class$ [ $1$ ] ] ]
NA,30,6,35,0.14739337004721165,5,6,11,90.0,61.98396793587174,[ $age \ge 22.5$ [ $age \ge 25.5$ [ $age \ge 32.5$ [ $class$ [ $0$ ] ] [ $prior=0 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] [ $prior2-3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $class$ [ $1$ ] ] ]
NA,32,6,37,0.13892563758417964,5,6,11,90.625,61.968724939855655,[ $age \ge 22.5$ [ $age \ge 25.5$ [ $age \ge 32.5$ [ $class$ [ $0$ ] ] [ $prior=0 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] [ $prior2-3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $class$ [ $1$ ] ] ]
NA,34,6,39,0.1465054452419281,6,7,13,91.17647058823529,62.775772162053755,[ $age \ge 22.5$ [ $age \ge 25.5$ [ $age \ge 37.5$ [ $class$ [ $0$ ] ] [ $prior=0 \eq 0$ [ $prior2-3 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ] ] [ $prior2-3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $class$ [ $1$ ] ] ]
NA,36,6,40,0.1818155413493514,6,7,13,91.66666666666666,62.76083467094703,[ $age \ge 22.5$ [ $age \ge 25.5$ [ $age \ge 37.5$ [ $class$ [ $0$ ] ] [ $prior=0 \eq 0$ [ $prior2-3 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ] ] [ $prior2-3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $class$ [ $1$ ] ] ]
